Date,Price,Open,High,Low,Volume,Chg%
"Dec 31, 2019","20,136.59","20,136.59","20,136.59","20,136.59",0,-0.42%
"Dec 30, 2019","20,220.83","20,220.83","20,220.83","20,220.83",0,-0.50%
"Dec 27, 2019","20,322.87","20,322.87","20,322.87","20,322.87",0,0.33%
"Dec 24, 2019","20,256.38","20,256.38","20,256.38","20,256.38",0,-0.25%
"Dec 23, 2019","20,306.41","20,306.41","20,306.41","20,306.41",0,0.68%
"Dec 20, 2019","20,168.84","20,168.84","20,168.84","20,168.84",0,1.03%
"Dec 19, 2019","19,963.56","19,963.56","19,963.56","19,963.56",0,0.21%
"Dec 18, 2019","19,921.41","19,921.41","19,921.41","19,921.41",0,0.17%
"Dec 17, 2019","19,888.54","19,888.54","19,888.54","19,888.54",0,-1.41%
"Dec 16, 2019","20,173.34","20,173.34","20,173.34","20,173.34",0,2.39%
"Dec 13, 2019","19,701.49","19,701.49","19,701.49","19,701.49",0,2.35%
"Dec 12, 2019","19,248.67","19,248.67","19,248.67","19,248.67",0,-0.07%
"Dec 11, 2019","19,262.13","19,262.13","19,262.13","19,262.13",0,-0.15%
"Dec 10, 2019","19,291.95","19,291.95","19,291.95","19,291.95",0,-0.18%
"Dec 09, 2019","19,326.79","19,326.79","19,326.79","19,326.79",0,-0.29%
"Dec 06, 2019","19,383.72","19,383.72","19,383.72","19,383.72",0,1.46%
"Dec 05, 2019","19,105.68","19,105.68","19,105.68","19,105.68",0,-0.57%
"Dec 04, 2019","19,215.50","19,215.50","19,215.50","19,215.50",0,0.02%
"Dec 03, 2019","19,211.73","19,211.73","19,211.73","19,211.73",0,-1.06%
"Dec 02, 2019","19,417.18","19,417.18","19,417.18","19,417.18",0,-0.85%
"Nov 29, 2019","19,582.70","19,582.70","19,582.70","19,582.70",0,-0.69%
"Nov 28, 2019","19,718.02","19,718.02","19,718.02","19,718.02",0,0.12%
"Nov 27, 2019","19,693.49","19,693.49","19,693.49","19,693.49",0,1.05%
"Nov 26, 2019","19,488.80","19,488.80","19,488.80","19,488.80",0,0.57%
"Nov 25, 2019","19,378.44","19,378.44","19,378.44","19,378.44",0,0.78%
"Nov 22, 2019","19,227.99","19,227.99","19,227.99","19,227.99",0,0.55%
"Nov 21, 2019","19,123.34","19,123.34","19,123.34","19,123.34",0,0.41%
"Nov 20, 2019","19,044.88","19,044.88","19,044.88","19,044.88",0,-0.48%
"Nov 19, 2019","19,137.23","19,137.23","19,137.23","19,137.23",0,0.07%
"Nov 18, 2019","19,124.45","19,124.45","19,124.45","19,124.45",0,0.48%
"Nov 15, 2019","19,032.23","19,032.23","19,032.23","19,032.23",0,-0.45%
"Nov 14, 2019","19,117.63","19,117.63","19,117.63","19,117.63",0,-0.12%
"Nov 13, 2019","19,139.76","19,139.76","19,139.76","19,139.76",0,0.35%
"Nov 12, 2019","19,073.57","19,073.57","19,073.57","19,073.57",0,-0.28%
"Nov 11, 2019","19,126.45","19,126.45","19,126.45","19,126.45",0,0.33%
"Nov 08, 2019","19,063.08","19,063.08","19,063.08","19,063.08",0,-0.15%
"Nov 07, 2019","19,091.16","19,091.16","19,091.16","19,091.16",0,0.35%
"Nov 06, 2019","19,024.76","19,024.76","19,024.76","19,024.76",0,1.08%
"Nov 05, 2019","18,821.46","18,821.46","18,821.46","18,821.46",0,0.01%
"Nov 04, 2019","18,820.01","18,820.01","18,820.01","18,820.01",0,0.13%
"Nov 01, 2019","18,796.30","18,796.30","18,796.30","18,796.30",0,0.22%
"Oct 31, 2019","18,754.93","18,754.93","18,754.93","18,754.93",0,-1.00%
"Oct 30, 2019","18,943.88","18,943.88","18,943.88","18,943.88",0,1.29%
"Oct 29, 2019","18,703.48","18,703.48","18,703.48","18,703.48",0,0.11%
"Oct 28, 2019","18,682.60","18,682.60","18,682.60","18,682.60",0,-0.46%
"Oct 25, 2019","18,769.20","18,769.20","18,769.20","18,769.20",0,-0.75%
"Oct 24, 2019","18,910.76","18,910.76","18,910.76","18,910.76",0,0.55%
"Oct 23, 2019","18,807.35","18,807.35","18,807.35","18,807.35",0,0.33%
"Oct 22, 2019","18,745.57","18,745.57","18,745.57","18,745.57",0,0.21%
"Oct 21, 2019","18,706.03","18,706.03","18,706.03","18,706.03",0,-0.78%
"Oct 18, 2019","18,853.19","18,853.19","18,853.19","18,853.19",0,-0.37%
"Oct 17, 2019","18,922.99","18,922.99","18,922.99","18,922.99",0,0.02%
"Oct 16, 2019","18,918.31","18,918.31","18,918.31","18,918.31",0,-0.01%
"Oct 15, 2019","18,919.44","18,919.44","18,919.44","18,919.44",0,-0.82%
"Oct 14, 2019","19,076.42","19,076.42","19,076.42","19,076.42",0,0.06%
"Oct 11, 2019","19,064.27","19,064.27","19,064.27","19,064.27",0,-0.99%
"Oct 10, 2019","19,255.53","19,255.53","19,255.53","19,255.53",0,-0.40%
"Oct 09, 2019","19,332.92","19,332.92","19,332.92","19,332.92",0,0.28%
"Oct 08, 2019","19,279.19","19,279.19","19,279.19","19,279.19",0,-0.54%
"Oct 07, 2019","19,383.61","19,383.61","19,383.61","19,383.61",0,0.60%
"Oct 04, 2019","19,268.50","19,268.50","19,268.50","19,268.50",0,0.54%
"Oct 03, 2019","19,164.76","19,164.76","19,164.76","19,164.76",0,-0.36%
"Oct 02, 2019","19,234.06","19,234.06","19,234.06","19,234.06",0,-2.91%
"Oct 01, 2019","19,810.36","19,810.36","19,810.36","19,810.36",0,-0.41%
"Sep 30, 2019","19,892.40","19,892.40","19,892.40","19,892.40",0,0.27%
"Sep 27, 2019","19,838.63","19,838.63","19,838.63","19,838.63",0,0.55%
"Sep 26, 2019","19,729.37","19,729.37","19,729.37","19,729.37",0,0.16%
"Sep 25, 2019","19,698.58","19,698.58","19,698.58","19,698.58",0,0.36%
"Sep 24, 2019","19,627.60","19,627.60","19,627.60","19,627.60",0,-0.41%
"Sep 23, 2019","19,707.72","19,707.72","19,707.72","19,707.72",0,0.01%
"Sep 20, 2019","19,706.35","19,706.35","19,706.35","19,706.35",0,-0.87%
"Sep 19, 2019","19,880.08","19,880.08","19,880.08","19,880.08",0,0.05%
"Sep 18, 2019","19,870.34","19,870.34","19,870.34","19,870.34",0,-0.13%
"Sep 17, 2019","19,896.16","19,896.16","19,896.16","19,896.16",0,0.95%
"Sep 16, 2019","19,708.57","19,708.57","19,708.57","19,708.57",0,-1.30%
"Sep 13, 2019","19,967.62","19,967.62","19,967.62","19,967.62",0,-1.59%
"Sep 12, 2019","20,290.66","20,290.66","20,290.66","20,290.66",0,0.56%
"Sep 11, 2019","20,178.09","20,178.09","20,178.09","20,178.09",0,1.38%
"Sep 10, 2019","19,904.04","19,904.04","19,904.04","19,904.04",0,0.02%
"Sep 09, 2019","19,900.08","19,900.08","19,900.08","19,900.08",0,-1.63%
"Sep 06, 2019","20,229.17","20,229.17","20,229.17","20,229.17",0,-0.02%
"Sep 05, 2019","20,234.20","20,234.20","20,234.20","20,234.20",0,-1.22%
"Sep 04, 2019","20,484.04","20,484.04","20,484.04","20,484.04",0,-0.09%
"Sep 03, 2019","20,502.52","20,502.52","20,502.52","20,502.52",0,0.60%
"Sep 02, 2019","20,380.88","20,380.88","20,380.88","20,380.88",0,1.27%
"Aug 30, 2019","20,124.68","20,124.68","20,124.68","20,124.68",0,0.58%
