Date,Price,Open,High,Low,Volume,Chg%
"Dec 31, 2019","12,882.20","12,925.20","12,951.78","12,854.85",0,-0.33%
"Dec 30, 2019","12,925.20","12,986.64","12,986.64","12,918.53",0,-0.47%
"Dec 27, 2019","12,986.64","12,938.27","13,011.23","12,938.27",0,0.37%
"Dec 24, 2019","12,938.27","12,905.85","12,938.27","12,886.29",0,0.25%
"Dec 23, 2019","12,905.85","12,800.50","12,959.55","12,786.10",0,0.82%
"Dec 20, 2019","12,800.50","12,736.34","12,847.90","12,721.38",0,0.50%
"Dec 19, 2019","12,736.34","12,716.56","12,753.67","12,657.91",0,0.16%
"Dec 18, 2019","12,716.56","12,720.58","12,745.47","12,665.48",0,-0.03%
"Dec 17, 2019","12,720.58","12,785.43","12,807.30","12,638.91",0,-0.51%
"Dec 16, 2019","12,785.43","12,449.18","12,837.98","12,449.18",0,2.70%
"Dec 13, 2019","12,449.18","12,053.27","12,588.38","12,053.27",0,3.28%
"Dec 12, 2019","12,053.27","11,927.15","12,068.39","11,864.72",0,1.06%
"Dec 11, 2019","11,927.15","11,942.24","11,969.31","11,796.83",0,-0.13%
"Dec 10, 2019","11,942.24","12,016.56","12,016.56","11,847.82",0,-0.62%
"Dec 09, 2019","12,016.56","11,996.72","12,038.62","11,944.22",0,0.17%
"Dec 06, 2019","11,996.72","11,879.53","12,013.37","11,877.67",0,0.99%
"Dec 05, 2019","11,879.53","11,927.14","11,932.98","11,829.96",0,-0.40%
"Dec 04, 2019","11,927.14","11,756.82","11,927.14","11,744.77",0,1.45%
"Dec 03, 2019","11,756.82","11,930.62","11,967.04","11,704.80",0,-1.46%
"Dec 02, 2019","11,930.62","12,061.26","12,104.93","11,900.15",0,-1.08%
"Nov 29, 2019","12,061.26","12,180.63","12,182.16","12,061.26",0,-0.98%
"Nov 28, 2019","12,180.63","12,218.99","12,223.37","12,135.43",0,-0.31%
"Nov 27, 2019","12,218.99","12,130.68","12,231.12","12,081.91",0,0.73%
"Nov 26, 2019","12,130.68","11,962.86","12,143.80","11,962.86",0,1.40%
"Nov 25, 2019","11,962.86","11,811.72","11,981.84","11,811.72",0,1.28%
"Nov 22, 2019","11,811.72","11,716.92","11,837.42","11,710.85",0,0.81%
"Nov 21, 2019","11,716.92","11,815.84","11,816.44","11,617.25",0,-0.84%
"Nov 20, 2019","11,815.84","11,943.74","11,943.74","11,733.62",0,-1.07%
"Nov 19, 2019","11,943.74","11,829.70","12,101.76","11,829.70",0,0.96%
"Nov 18, 2019","11,829.70","11,830.31","11,952.17","11,805.14",0,-0.01%
"Nov 15, 2019","11,830.31","11,833.52","11,904.39","11,712.38",0,-0.03%
"Nov 14, 2019","11,833.52","11,943.94","11,944.73","11,770.25",0,-0.92%
"Nov 13, 2019","11,943.94","12,066.03","12,066.03","11,891.86",0,-1.01%
"Nov 12, 2019","12,066.03","11,958.33","12,112.50","11,918.63",0,0.90%
"Nov 11, 2019","11,958.33","11,930.35","11,958.33","11,780.55",0,0.23%
"Nov 08, 2019","11,930.35","11,948.62","11,976.97","11,861.00",0,-0.15%
"Nov 07, 2019","11,948.62","11,975.08","12,055.54","11,937.82",0,-0.22%
"Nov 06, 2019","11,975.08","12,028.32","12,041.36","11,914.58",0,-0.44%
"Nov 05, 2019","12,028.32","11,990.37","12,080.97","11,970.44",0,0.32%
"Nov 04, 2019","11,990.37","11,899.81","12,047.33","11,899.81",0,0.76%
"Nov 01, 2019","11,899.81","11,796.41","11,942.18","11,796.41",0,0.88%
"Oct 31, 2019","11,796.41","11,923.83","11,969.36","11,796.41",0,-1.07%
"Oct 30, 2019","11,923.83","11,948.16","11,955.87","11,851.83",0,-0.20%
"Oct 29, 2019","11,948.16","11,923.47","11,948.16","11,821.25",0,0.21%
"Oct 28, 2019","11,923.47","11,739.27","11,947.60","11,729.33",0,1.57%
"Oct 25, 2019","11,739.27","11,893.43","11,907.19","11,703.80",0,-1.30%
"Oct 24, 2019","11,893.43","11,743.13","11,932.18","11,743.13",0,1.28%
"Oct 23, 2019","11,743.13","11,771.23","11,771.23","11,649.24",0,-0.24%
"Oct 22, 2019","11,771.23","11,745.30","11,771.23","11,669.01",0,0.22%
"Oct 21, 2019","11,745.30","11,679.95","11,805.19","11,667.06",0,0.56%
"Oct 18, 2019","11,679.95","11,697.79","11,817.29","11,662.40",0,-0.15%
"Oct 17, 2019","11,697.79","11,646.40","11,774.17","11,553.60",0,0.44%
"Oct 16, 2019","11,646.40","11,804.37","11,807.28","11,598.49",0,-1.34%
"Oct 15, 2019","11,804.37","11,680.32","11,878.35","11,661.13",0,1.06%
"Oct 14, 2019","11,680.32","11,812.31","11,814.20","11,634.65",0,-1.12%
"Oct 11, 2019","11,812.31","11,440.66","11,815.87","11,393.34",0,3.25%
"Oct 10, 2019","11,440.66","11,411.25","11,478.73","11,312.99",0,0.26%
"Oct 09, 2019","11,411.25","11,320.29","11,423.75","11,312.20",0,0.80%
"Oct 08, 2019","11,320.29","11,621.91","11,676.26","11,320.29",0,-2.60%
"Oct 07, 2019","11,621.91","11,635.97","11,685.47","11,540.01",0,-0.12%
"Oct 04, 2019","11,635.97","11,483.58","11,635.97","11,475.44",0,1.33%
"Oct 03, 2019","11,483.58","11,491.06","11,553.94","11,339.26",0,-0.07%
"Oct 02, 2019","11,491.06","11,944.25","11,945.27","11,479.54",0,-3.79%
"Oct 01, 2019","11,944.25","12,103.76","12,157.70","11,933.51",0,-1.32%
"Sep 30, 2019","12,103.76","12,172.42","12,200.99","12,103.76",0,-0.56%
"Sep 27, 2019","12,172.42","12,005.60","12,172.42","12,005.60",0,1.39%
"Sep 26, 2019","12,005.60","11,854.37","12,038.18","11,824.68",0,1.28%
"Sep 25, 2019","11,854.37","11,941.65","11,941.65","11,703.42",0,-0.73%
"Sep 24, 2019","11,941.65","11,993.87","12,026.53","11,928.74",0,-0.44%
"Sep 23, 2019","11,993.87","12,004.30","12,011.63","11,855.36",0,-0.09%
"Sep 20, 2019","12,004.30","12,064.41","12,085.30","11,968.56",0,-0.50%
"Sep 19, 2019","12,064.41","11,951.03","12,066.81","11,938.54",0,0.95%
"Sep 18, 2019","11,951.03","12,039.36","12,049.49","11,951.03",0,-0.73%
"Sep 17, 2019","12,039.36","12,034.44","12,039.36","11,946.11",0,0.04%
"Sep 16, 2019","12,034.44","12,161.62","12,161.62","11,917.43",0,-1.05%
"Sep 13, 2019","12,161.62","11,886.63","12,165.30","11,874.50",0,2.31%
"Sep 12, 2019","11,886.63","11,884.80","11,935.71","11,823.14",0,0.02%
"Sep 11, 2019","11,884.80","11,574.00","12,311.19","11,574.00",0,2.69%
"Sep 10, 2019","11,574.00","11,647.17","11,666.10","11,453.30",0,-0.63%
"Sep 09, 2019","11,647.17","11,714.52","11,818.64","11,631.12",0,-0.57%
"Sep 06, 2019","11,714.52","11,627.39","11,735.24","11,623.36",0,0.75%
"Sep 05, 2019","11,627.39","11,491.35","11,627.39","11,490.35",0,1.18%
"Sep 04, 2019","11,491.35","11,363.98","11,509.00","11,363.98",0,1.12%
"Sep 03, 2019","11,363.98","11,374.39","11,396.50","11,288.35",0,-0.09%
"Sep 02, 2019","11,374.39","11,257.48","11,397.26","11,245.76",0,1.04%
"Aug 30, 2019","11,257.48","11,249.24","11,336.60","11,207.78",0,0.07%
"Aug 29, 2019","11,249.24","11,153.60","11,249.24","11,112.27",0,0.86%
"Aug 28, 2019","11,153.60","11,248.61","11,256.83","11,085.71",0,-0.84%
"Aug 27, 2019","11,248.61","11,175.64","11,262.85","11,147.19",0,0.65%
"Aug 23, 2019","11,175.64","11,223.21","11,338.12","11,175.64",0,-0.42%
"Aug 22, 2019","11,223.21","11,291.09","11,291.09","11,149.09",0,-0.60%
"Aug 21, 2019","11,291.09","11,213.09","11,341.51","11,211.45",0,0.70%
"Aug 20, 2019","11,213.09","11,254.53","11,375.60","11,207.37",0,-0.37%
"Aug 19, 2019","11,254.53","11,157.99","11,327.78","11,150.11",0,0.87%
"Aug 16, 2019","11,157.99","10,979.42","11,157.99","10,979.42",0,1.63%
"Aug 15, 2019","10,979.42","11,046.02","11,081.84","10,895.39",0,-0.60%
"Aug 14, 2019","11,046.02","11,185.25","11,253.12","10,994.71",0,-1.24%
"Aug 13, 2019","11,185.25","11,191.68","11,211.15","11,056.10",0,-0.06%
"Aug 12, 2019","11,191.68","11,366.80","11,505.21","11,191.68",0,-1.54%
"Aug 09, 2019","11,366.80","11,394.46","11,423.29","11,349.89",0,-0.24%
"Aug 08, 2019","11,394.46","11,232.26","11,394.46","11,232.26",0,1.44%
