Date,Price,Open,High,Low,Volume,Chg%
"Dec 31, 2019",900.44,892.90,903.01,892.60,0,0.91%
"Dec 30, 2019",892.35,903.79,907.17,888.86,0,-1.20%
"Dec 27, 2019",903.23,894.71,903.63,892.84,0,1.26%
"Dec 23, 2019",892.02,867.18,899.42,859.18,0,3.55%
"Dec 20, 2019",861.46,861.39,881.24,860.40,0,0.11%
"Dec 19, 2019",860.54,861.17,867.77,856.97,0,-0.07%
"Dec 18, 2019",861.17,845.08,861.17,844.76,0,1.90%
"Dec 17, 2019",845.08,843.77,849.96,834.07,0,0.16%
"Dec 16, 2019",843.77,856.90,856.90,841.99,0,-1.07%
"Dec 13, 2019",852.90,855.47,865.75,850.62,0,-0.27%
"Dec 12, 2019",855.19,854.29,864.73,848.51,0,0.13%
"Dec 11, 2019",854.08,842.90,859.07,838.83,0,1.81%
"Dec 10, 2019",838.89,844.16,845.52,835.20,0,-0.46%
"Dec 09, 2019",842.78,855.56,858.56,836.53,0,-1.80%
"Dec 06, 2019",858.20,855.38,861.63,850.23,0,0.43%
"Dec 05, 2019",854.52,858.79,863.87,851.52,0,-0.61%
"Dec 04, 2019",859.75,860.44,867.62,852.21,0,-0.08%
"Dec 03, 2019",860.44,871.78,878.56,850.41,0,-1.16%
"Dec 02, 2019",870.50,887.63,891.65,870.50,0,-1.84%
"Nov 29, 2019",886.78,891.42,893.30,881.62,0,0.11%
"Nov 28, 2019",885.82,895.97,899.35,882.47,0,-1.06%
"Nov 27, 2019",895.33,885.26,896.49,884.26,0,1.49%
"Nov 26, 2019",882.19,886.47,887.94,876.75,0,-0.14%
"Nov 25, 2019",883.47,886.65,896.06,881.97,0,-0.26%
"Nov 22, 2019",885.79,885.73,891.88,878.73,0,0.01%
"Nov 21, 2019",885.73,887.44,887.44,872.95,0,-0.15%
"Nov 20, 2019",887.02,885.25,889.75,877.60,0,0.27%
"Nov 19, 2019",884.61,869.63,886.01,869.63,0,1.86%
"Nov 18, 2019",868.46,869.86,884.42,866.01,0,-0.34%
"Nov 15, 2019",871.45,877.16,887.00,870.62,0,-0.47%
"Nov 14, 2019",875.57,862.03,879.51,859.13,0,1.54%
"Nov 13, 2019",862.30,859.27,867.16,852.74,0,0.43%
"Nov 12, 2019",858.63,850.55,862.43,842.85,0,1.03%
"Nov 11, 2019",849.91,870.50,871.81,844.89,0,-1.92%
"Nov 08, 2019",866.53,875.18,878.52,866.17,0,-0.64%
"Nov 07, 2019",872.07,872.74,875.92,863.53,0,0.34%
"Nov 06, 2019",869.12,880.07,888.21,869.12,0,-1.60%
"Nov 05, 2019",883.24,896.91,899.34,878.17,0,-1.36%
"Nov 04, 2019",895.43,900.93,909.32,892.54,0,-0.53%
"Nov 01, 2019",900.19,901.94,908.59,899.28,0,-0.19%
"Oct 31, 2019",901.94,902.55,908.41,898.88,0,-0.01%
"Oct 30, 2019",902.06,899.89,907.89,897.70,0,0.48%
"Oct 29, 2019",897.76,908.60,908.63,897.76,0,-0.87%
"Oct 25, 2019",905.64,900.15,910.98,899.60,0,0.42%
"Oct 24, 2019",901.83,906.74,907.70,896.56,0,-0.56%
"Oct 23, 2019",906.89,909.94,914.11,893.02,0,-0.16%
"Oct 22, 2019",908.35,901.39,914.32,898.51,0,0.80%
"Oct 21, 2019",901.18,891.25,902.06,890.08,0,1.16%
"Oct 18, 2019",890.81,898.95,905.51,890.81,0,-0.86%
"Oct 17, 2019",898.53,909.59,911.23,898.53,0,-1.21%
"Oct 16, 2019",909.51,896.15,910.30,895.58,0,1.10%
"Oct 15, 2019",899.58,898.37,906.99,896.86,0,0.22%
"Oct 14, 2019",897.64,914.41,915.40,888.24,0,-1.42%
"Oct 11, 2019",910.61,930.18,935.58,900.81,0,-2.02%
"Oct 10, 2019",929.39,920.22,932.58,920.22,0,1.02%
"Oct 09, 2019",920.01,924.15,932.38,915.76,0,-0.09%
"Oct 08, 2019",920.86,941.07,948.03,913.43,0,-2.49%
"Oct 07, 2019",944.34,959.50,968.04,943.27,0,-0.79%
"Oct 04, 2019",951.84,947.96,959.41,939.62,0,1.15%
"Oct 03, 2019",941.04,961.16,961.88,935.32,0,-1.72%
"Oct 02, 2019",957.54,982.87,984.45,948.68,0,-2.66%
"Oct 01, 2019",983.71,972.22,994.72,968.09,0,1.18%
"Sep 30, 2019",972.22,"1,000.75","1,001.01",970.56,0,-2.54%
"Sep 27, 2019",997.56,"1,005.49","1,007.02",986.88,0,-0.59%
"Sep 26, 2019","1,003.50","1,001.18","1,004.57",991.24,0,0.67%
"Sep 25, 2019",996.78,"1,006.82","1,010.95",991.14,0,-1.00%
"Sep 24, 2019","1,006.82",997.86,"1,011.71",997.86,0,0.90%
"Sep 23, 2019",997.86,"1,012.20","1,012.20",994.30,0,-1.42%
"Sep 20, 2019","1,012.25","1,022.97","1,025.25","1,007.91",0,-0.76%
"Sep 19, 2019","1,019.99","1,020.74","1,030.02","1,013.46",0,-0.18%
"Sep 18, 2019","1,021.88","1,024.88","1,031.65","1,019.87",0,0.48%
"Sep 17, 2019","1,017.00","1,023.52","1,034.03","1,014.20",0,-0.54%
"Sep 16, 2019","1,022.57","1,017.87","1,044.09","1,010.75",0,0.49%
"Sep 13, 2019","1,017.56","1,003.83","1,021.94",996.46,0,1.76%
"Sep 12, 2019","1,000.00","1,004.08","1,012.82",999.78,0,-0.61%
"Sep 11, 2019","1,006.11",999.06,"1,012.07",982.77,0,0.71%
"Sep 10, 2019",999.06,"1,003.75","1,011.59",997.50,0,-0.60%
"Sep 09, 2019","1,005.05","1,022.33","1,026.00",998.51,0,-1.19%
"Sep 06, 2019","1,017.15","1,028.22","1,035.00","1,017.15",0,-0.99%
"Sep 05, 2019","1,027.37","1,008.67","1,028.36","1,008.67",0,1.85%
"Sep 04, 2019","1,008.67","1,011.26","1,018.17",996.97,0,0.26%
"Sep 03, 2019","1,006.08","1,009.15","1,012.75","1,000.49",0,-0.30%
"Sep 02, 2019","1,009.15","1,010.80","1,014.46",997.16,0,-0.83%
"Aug 30, 2019","1,017.60","1,021.91","1,028.65","1,010.39",0,-0.16%
"Aug 29, 2019","1,019.27","1,011.54","1,025.66","1,011.36",0,0.61%
"Aug 28, 2019","1,013.12","1,006.91","1,014.34","1,002.90",0,0.62%
"Aug 27, 2019","1,006.91",992.45,"1,013.62",992.45,0,1.08%
"Aug 26, 2019",996.14,996.62,999.01,973.45,0,-0.30%
"Aug 23, 2019",999.15,"1,008.68","1,013.30",989.47,0,-0.94%
"Aug 22, 2019","1,008.68",996.93,"1,009.36",994.74,0,1.18%
"Aug 21, 2019",996.93,983.90,999.72,982.44,0,1.41%
"Aug 20, 2019",983.05,988.79,993.54,973.23,0,-0.13%
"Aug 19, 2019",984.36,943.35,990.10,943.35,0,4.24%
"Aug 16, 2019",944.29,952.36,960.81,944.29,0,-0.85%
"Aug 14, 2019",952.36,961.37,972.34,944.58,0,-0.94%
"Aug 13, 2019",961.37,964.91,970.89,931.67,0,-0.57%
"Aug 12, 2019",966.90,988.90,994.47,962.91,0,-2.19%
"Aug 09, 2019",988.58,"1,000.30","1,008.76",978.92,0,-1.15%
"Aug 08, 2019","1,000.09","1,002.64","1,016.63",990.55,0,0.34%
"Aug 07, 2019",996.69,"1,017.83","1,027.13",996.69,0,-1.93%
