"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","2,868.89","2,873.87","2,873.87","2,857.50","-","-0.47%"
"Dec 30, 2019","2,882.57","2,867.02","2,894.24","2,850.56","-","0.79%"
"Dec 27, 2019","2,860.08","2,855.93","2,868.90","2,850.13","-","0.71%"
"Dec 24, 2019","2,839.98","2,837.15","2,841.60","2,830.78","-","0.07%"
"Dec 23, 2019","2,837.87","2,832.36","2,843.80","2,825.07","-","0.60%"
"Dec 20, 2019","2,820.95","2,845.78","2,845.78","2,816.53","-","-0.43%"
"Dec 19, 2019","2,833.25","2,847.44","2,856.50","2,823.94","-","-0.30%"
"Dec 18, 2019","2,841.79","2,869.08","2,869.08","2,828.96","-","-0.66%"
"Dec 17, 2019","2,860.77","2,859.69","2,869.66","2,841.16","-","0.76%"
"Dec 16, 2019","2,839.15","2,839.04","2,850.27","2,825.72","-","-0.31%"
"Dec 13, 2019","2,847.93","2,821.58","2,849.84","2,821.58","-","2.55%"
"Dec 12, 2019","2,777.01","2,748.86","2,777.01","2,747.74","-","1.47%"
"Dec 11, 2019","2,736.68","2,715.32","2,736.68","2,709.83","-","0.71%"
"Dec 10, 2019","2,717.30","2,746.89","2,746.89","2,716.91","-","-1.29%"
"Dec 09, 2019","2,752.95","2,778.42","2,782.50","2,749.74","-","-0.88%"
"Dec 06, 2019","2,777.50","2,765.75","2,779.53","2,757.20","-","0.92%"
"Dec 05, 2019","2,752.26","2,745.94","2,752.26","2,734.57","-","1.02%"
"Dec 04, 2019","2,724.38","2,737.29","2,744.09","2,720.42","-","-1.11%"
"Dec 03, 2019","2,754.89","2,749.32","2,759.24","2,726.33","-","0.29%"
"Dec 02, 2019","2,746.89","2,745.25","2,756.94","2,737.52","-","0.68%"
"Nov 29, 2019","2,728.34","2,763.47","2,765.39","2,717.73","-","-1.41%"
"Nov 28, 2019","2,767.40","2,787.76","2,796.06","2,766.37","-","-1.33%"
"Nov 27, 2019","2,804.81","2,807.08","2,807.92","2,793.00","-","0.14%"
"Nov 26, 2019","2,800.95","2,807.85","2,822.41","2,795.41","-","0.46%"
"Nov 25, 2019","2,787.99","2,772.29","2,802.22","2,772.29","-","0.96%"
"Nov 22, 2019","2,761.51","2,770.50","2,780.82","2,751.52","-","0.01%"
"Nov 21, 2019","2,761.14","2,782.20","2,782.20","2,750.20","-","-1.50%"
"Nov 20, 2019","2,803.17","2,813.00","2,815.52","2,795.08","-","-0.61%"
"Nov 19, 2019","2,820.41","2,786.43","2,820.41","2,776.69","-","1.10%"
"Nov 18, 2019","2,789.66","2,768.65","2,789.66","2,758.55","-","1.33%"
"Nov 15, 2019","2,753.00","2,766.22","2,774.12","2,749.87","-","0.15%"
"Nov 14, 2019","2,748.99","2,780.49","2,782.23","2,741.05","-","-1.06%"
"Nov 13, 2019","2,778.31","2,808.52","2,809.53","2,768.26","-","-1.94%"
"Nov 12, 2019","2,833.35","2,827.54","2,833.35","2,800.19","-","0.75%"
"Nov 11, 2019","2,812.14","2,878.76","2,878.76","2,803.76","-","-2.95%"
"Nov 08, 2019","2,897.58","2,904.45","2,917.33","2,892.36","-","0.09%"
"Nov 07, 2019","2,894.99","2,877.99","2,895.81","2,867.91","-","0.61%"
"Nov 06, 2019","2,877.31","2,891.87","2,891.87","2,860.12","-","-0.23%"
"Nov 05, 2019","2,883.87","2,878.76","2,889.63","2,866.24","-","0.72%"
"Nov 04, 2019","2,863.32","2,839.65","2,865.12","2,834.75","-","1.43%"
"Nov 01, 2019","2,822.93","2,809.91","2,823.49","2,803.96","-","0.15%"
"Oct 31, 2019","2,818.83","2,798.05","2,825.32","2,797.16","-","1.02%"
"Oct 30, 2019","2,790.48","2,806.10","2,806.10","2,781.19","-","-0.36%"
"Oct 29, 2019","2,800.68","2,808.79","2,814.83","2,790.09","-","0.39%"
"Oct 28, 2019","2,789.82","2,757.37","2,795.24","2,753.92","-","1.77%"
"Oct 25, 2019","2,741.35","2,731.85","2,747.52","2,729.89","-","0.34%"
"Oct 24, 2019","2,732.14","2,711.75","2,732.49","2,704.54","-","0.94%"
"Oct 23, 2019","2,706.78","2,735.17","2,735.54","2,700.17","-","-0.92%"
"Oct 22, 2019","2,731.82","2,725.79","2,738.70","2,719.72","-","0.85%"
"Oct 21, 2019","2,708.68","2,720.51","2,720.51","2,698.70","-","-0.38%"
"Oct 18, 2019","2,719.13","2,756.04","2,758.41","2,716.23","-","-0.92%"
"Oct 17, 2019","2,744.28","2,732.76","2,760.28","2,724.82","-","0.50%"
"Oct 16, 2019","2,730.51","2,715.65","2,732.24","2,712.36","-","0.72%"
"Oct 15, 2019","2,710.90","2,722.70","2,722.70","2,699.11","-","0.19%"
"Oct 14, 2019","2,705.83","2,698.53","2,713.95","2,697.25","-","1.41%"
"Oct 11, 2019","2,668.14","2,639.89","2,669.53","2,633.89","-","1.56%"
"Oct 10, 2019","2,627.18","2,599.91","2,638.93","2,594.91","-","1.28%"
"Oct 09, 2019","2,593.86","2,604.51","2,611.60","2,588.85","-","-0.73%"
"Oct 08, 2019","2,612.81","2,625.97","2,643.79","2,608.86","-","-0.06%"
"Oct 04, 2019","2,614.29","2,651.64","2,651.64","2,588.32","-","-0.69%"
"Oct 03, 2019","2,632.58","2,594.57","2,637.19","2,583.41","-","1.14%"
"Oct 02, 2019","2,602.85","2,593.72","2,606.98","2,583.17","-","-0.01%"
"Sep 30, 2019","2,603.09","2,594.15","2,606.80","2,578.16","-","-0.06%"
"Sep 27, 2019","2,604.72","2,598.16","2,610.23","2,577.08","-","0.13%"
"Sep 26, 2019","2,601.32","2,612.64","2,619.59","2,590.65","-","0.06%"
"Sep 25, 2019","2,599.80","2,627.05","2,627.05","2,594.83","-","-1.14%"
"Sep 24, 2019","2,629.88","2,647.89","2,649.10","2,623.83","-","-0.30%"
"Sep 23, 2019","2,637.76","2,673.36","2,673.51","2,630.73","-","-1.03%"
"Sep 20, 2019","2,665.20","2,693.14","2,693.14","2,655.73","-","-0.67%"
"Sep 19, 2019","2,683.25","2,719.70","2,719.70","2,670.28","-","-1.01%"
"Sep 18, 2019","2,710.70","2,705.94","2,724.55","2,704.76","-","0.58%"
"Sep 17, 2019","2,695.18","2,730.29","2,730.29","2,686.36","-","-1.65%"
"Sep 16, 2019","2,740.41","2,754.52","2,761.88","2,723.47","-","-1.39%"
"Sep 13, 2019","2,779.10","2,735.20","2,779.96","2,716.94","-","1.93%"
"Sep 12, 2019","2,726.50","2,721.81","2,729.69","2,710.57","-","0.70%"
"Sep 11, 2019","2,707.46","2,702.50","2,707.46","2,674.10","-","0.43%"
"Sep 10, 2019","2,695.79","2,705.88","2,711.74","2,677.97","-","0.10%"
