"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","3,889.55","3,899.03","3,908.47","3,882.07","825.13M","-0.42%"
"Dec 30, 2019","3,905.99","3,893.88","3,917.16","3,880.20","1.38B","0.47%"
"Dec 27, 2019","3,887.86","3,865.36","3,894.89","3,860.47","1.29B","1.13%"
"Dec 24, 2019","3,844.53","3,846.55","3,851.83","3,827.31","454.57M","-0.17%"
"Dec 23, 2019","3,850.97","3,881.48","3,881.48","3,842.43","1.09B","-0.30%"
"Dec 20, 2019","3,862.44","3,858.83","3,875.89","3,846.01","1.45B","-0.04%"
"Dec 19, 2019","3,863.99","3,881.94","3,881.94","3,851.37","1.21B","-0.35%"
"Dec 18, 2019","3,877.50","3,875.30","3,888.66","3,862.21","1.92B","0.10%"
"Dec 17, 2019","3,873.46","3,830.36","3,880.50","3,828.21","2.01B","1.46%"
"Dec 16, 2019","3,817.62","3,827.16","3,846.23","3,817.62","1.35B","-0.97%"
"Dec 13, 2019","3,854.95","3,819.17","3,854.95","3,807.72","2.08B","2.70%"
"Dec 12, 2019","3,753.48","3,740.08","3,772.16","3,739.81","1.22B","1.05%"
"Dec 11, 2019","3,714.50","3,672.95","3,719.07","3,667.58","1.20B","0.91%"
"Dec 10, 2019","3,681.03","3,673.14","3,693.02","3,668.53","809.35M","-0.05%"
"Dec 09, 2019","3,682.70","3,685.93","3,697.07","3,674.15","922.35M","0.01%"
"Dec 06, 2019","3,682.30","3,662.44","3,685.78","3,659.23","1.14B","0.81%"
"Dec 05, 2019","3,652.62","3,665.30","3,665.30","3,645.14","1.11B","0.45%"
"Dec 04, 2019","3,636.20","3,645.80","3,655.73","3,628.79","1.32B","-1.28%"
"Dec 03, 2019","3,683.38","3,671.66","3,690.02","3,641.88","1.55B","-0.20%"
"Dec 02, 2019","3,690.89","3,690.31","3,702.85","3,687.40","1.28B","0.33%"
"Nov 29, 2019","3,678.58","3,731.46","3,731.46","3,676.05","1.56B","-1.96%"
"Nov 28, 2019","3,752.24","3,739.66","3,767.37","3,739.66","725.28M","-0.22%"
"Nov 27, 2019","3,760.49","3,752.93","3,762.12","3,741.10","773.92M","0.23%"
"Nov 26, 2019","3,751.92","3,782.27","3,785.42","3,749.69","2.09B","-0.22%"
"Nov 25, 2019","3,760.03","3,742.53","3,776.53","3,740.63","1.17B","1.45%"
"Nov 22, 2019","3,706.47","3,704.46","3,718.06","3,693.91","862.91M","0.44%"
"Nov 21, 2019","3,690.12","3,705.15","3,705.15","3,670.32","1.41B","-1.44%"
"Nov 20, 2019","3,744.10","3,756.23","3,758.30","3,734.19","1.09B","-0.94%"
"Nov 19, 2019","3,779.56","3,730.58","3,779.92","3,720.53","1.20B","1.33%"
"Nov 18, 2019","3,729.95","3,699.71","3,735.58","3,696.28","1.16B","1.28%"
"Nov 15, 2019","3,682.75","3,703.80","3,710.65","3,681.42","1.04B","0.07%"
"Nov 14, 2019","3,680.16","3,691.99","3,714.64","3,664.16","1.25B","-0.82%"
"Nov 13, 2019","3,710.46","3,737.87","3,739.14","3,694.90","1.53B","-1.88%"
