"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","4,735.44","4,712.61","4,738.20","4,696.98","-","0.47%"
"Dec 30, 2019","4,713.17","4,737.36","4,737.36","4,696.64","-","-0.35%"
"Dec 27, 2019","4,729.69","4,716.58","4,738.72","4,693.55","-","0.79%"
"Dec 24, 2019","4,692.45","4,701.79","4,715.93","4,685.52","-","-0.17%"
"Dec 23, 2019","4,700.62","4,668.25","4,709.93","4,656.33","-","0.95%"
"Dec 20, 2019","4,656.38","4,690.84","4,709.90","4,633.56","-","-0.41%"
"Dec 19, 2019","4,675.64","4,682.60","4,689.18","4,648.66","-","0.03%"
"Dec 18, 2019","4,674.42","4,698.88","4,706.25","4,638.82","-","-0.37%"
"Dec 17, 2019","4,691.67","4,611.24","4,708.45","4,611.24","-","2.06%"
"Dec 16, 2019","4,596.76","4,578.32","4,620.39","4,562.32","-","0.29%"
"Dec 13, 2019","4,583.43","4,595.00","4,610.81","4,568.19","-","0.68%"
"Dec 12, 2019","4,552.55","4,542.50","4,568.84","4,535.50","-","0.74%"
"Dec 11, 2019","4,518.97","4,476.40","4,539.26","4,476.40","-","0.78%"
"Dec 10, 2019","4,484.01","4,497.49","4,521.99","4,472.29","-","-0.26%"
"Dec 09, 2019","4,495.51","4,599.69","4,603.15","4,492.40","-","-1.98%"
"Dec 06, 2019","4,586.20","4,529.99","4,591.87","4,529.99","-","1.47%"
"Dec 05, 2019","4,519.54","4,483.94","4,529.66","4,481.52","-","1.69%"
"Dec 04, 2019","4,444.39","4,475.38","4,488.50","4,434.96","-","-0.94%"
"Dec 03, 2019","4,486.59","4,456.13","4,486.59","4,429.08","-","0.54%"
"Dec 02, 2019","4,462.32","4,515.05","4,515.05","4,452.37","-","-0.98%"
"Nov 29, 2019","4,506.50","4,628.68","4,628.68","4,471.95","-","-3.88%"
"Nov 28, 2019","4,688.62","4,650.56","4,700.87","4,640.39","-","0.30%"
"Nov 27, 2019","4,674.44","4,673.43","4,693.28","4,652.30","-","-0.23%"
"Nov 26, 2019","4,685.02","4,690.92","4,760.58","4,669.36","-","0.32%"
"Nov 25, 2019","4,670.06","4,773.65","4,773.65","4,660.52","-","-1.81%"
"Nov 22, 2019","4,756.17","4,776.94","4,786.72","4,710.86","-","-0.23%"
"Nov 21, 2019","4,766.97","4,834.04","4,834.04","4,731.85","-","-1.80%"
"Nov 20, 2019","4,854.50","4,870.79","4,906.44","4,840.17","-","-0.63%"
"Nov 19, 2019","4,885.48","4,777.62","4,885.48","4,753.30","-","2.67%"
"Nov 18, 2019","4,758.54","4,767.83","4,774.08","4,721.30","-","-0.02%"
"Nov 15, 2019","4,759.54","4,787.03","4,792.77","4,757.83","-","-0.16%"
"Nov 14, 2019","4,767.05","4,792.65","4,832.76","4,746.43","-","-0.20%"
"Nov 13, 2019","4,776.37","4,748.09","4,819.77","4,722.09","-","-0.34%"
"Nov 12, 2019","4,792.86","4,825.15","4,827.82","4,729.88","-","-0.04%"
"Nov 11, 2019","4,794.55","4,899.66","4,899.66","4,763.11","-","-2.05%"
"Nov 08, 2019","4,894.74","4,924.98","4,946.14","4,876.97","-","-0.22%"
"Nov 07, 2019","4,905.72","4,831.33","4,912.86","4,822.17","-","1.90%"
"Nov 06, 2019","4,814.08","4,811.10","4,829.15","4,796.52","-","0.19%"
"Nov 05, 2019","4,804.80","4,870.75","4,872.57","4,784.97","-","-1.27%"
"Nov 04, 2019","4,866.61","4,770.98","4,870.72","4,768.73","-","2.55%"
"Nov 01, 2019","4,745.69","4,746.36","4,784.09","4,729.51","-","-1.00%"
"Oct 31, 2019","4,793.67","4,770.93","4,843.36","4,762.10","-","0.93%"
"Oct 30, 2019","4,749.39","4,776.47","4,776.47","4,695.82","-","-0.15%"
"Oct 29, 2019","4,756.66","4,725.10","4,765.83","4,710.64","-","1.07%"
"Oct 28, 2019","4,706.36","4,646.25","4,733.18","4,638.42","-","1.69%"
