"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","4,714.81","4,714.81","4,714.81","4,714.81","-","0.39%"
"Dec 30, 2019","4,696.64","4,696.64","4,696.64","4,696.64","-","-0.35%"
"Dec 27, 2019","4,713.00","4,713.00","4,713.00","4,713.00","-","0.83%"
"Dec 24, 2019","4,674.34","4,674.34","4,674.34","4,674.34","-","0.90%"
"Dec 23, 2019","4,632.46","4,632.46","4,632.46","4,632.46","-","0.18%"
"Dec 20, 2019","4,624.25","4,624.25","4,624.25","4,624.25","-","-1.11%"
"Dec 19, 2019","4,676.12","4,676.12","4,676.12","4,676.12","-","-0.88%"
"Dec 18, 2019","4,717.83","4,717.83","4,717.83","4,717.83","-","-0.44%"
"Dec 17, 2019","4,738.77","4,738.77","4,738.77","4,738.77","-","0.86%"
"Dec 16, 2019","4,698.19","4,698.19","4,698.19","4,698.19","-","1.13%"
"Dec 13, 2019","4,645.82","4,645.82","4,645.82","4,645.82","-","1.41%"
"Dec 12, 2019","4,581.44","4,581.44","4,581.44","4,581.44","-","1.02%"
"Dec 11, 2019","4,535.40","4,535.40","4,535.40","4,535.40","-","1.56%"
"Dec 10, 2019","4,465.88","4,465.88","4,465.88","4,465.88","-","-0.12%"
"Dec 09, 2019","4,471.46","4,471.46","4,471.46","4,471.46","-","-0.28%"
"Dec 06, 2019","4,483.82","4,483.82","4,483.82","4,483.82","-","2.55%"
"Dec 05, 2019","4,372.52","4,372.52","4,372.52","4,372.52","-","2.72%"
"Dec 04, 2019","4,256.63","4,256.63","4,256.63","4,256.63","-","-0.98%"
"Dec 03, 2019","4,298.57","4,298.57","4,298.57","4,298.57","-","0.57%"
"Dec 02, 2019","4,274.39","4,274.39","4,274.39","4,274.39","-","-0.48%"
"Nov 29, 2019","4,294.92","4,294.92","4,294.92","4,294.92","-","-1.83%"
"Nov 28, 2019","4,375.13","4,375.13","4,375.13","4,375.13","-","0.97%"
"Nov 27, 2019","4,333.06","4,333.06","4,333.06","4,333.06","-","0.91%"
"Nov 26, 2019","4,293.94","4,293.94","4,293.94","4,293.94","-","-0.22%"
"Nov 25, 2019","4,303.59","4,303.59","4,303.59","4,303.59","-","0.23%"
"Nov 22, 2019","4,293.80","4,293.80","4,293.80","4,293.80","-","1.04%"
"Nov 21, 2019","4,249.50","4,249.50","4,249.50","4,249.50","-","-2.88%"
"Nov 20, 2019","4,375.66","4,375.66","4,375.66","4,375.66","-","-0.56%"
"Nov 19, 2019","4,400.45","4,400.45","4,400.45","4,400.45","-","1.85%"
"Nov 18, 2019","4,320.67","4,320.67","4,320.67","4,320.67","-","0.85%"
"Nov 15, 2019","4,284.37","4,284.37","4,284.37","4,284.37","-","0.01%"
"Nov 14, 2019","4,283.88","4,283.88","4,283.88","4,283.88","-","0.99%"
"Nov 13, 2019","4,241.97","4,241.97","4,241.97","4,241.97","-","-0.76%"
"Nov 12, 2019","4,274.65","4,274.65","4,274.65","4,274.65","-","1.73%"
"Nov 11, 2019","4,201.83","4,201.83","4,201.83","4,201.83","-","-3.15%"
"Nov 08, 2019","4,338.27","4,338.27","4,338.27","4,338.27","-","-1.65%"
"Nov 07, 2019","4,410.99","4,410.99","4,410.99","4,410.99","-","0.11%"
"Nov 06, 2019","4,406.22","4,406.22","4,406.22","4,406.22","-","0.37%"
"Nov 05, 2019","4,389.91","4,389.91","4,389.91","4,389.91","-","0.60%"
"Nov 04, 2019","4,363.87","4,363.87","4,363.87","4,363.87","-","2.03%"
"Nov 01, 2019","4,276.98","4,276.98","4,276.98","4,276.98","-","0.15%"
"Oct 31, 2019","4,270.66","4,270.66","4,270.66","4,270.66","-","0.86%"
"Oct 30, 2019","4,234.04","4,234.04","4,234.04","4,234.04","-","0.20%"
"Oct 29, 2019","4,225.45","4,225.45","4,225.45","4,225.45","-","-0.64%"
"Oct 28, 2019","4,252.75","4,252.75","4,252.75","4,252.75","-","1.86%"
"Oct 25, 2019","4,175.15","4,175.15","4,175.15","4,175.15","-","0.80%"
