"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2020","24,662.10","24,998.33","25,176.54","24,638.84","236.92M","-1.40%"
"Dec 31, 2019","25,011.55","25,173.99","25,199.88","24,961.75","189.41M","-0.33%"
"Dec 30, 2019","25,094.73","25,075.92","25,142.45","24,979.89","277.13M","0.33%"
"Dec 27, 2019","25,011.56","25,070.85","25,142.01","24,918.82","132.20M","-0.13%"
"Dec 26, 2019","25,043.39","25,135.05","25,191.52","24,953.77","181.89M","-0.08%"
"Dec 24, 2019","25,063.60","25,089.84","25,244.13","25,023.07","213.98M","-0.02%"
"Dec 23, 2019","25,068.58","24,993.49","25,247.21","24,993.49","908.02M","0.30%"
"Dec 20, 2019","24,993.85","24,700.87","25,032.35","24,695.14","227.78M","1.20%"
"Dec 19, 2019","24,697.78","24,654.77","24,738.29","24,542.91","707.79M","0.32%"
"Dec 18, 2019","24,618.33","24,670.97","24,696.17","24,551.79","168.23M","-0.08%"
"Dec 17, 2019","24,639.07","24,858.93","24,864.74","24,579.22","168.21M","-0.68%"
"Dec 16, 2019","24,806.58","25,109.14","25,160.01","24,753.17","242.43M","-1.05%"
"Dec 13, 2019","25,070.51","25,133.06","25,229.43","25,012.03","161.18M","0.11%"
"Dec 12, 2019","25,042.38","25,079.96","25,136.39","24,965.26","134.02M","0.53%"
"Dec 11, 2019","24,910.95","25,000.53","25,036.76","24,886.35","194.30M","-0.08%"
"Dec 10, 2019","24,931.62","25,028.08","25,110.37","24,903.74","203.49M","-0.23%"
"Dec 09, 2019","24,987.91","24,974.73","25,085.40","24,848.25","129.13M","0.05%"
"Dec 06, 2019","24,976.02","25,395.18","25,395.18","24,929.63","275.45M","-1.10%"
"Dec 05, 2019","25,252.84","25,199.12","25,443.76","25,126.76","289.37M","0.69%"
"Dec 04, 2019","25,079.52","24,766.21","25,147.36","24,684.10","208.78M","1.33%"
"Dec 03, 2019","24,750.90","24,907.10","24,992.68","24,683.11","51.48B","0.09%"
"Dec 02, 2019","24,728.02","24,920.07","24,937.15","24,616.72","157.76M","-0.58%"
"Nov 29, 2019","24,872.70","25,065.16","25,086.16","24,780.76","226.92M","-0.28%"
"Nov 28, 2019","24,941.83","24,826.67","24,994.65","24,809.87","176.40M","0.37%"
"Nov 27, 2019","24,849.69","25,027.67","25,027.67","24,752.90","329.08M","0.17%"
"Nov 26, 2019","24,806.53","25,153.29","25,297.97","24,725.54","238.20M","-0.92%"
"Nov 25, 2019","25,037.93","24,942.94","25,069.86","24,825.84","679.32M","1.04%"
"Nov 22, 2019","24,779.27","24,963.58","24,963.58","24,577.86","293.91M","-0.60%"
"Nov 21, 2019","24,928.71","25,166.10","25,220.60","24,886.00","144.07M","-0.99%"
"Nov 20, 2019","25,178.71","25,372.11","25,372.11","25,133.89","712.82M","-0.58%"
