"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2020","7,001.21","7,007.14","7,029.00","6,987.98","-","0.07%"
"Dec 31, 2019","6,996.14","7,045.44","7,045.58","6,985.81","-","-0.55%"
"Dec 30, 2019","7,034.87","7,073.11","7,074.85","7,015.04","-","-0.18%"
"Dec 27, 2019","7,047.77","6,991.68","7,054.32","6,977.99","-","1.16%"
"Dec 26, 2019","6,966.69","7,018.07","7,018.07","6,957.98","-","-0.46%"
"Dec 24, 2019","6,998.65","7,019.63","7,029.04","6,992.57","-","-0.24%"
"Dec 23, 2019","7,015.65","7,012.81","7,035.62","6,979.39","-","0.09%"
"Dec 20, 2019","7,009.15","6,995.40","7,013.35","6,981.21","-","0.37%"
"Dec 19, 2019","6,983.25","7,007.69","7,012.03","6,972.11","-","-0.31%"
"Dec 18, 2019","7,004.62","7,006.08","7,012.00","6,958.97","-","0.39%"
"Dec 17, 2019","6,977.61","6,926.40","6,983.44","6,912.89","-","0.92%"
"Dec 16, 2019","6,913.72","6,938.27","6,947.09","6,903.75","-","-0.05%"
"Dec 13, 2019","6,917.05","6,867.52","6,936.67","6,867.18","-","0.99%"
"Dec 12, 2019","6,849.36","6,811.32","6,857.57","6,801.15","-","0.95%"
"Dec 11, 2019","6,784.65","6,752.19","6,800.55","6,712.86","-","0.58%"
"Dec 10, 2019","6,745.45","6,797.30","6,801.23","6,738.08","-","-0.43%"
"Dec 09, 2019","6,774.57","6,776.24","6,806.39","6,729.85","-","0.19%"
"Dec 06, 2019","6,762.03","6,883.44","6,883.92","6,737.07","-","-1.34%"
"Dec 05, 2019","6,853.87","6,894.88","6,911.85","6,840.80","-","-0.49%"
"Dec 04, 2019","6,887.52","6,824.82","6,895.79","6,800.59","-","0.76%"
"Dec 03, 2019","6,835.54","6,863.65","6,873.64","6,806.30","-","-0.41%"
"Dec 02, 2019","6,863.60","6,905.38","6,915.96","6,837.42","-","-0.34%"
"Nov 29, 2019","6,887.05","6,925.57","6,927.34","6,856.41","-","-0.55%"
