"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2020","13,464.43","13,429.02","13,481.75","13,423.95","-","0.26%"
"Dec 31, 2019","13,429.11","13,463.64","13,513.92","13,408.32","-","-0.21%"
"Dec 30, 2019","13,457.16","13,465.34","13,510.86","13,439.67","-","0.30%"
"Dec 27, 2019","13,416.30","13,316.10","13,431.80","13,314.66","-","0.73%"
"Dec 26, 2019","13,318.87","13,428.36","13,432.11","13,304.44","-","-0.58%"
"Dec 24, 2019","13,396.89","13,402.73","13,413.61","13,347.64","-","0.07%"
"Dec 23, 2019","13,387.82","13,398.03","13,439.95","13,351.08","-","-0.07%"
"Dec 20, 2019","13,397.66","13,452.48","13,479.48","13,379.96","-","-0.42%"
"Dec 19, 2019","13,454.71","13,462.99","13,498.21","13,398.40","-","0.06%"
"Dec 18, 2019","13,446.15","13,379.74","13,456.27","13,364.71","-","0.69%"
"Dec 17, 2019","13,354.56","13,394.30","13,426.94","13,322.56","-","-0.19%"
"Dec 16, 2019","13,379.81","13,358.00","13,470.91","13,337.54","-","0.03%"
"Dec 13, 2019","13,376.12","13,374.88","13,394.34","13,275.87","-","0.06%"
"Dec 12, 2019","13,368.35","13,291.89","13,421.21","13,291.89","-","0.67%"
"Dec 11, 2019","13,278.74","13,287.57","13,292.98","13,205.88","-","0.44%"
"Dec 10, 2019","13,220.16","13,353.05","13,378.73","13,207.56","-","-0.77%"
"Dec 09, 2019","13,322.34","13,408.81","13,434.04","13,302.11","-","-0.20%"
"Dec 06, 2019","13,348.71","13,516.10","13,604.36","13,329.89","-","-0.92%"
"Dec 05, 2019","13,472.34","13,607.32","13,612.63","13,454.51","-","-0.65%"
"Dec 04, 2019","13,560.99","13,459.18","13,572.00","13,420.31","-","0.86%"
"Dec 03, 2019","13,445.55","13,531.84","13,582.69","13,423.89","-","-0.54%"
"Dec 02, 2019","13,518.37","13,578.58","13,600.09","13,461.44","-","-0.62%"
"Nov 29, 2019","13,603.33","13,687.88","13,738.60","13,552.46","-","-0.53%"
"Nov 28, 2019","13,676.18","13,668.11","13,693.86","13,618.03","-","0.21%"
"Nov 27, 2019","13,647.41","13,568.44","13,663.70","13,553.37","-","0.70%"
"Nov 26, 2019","13,552.89","13,621.68","13,711.61","13,514.14","-","-0.28%"
"Nov 25, 2019","13,590.56","13,418.09","13,611.90","13,398.00","-","1.42%"
"Nov 22, 2019","13,400.50","13,446.84","13,542.28","13,343.19","-","-0.15%"
"Nov 21, 2019","13,421.06","13,496.43","13,542.04","13,409.09","-","-0.38%"
"Nov 20, 2019","13,472.02","13,245.68","13,559.74","13,213.01","-","2.01%"
"Nov 19, 2019","13,206.86","13,187.88","13,250.49","13,180.74","-","0.36%"
"Nov 18, 2019","13,160.07","13,039.52","13,211.08","13,032.57","-","1.21%"
"Nov 15, 2019","13,002.75","12,951.67","13,071.92","12,866.30","11.86M","0.62%"
"Nov 14, 2019","12,922.97","12,956.83","12,988.52","12,858.14","14.34M","-0.26%"
"Nov 13, 2019","12,957.23","13,127.12","13,204.23","12,939.66","2.75M","-1.29%"
"Nov 11, 2019","13,126.16","13,084.32","13,163.34","13,002.53","2.47M","0.28%"
"Nov 08, 2019","13,089.52","13,346.57","13,346.57","13,072.20","2.82M","-1.70%"
"Nov 07, 2019","13,315.65","13,298.13","13,340.27","13,204.20","7.56M","0.64%"
"Nov 06, 2019","13,231.15","13,214.02","13,413.55","13,179.99","5.11M","0.33%"
"Nov 05, 2019","13,187.93","13,339.29","13,393.14","13,160.87","6.70M","-1.00%"
"Nov 04, 2019","13,321.11","13,330.35","13,443.53","13,305.92","4.05M","0.16%"
"Nov 01, 2019","13,300.13","13,249.92","13,356.02","13,246.58","3.74M","0.54%"
"Oct 31, 2019","13,229.05","13,129.81","13,270.39","13,129.28","2.78M","0.93%"
"Oct 30, 2019","13,107.34","13,155.28","13,170.46","13,065.53","2.69M","0.04%"
"Oct 29, 2019","13,101.45","12,995.47","13,153.74","12,990.17","2.44M","1.58%"
"Oct 25, 2019","12,897.86","12,893.25","12,943.30","12,757.76","3.93M","0.08%"
"Oct 24, 2019","12,887.81","12,872.41","12,935.25","12,797.28","3.93M","0.21%"
"Oct 23, 2019","12,860.61","12,895.53","12,899.38","12,822.66","4.11M","0.22%"
"Oct 22, 2019","12,831.86","12,645.05","12,902.30","12,639.88","2.53M","1.56%"
"Oct 18, 2019","12,635.07","12,516.36","12,673.55","12,480.00","4.12M","1.06%"
"Oct 17, 2019","12,503.06","12,399.84","12,518.07","12,351.26","1.85M","0.84%"
"Oct 16, 2019","12,399.04","12,360.79","12,410.49","12,319.24","2.23M","0.44%"
"Oct 15, 2019","12,344.78","12,274.90","12,365.91","12,254.73","2.47M","0.71%"
"Oct 14, 2019","12,258.08","12,166.45","12,336.21","12,165.31","58.86M","0.87%"
"Oct 11, 2019","12,152.32","12,116.79","12,172.42","11,973.53","3.54M","0.52%"
"Oct 10, 2019","12,089.61","12,059.50","12,125.63","11,979.48","3.92M","0.00%"
"Oct 09, 2019","12,089.46","12,004.36","12,109.59","11,873.70","3.08M","0.94%"
"Oct 07, 2019","11,976.39","12,314.90","12,314.90","11,954.75","4.68M","-2.43%"
"Oct 04, 2019","12,274.27","12,388.67","12,440.10","12,257.16","1.79M","-0.55%"
"Oct 03, 2019","12,341.68","12,328.56","12,375.37","12,194.06","2.17M","-0.13%"
"Oct 01, 2019","12,357.14","12,508.18","12,555.68","12,254.02","2.90M","-1.09%"
"Sep 30, 2019","12,493.53","12,694.83","12,694.83","12,434.26","2.56M","-1.57%"
"Sep 27, 2019","12,692.61","12,910.92","12,913.99","12,674.81","3.17M","-1.55%"
"Sep 26, 2019","12,892.82","12,823.44","12,903.14","12,813.08","2.86M","0.66%"
"Sep 25, 2019","12,808.18","12,985.60","12,990.46","12,780.15","2.88M","-1.47%"
"Sep 24, 2019","12,999.61","12,962.24","13,094.61","12,886.46","4.18M","0.24%"
"Sep 23, 2019","12,967.88","13,123.09","13,147.32","12,916.99","3.98M","-0.37%"
"Sep 20, 2019","13,016.57","12,752.47","13,044.82","12,664.99","3.00M","2.40%"
"Sep 19, 2019","12,711.03","12,893.91","12,901.27","12,693.36","1.70M","-1.33%"
"Sep 18, 2019","12,882.46","12,906.42","12,915.93","12,811.40","1.56M","0.27%"
"Sep 17, 2019","12,847.65","13,089.27","13,120.52","12,824.93","2.05M","-1.71%"
"Sep 16, 2019","13,071.02","13,013.44","13,124.18","12,966.41","6.50M","0.37%"
"Sep 13, 2019","13,022.70","13,128.58","13,128.58","12,933.76","2.58M","-0.38%"
"Sep 12, 2019","13,072.21","13,112.25","13,153.17","13,030.78","3.59M","0.11%"
"Sep 11, 2019","13,058.32","13,038.98","13,134.46","13,032.29","2.84M","0.31%"
"Sep 09, 2019","13,017.57","12,960.65","13,056.81","12,957.14","2.67M","0.50%"
"Sep 06, 2019","12,952.63","12,829.17","12,971.02","12,829.17","2.43M","0.29%"
"Sep 05, 2019","12,915.52","12,797.84","12,930.27","12,787.68","1.97M","1.11%"
"Sep 04, 2019","12,773.12","12,715.46","12,797.58","12,562.87","3.51M","0.01%"
"Sep 03, 2019","12,771.93","12,870.14","12,932.71","12,731.73","3.67M","-0.80%"
"Aug 30, 2019","12,875.40","12,673.84","12,923.77","12,630.18","3.18M","1.69%"
"Aug 29, 2019","12,661.94","12,549.22","12,679.28","12,470.00","2.70M","1.50%"
"Aug 28, 2019","12,475.13","12,571.64","12,669.64","12,431.35","2.20M","-0.68%"
"Aug 27, 2019","12,560.87","12,592.54","12,647.91","12,541.19","2.04M","0.10%"
"Aug 26, 2019","12,548.73","12,521.71","12,569.15","12,356.69","2.13M","0.71%"
"Aug 23, 2019","12,460.77","12,366.69","12,476.82","12,182.39","2.40M","0.92%"
"Aug 22, 2019","12,347.70","12,404.64","12,459.14","12,315.02","1.97M","-0.48%"
"Aug 21, 2019","12,407.55","12,528.18","12,543.14","12,385.96","2.46M","-0.97%"
"Aug 20, 2019","12,528.67","12,583.65","12,587.45","12,448.14","3.17M","-0.14%"
"Aug 19, 2019","12,545.62","12,541.67","12,672.36","12,527.11","3.06M","0.56%"
"Aug 16, 2019","12,476.15","12,529.47","12,547.29","12,396.13","2.67M","-0.29%"
"Aug 14, 2019","12,512.57","12,605.29","12,624.26","12,313.62","3.05M","-0.52%"
"Aug 13, 2019","12,577.85","12,692.02","12,766.92","12,518.81","3.08M","-0.91%"
"Aug 09, 2019","12,693.67","12,748.30","12,802.49","12,662.30","3.17M","-0.07%"
"Aug 08, 2019","12,702.20","12,604.71","12,733.72","12,542.57","2.77M","1.05%"
"Aug 07, 2019","12,570.50","12,529.12","12,695.10","12,520.01","2.23M","0.51%"
"Aug 06, 2019","12,506.46","12,415.11","12,581.25","12,404.85","2.33M","0.52%"
"Aug 05, 2019","12,441.64","12,501.32","12,522.40","12,347.46","3.59M","-0.91%"
"Aug 02, 2019","12,555.44","12,560.00","12,662.02","12,436.79","2.13M","-0.25%"
