"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2020","15,569.64","15,520.67","15,592.43","15,491.00","-","0.61%"
"Dec 31, 2019","15,475.81","15,570.24","15,580.55","15,453.57","-","-0.64%"
"Dec 30, 2019","15,575.06","15,627.68","15,700.43","15,512.72","-","-0.29%"
"Dec 27, 2019","15,619.96","15,574.27","15,648.25","15,495.32","-","0.46%"
"Dec 26, 2019","15,547.69","15,634.82","15,642.35","15,525.06","-","-0.43%"
"Dec 24, 2019","15,614.58","15,741.16","15,741.16","15,583.19","-","-0.61%"
"Dec 23, 2019","15,709.74","15,638.65","15,746.87","15,616.36","-","0.31%"
"Dec 20, 2019","15,661.27","15,662.48","15,726.91","15,593.17","-","0.08%"
"Dec 19, 2019","15,649.53","15,508.41","15,675.51","15,458.78","-","0.88%"
"Dec 18, 2019","15,513.29","15,467.03","15,614.25","15,430.63","-","0.48%"
"Dec 17, 2019","15,439.57","15,245.83","15,471.23","15,204.31","-","1.69%"
"Dec 16, 2019","15,183.42","15,069.70","15,266.06","15,038.03","-","1.18%"
"Dec 13, 2019","15,005.82","14,817.02","15,028.90","14,754.21","-","1.68%"
"Dec 12, 2019","14,757.71","15,008.22","15,027.42","14,684.68","-","-1.53%"
"Dec 11, 2019","14,987.13","14,867.07","15,005.18","14,859.35","-","0.97%"
"Dec 10, 2019","14,842.91","15,035.34","15,035.34","14,825.01","-","-1.18%"
"Dec 09, 2019","15,020.24","15,168.36","15,226.49","15,002.49","-","-1.02%"
"Dec 06, 2019","15,175.64","15,228.37","15,246.45","15,124.20","-","-0.13%"
"Dec 05, 2019","15,195.20","15,014.94","15,215.47","14,970.65","-","1.03%"
"Dec 04, 2019","15,039.68","14,818.31","15,051.68","14,818.31","-","1.37%"
"Dec 03, 2019","14,836.56","14,789.28","14,868.98","14,706.77","-","0.59%"
"Dec 02, 2019","14,749.28","14,952.34","15,001.25","14,714.76","-","-0.85%"
"Nov 29, 2019","14,875.14","15,031.59","15,033.20","14,837.33","-","-0.74%"
"Nov 28, 2019","14,985.67","14,953.39","15,000.03","14,914.55","-","0.73%"
"Nov 27, 2019","14,877.50","14,846.18","14,905.09","14,816.42","-","0.62%"
"Nov 26, 2019","14,785.70","15,018.25","15,092.80","14,716.54","-","-1.21%"
"Nov 25, 2019","14,966.56","14,909.84","14,984.01","14,853.21","-","0.65%"
"Nov 22, 2019","14,869.88","15,187.84","15,187.84","14,812.16","-","-2.21%"
"Nov 21, 2019","15,205.35","15,223.85","15,323.83","15,175.51","-","0.08%"
"Nov 20, 2019","15,193.71","15,205.60","15,222.49","15,121.76","-","0.06%"
"Nov 19, 2019","15,184.21","15,259.55","15,270.76","15,141.67","-","-0.17%"
"Nov 18, 2019","15,210.81","15,283.93","15,310.93","15,174.94","-","-0.28%"
"Nov 15, 2019","15,253.64","15,351.22","15,387.18","15,230.32","3.07M","-0.44%"
"Nov 14, 2019","15,321.21","15,194.52","15,352.51","15,168.53","6.84M","1.07%"
"Nov 13, 2019","15,158.43","15,087.36","15,250.29","15,086.56","2.43M","0.17%"
"Nov 11, 2019","15,132.63","15,267.12","15,267.12","15,061.15","1.73M","-0.67%"
"Nov 08, 2019","15,235.34","15,506.18","15,514.82","15,201.32","2.74M","-1.55%"
"Nov 07, 2019","15,475.48","15,463.71","15,505.19","15,393.08","2.23M","0.43%"
"Nov 06, 2019","15,409.60","15,360.66","15,502.60","15,247.16","3.81M","0.47%"
"Nov 05, 2019","15,336.95","15,428.02","15,428.02","15,233.06","3.89M","-0.60%"
"Nov 04, 2019","15,429.13","15,298.18","15,669.06","15,207.30","4.33M","1.02%"
"Nov 01, 2019","15,272.82","15,432.12","15,465.15","15,237.33","2.83M","-0.77%"
"Oct 31, 2019","15,392.04","15,200.82","15,492.07","15,164.27","3.79M","1.75%"
"Oct 30, 2019","15,127.82","15,038.90","15,176.18","14,934.07","2.82M","1.47%"
"Oct 29, 2019","14,908.32","14,707.92","14,919.26","14,671.18","2.68M","2.29%"
"Oct 25, 2019","14,574.19","14,534.14","14,635.65","14,457.15","3.34M","0.99%"
"Oct 24, 2019","14,431.76","14,617.86","14,655.52","14,410.68","5.04M","-0.71%"
"Oct 23, 2019","14,535.04","14,373.92","14,599.44","14,183.23","9.52M","1.15%"
"Oct 22, 2019","14,370.31","14,880.62","14,934.38","14,330.62","14.37M","-7.01%"
"Oct 18, 2019","15,453.60","15,369.05","15,486.23","15,288.35","2.61M","0.66%"
"Oct 17, 2019","15,352.71","15,330.50","15,374.95","15,241.55","3.92M","0.15%"
"Oct 16, 2019","15,329.51","15,242.63","15,355.94","15,213.08","3.60M","0.69%"
"Oct 15, 2019","15,224.41","15,252.07","15,295.23","15,192.45","2.16M","-0.66%"
"Oct 14, 2019","15,326.30","15,285.84","15,401.06","15,206.24","2.47M","-0.90%"
"Oct 11, 2019","15,466.23","15,042.93","15,544.65","14,979.99","2.46M","1.74%"
"Oct 10, 2019","15,201.95","15,258.89","15,368.89","15,138.08","1.57M","-0.25%"
"Oct 09, 2019","15,240.41","15,418.30","15,451.10","15,177.19","1.66M","-0.92%"
"Oct 07, 2019","15,381.56","15,513.87","15,625.18","15,344.93","1.51M","-0.65%"
"Oct 04, 2019","15,482.23","15,499.59","15,547.93","15,380.18","1.57M","0.74%"
"Oct 03, 2019","15,369.10","15,426.95","15,516.07","15,332.81","1.75M","-0.24%"
"Oct 01, 2019","15,406.76","15,711.07","15,711.07","15,347.23","1.81M","-1.68%"
"Sep 30, 2019","15,669.92","15,316.32","15,696.82","15,316.32","2.57M","2.33%"
"Sep 27, 2019","15,312.38","15,447.30","15,510.12","15,282.49","3.14M","-0.54%"
"Sep 26, 2019","15,395.94","15,491.62","15,559.99","15,289.61","2.45M","-0.55%"
"Sep 25, 2019","15,480.69","15,425.51","15,570.04","15,356.36","2.49M","0.42%"
"Sep 24, 2019","15,415.72","15,103.20","15,470.98","15,071.37","3.69M","2.31%"
"Sep 23, 2019","15,067.22","15,696.82","15,696.82","14,763.83","5.49M","-3.29%"
"Sep 20, 2019","15,579.31","15,771.79","15,971.27","15,543.58","4.68M","-1.09%"
"Sep 19, 2019","15,750.72","15,985.37","15,985.37","15,682.33","2.50M","-1.30%"
"Sep 18, 2019","15,957.73","15,908.15","15,988.84","15,844.70","3.87M","0.34%"
"Sep 17, 2019","15,903.83","16,022.90","16,031.14","15,808.14","2.80M","-0.56%"
"Sep 16, 2019","15,993.94","16,024.88","16,115.58","15,861.73","2.50M","0.16%"
"Sep 13, 2019","15,968.60","15,831.11","15,988.03","15,809.65","3.04M","0.98%"
"Sep 12, 2019","15,814.31","15,896.22","15,927.65","15,743.11","3.96M","-0.63%"
"Sep 11, 2019","15,914.37","16,091.03","16,148.49","15,879.22","10.59M","-1.29%"
"Sep 09, 2019","16,121.70","16,252.32","16,252.32","16,091.93","3.03M","-0.81%"
"Sep 06, 2019","16,253.78","16,283.85","16,422.45","16,198.22","2.97M","0.15%"
"Sep 05, 2019","16,229.95","16,287.44","16,351.12","16,164.38","1.68M","0.11%"
"Sep 04, 2019","16,212.57","16,195.96","16,267.04","16,122.95","2.09M","0.41%"
"Sep 03, 2019","16,145.96","16,162.21","16,342.84","16,086.23","1.47M","-0.02%"
