Category: All categories

Week,Apple: (Worldwide)
2016-10-02,35
2016-10-09,34
2016-10-16,32
2016-10-23,39
2016-10-30,34
2016-11-06,31
2016-11-13,33
2016-11-20,40
2016-11-27,34
2016-12-04,33
2016-12-11,34
2016-12-18,37
2016-12-25,40
2017-01-01,34
2017-01-08,32
2017-01-15,30
2017-01-22,29
2017-01-29,29
2017-02-05,29
2017-02-12,28
2017-02-19,28
2017-02-26,28
2017-03-05,27
2017-03-12,27
2017-03-19,30
2017-03-26,30
2017-04-02,29
2017-04-09,29
2017-04-16,28
2017-04-23,26
2017-04-30,27
2017-05-07,27
2017-05-14,28
2017-05-21,26
2017-05-28,26
2017-06-04,33
2017-06-11,29
2017-06-18,29
2017-06-25,29
2017-07-02,29
2017-07-09,29
2017-07-16,29
2017-07-23,30
2017-07-30,30
2017-08-06,31
2017-08-13,30
2017-08-20,30
2017-08-27,31
2017-09-03,30
2017-09-10,65
2017-09-17,41
2017-09-24,39
2017-10-01,35
2017-10-08,33
2017-10-15,33
2017-10-22,36
2017-10-29,37
2017-11-05,39
2017-11-12,36
2017-11-19,43
2017-11-26,39
2017-12-03,38
2017-12-10,36
2017-12-17,40
2017-12-24,48
2017-12-31,39
2018-01-07,35
2018-01-14,34
2018-01-21,32
2018-01-28,32
2018-02-04,31
2018-02-11,32
2018-02-18,31
2018-02-25,31
2018-03-04,29
2018-03-11,29
2018-03-18,28
2018-03-25,32
2018-04-01,31
2018-04-08,30
2018-04-15,28
2018-04-22,29
2018-04-29,30
2018-05-06,29
2018-05-13,29
2018-05-20,28
2018-05-27,29
2018-06-03,32
2018-06-10,29
2018-06-17,30
2018-06-24,28
2018-07-01,27
2018-07-08,29
2018-07-15,30
2018-07-22,30
2018-07-29,33
2018-08-05,31
2018-08-12,31
2018-08-19,29
2018-08-26,31
2018-09-02,30
2018-09-09,58
2018-09-16,41
2018-09-23,39
2018-09-30,34
2018-10-07,34
2018-10-14,33
2018-10-21,33
2018-10-28,38
2018-11-04,35
2018-11-11,36
2018-11-18,45
2018-11-25,39
2018-12-02,37
2018-12-09,39
2018-12-16,38
2018-12-23,46
2018-12-30,39
2019-01-06,35
2019-01-13,33
2019-01-20,31
2019-01-27,32
2019-02-03,31
2019-02-10,28
2019-02-17,29
2019-02-24,28
2019-03-03,27
2019-03-10,28
2019-03-17,30
2019-03-24,34
2019-03-31,29
2019-04-07,30
2019-04-14,28
2019-04-21,28
2019-04-28,29
2019-05-05,29
2019-05-12,28
2019-05-19,29
2019-05-26,29
2019-06-02,36
2019-06-09,30
2019-06-16,30
2019-06-23,30
2019-06-30,29
2019-07-07,30
2019-07-14,31
2019-07-21,29
2019-07-28,31
2019-08-04,30
2019-08-11,31
2019-08-18,32
2019-08-25,52
2019-09-01,100
2019-09-08,98
2019-09-15,80
2019-09-22,61
2019-09-29,38
2019-10-06,38
2019-10-13,37
2019-10-20,34
2019-10-27,39
2019-11-03,38
2019-11-10,39
2019-11-17,38
2019-11-24,49
2019-12-01,42
2019-12-08,38
2019-12-15,39
2019-12-22,50
2019-12-29,40
2020-01-05,35
2020-01-12,33
2020-01-19,33
2020-01-26,32
2020-02-02,31
2020-02-09,31
2020-02-16,31
2020-02-23,30
2020-03-01,31
2020-03-08,31
2020-03-15,31
2020-03-22,31
2020-03-29,33
2020-04-05,30
2020-04-12,38
2020-04-19,35
2020-04-26,36
2020-05-03,36
2020-05-10,34
2020-05-17,35
2020-05-24,35
2020-05-31,35
2020-06-07,34
2020-06-14,35
2020-06-21,38
2020-06-28,35
2020-07-05,36
2020-07-12,35
2020-07-19,36
2020-07-26,37
2020-08-02,37
2020-08-09,37
2020-08-16,39
2020-08-23,38
2020-08-30,41
2020-09-06,38
2020-09-13,54
2020-09-20,43
2020-09-27,39
2020-10-04,37
2020-10-11,56
2020-10-18,41
2020-10-25,40
2020-11-01,38
2020-11-08,44
2020-11-15,42
2020-11-22,49
2020-11-29,46
2020-12-06,42
2020-12-13,41
2020-12-20,47
2020-12-27,44
2021-01-03,39
2021-01-10,39
2021-01-17,37
2021-01-24,37
2021-01-31,36
2021-02-07,34
2021-02-14,33
2021-02-21,33
2021-02-28,33
2021-03-07,33
2021-03-14,31
2021-03-21,32
2021-03-28,31
2021-04-04,31
2021-04-11,31
2021-04-18,37
2021-04-25,33
2021-05-02,33
2021-05-09,31
2021-05-16,32
2021-05-23,32
2021-05-30,31
2021-06-06,35
2021-06-13,32
2021-06-20,33
2021-06-27,33
2021-07-04,32
2021-07-11,34
2021-07-18,35
2021-07-25,33
2021-08-01,34
2021-08-08,33
2021-08-15,33
2021-08-22,34
2021-08-29,34
2021-09-05,36
2021-09-12,56
2021-09-19,43
2021-09-26,42
