ip1,ip2,output
11.61,18.71,86.22
11.06,19.34,81.14
10.58,19.88,80.49
10.15,20.32,82.80
9.78,20.73,84.79
6.39,74.94,85.17
6.14,75.63,87.42
8.46,64.64,38.54
11.70,53.91,50.64
15.72,42.79,81.97
19.28,32.94,95.23
20.74,28.88,90.92
21.37,26.53,93.71
21.39,25.40,76.07
20.71,25.75,91.52
19.18,28.02,100.54
15.98,38.21,83.80
13.71,43.56,85.19
12.89,45.42,86.14
12.20,46.57,71.63
11.59,46.54,69.36
11.03,46.97,69.77
10.45,47.50,71.23
9.83,48.24,72.35
9.18,49.05,86.22
8.51,49.78,81.14
7.90,50.29,80.49
7.34,50.60,82.80
6.82,50.84,84.79
6.35,50.99,85.17
5.98,51.05,87.42
7.69,45.65,38.54
10.55,38.19,82.99
14.75,30.28,97.81
18.59,23.79,97.43
20.39,22.17,94.42
21.29,21.38,113.93
21.40,21.35,86.61
20.88,21.71,90.99
19.40,23.36,109.61
15.94,33.33,102.71
13.64,37.36,85.76
12.79,34.71,87.48
12.00,37.44,82.40
11.30,34.74,80.82
10.60,36.46,80.76
9.90,32.99,75.06
9.14,34.45,72.08
8.46,31.74,83.99
7.78,33.77,83.78
7.18,32.33,83.58
6.56,34.87,84.98
6.01,32.31,84.14
5.50,34.43,82.10
5.12,32.97,83.58
7.40,32.20,25.71
10.95,23.22,81.94
14.50,19.69,82.35
18.89,13.82,108.62
20.82,12.25,107.24
21.80,11.48,108.67
22.04,11.01,92.46
21.49,11.04,93.83
19.75,13.12,119.12
15.92,25.69,117.33
13.90,24.75,89.83
13.28,28.73,93.38
12.77,25.23,90.99
12.27,27.30,82.58
11.79,29.36,96.17
11.70,27.77,92.71
11.79,26.42,84.16
11.68,26.12,85.60
11.39,29.23,86.63
10.72,31.37,86.02
10.28,25.53,91.17
10.06,29.45,87.86
9.76,30.97,253.17
9.35,26.51,79.61
11.37,29.67,71.98
13.79,18.67,80.63
16.45,16.87,84.92
19.42,13.05,105.55
20.04,14.19,116.53
20.98,16.04,112.69
21.74,18.60,112.86
21.49,23.25,116.31
20.17,27.68,108.95
17.25,41.39,103.23
16.11,48.38,102.38
15.49,45.03,112.21
14.90,53.53,92.18
14.44,51.37,89.07
13.53,56.92,85.40
12.70,51.93,85.81
12.08,54.86,80.00
11.51,57.34,80.34
10.92,59.54,83.19
10.37,61.19,83.98
9.83,62.62,87.65
9.32,63.80,87.86
8.85,64.91,90.51
8.49,66.20,111.73
10.75,61.21,106.04
14.19,47.57,53.28
18.15,35.88,78.64
22.43,22.37,74.16
23.98,20.39,78.48
24.49,18.95,75.18
24.26,17.99,71.83
23.39,17.67,59.09
21.67,18.62,69.00
18.10,28.40,56.94
15.82,30.66,50.28
14.87,26.51,78.87
14.00,31.52,86.04
13.21,26.71,88.76
12.44,28.58,87.78
11.71,27.54,80.21
10.99,27.60,76.20
10.24,27.25,83.01
9.47,27.23,89.05
8.68,28.13,90.90
7.96,28.43,91.12
7.32,28.44,89.05
6.76,28.74,89.89
6.36,27.62,100.79
8.82,27.47,60.18
12.87,18.74,99.75
16.37,15.32,102.24
20.67,11.04,144.63
22.59,8.38,127.18
23.13,7.55,131.25
23.00,7.15,114.98
22.16,7.15,105.42
20.27,8.90,141.04
16.21,20.16,128.80
13.77,18.83,125.41
12.82,19.24,78.48
12.01,20.91,72.22
11.27,25.03,80.83
10.61,24.45,83.00
10.01,21.20,79.58
9.80,19.22,81.59
10.16,23.32,80.63
10.17,21.13,81.20
9.89,22.72,83.39
9.56,22.47,82.10
9.12,22.64,87.23
8.39,21.14,89.07
7.46,22.36,99.01
9.31,21.44,70.38
