Date, Open, High, Low, Close
03/25/20, 932.73, 948.94, 948.94, 948.94
03/24/20, 906.88, 937.08, 937.08, 937.08
03/23/20, 910.67, 870.99, 870.99, 870.99
03/20/20, 959.30, 916.59, 916.59, 916.59
03/19/20, 972.32, 955.54, 955.54, 955.54
03/18/20, 975.93, 973.71, 973.71, 973.71
03/17/20, 948.95, 1007.95, 1007.95, 1007.95
03/16/20, 998.10, 948.61, 948.61, 948.61
03/13/20, 984.85, 1053.92, 1053.92, 1053.92
03/12/20, 1061.43, 985.40, 985.40, 985.40
03/11/20, 1107.67, 1064.27, 1064.27, 1064.27
03/10/20, 1070.54, 1107.57, 1107.57, 1107.57
03/09/20, 1128.75, 1070.44, 1070.44, 1070.44
03/06/20, 1134.37, 1129.02, 1129.02, 1129.02
03/05/20, 1162.51, 1134.90, 1134.90, 1134.90
03/04/20, 1099.15, 1162.75, 1162.75, 1162.75
03/03/20, 1127.45, 1098.88, 1098.88, 1098.88
03/02/20, 1075.71, 1127.57, 1127.57, 1127.57
02/28/20, 1090.72, 1075.66, 1075.66, 1075.66
02/27/20, 1128.55, 1091.03, 1091.03, 1091.03
02/26/20, 1129.95, 1128.63, 1128.63, 1128.63
02/25/20, 1164.21, 1129.79, 1129.79, 1129.79
02/24/20, 1202.30, 1164.14, 1164.14, 1164.14
02/21/20, 1203.20, 1203.41, 1203.41, 1203.41
02/20/20, 1210.60, 1203.03, 1203.03, 1203.03
02/19/20, 1205.10, 1210.55, 1210.55, 1210.55
02/18/20, 1209.63, 1205.08, 1205.08, 1205.08
02/14/20, 1207.96, 1209.53, 1209.53, 1209.53
02/13/20, 1213.92, 1207.93, 1207.93, 1207.93
02/12/20, 1212.71, 1214.51, 1214.51, 1214.51
02/11/20, 1205.55, 1212.83, 1212.83, 1212.83
02/10/20, 1199.26, 1205.41, 1205.41, 1205.41
02/07/20, 1209.03, 1199.27, 1199.27, 1199.27
02/06/20, 1207.79, 1209.05, 1209.05, 1209.05
02/05/20, 1184.58, 1207.71, 1207.71, 1207.71
02/04/20, 1164.98, 1184.41, 1184.41, 1184.41
02/03/20, 1154.01, 1164.64, 1164.64, 1164.64
01/31/20, 1177.35, 1153.96, 1153.96, 1153.96
01/30/20, 1185.70, 1177.34, 1177.34, 1177.34
01/29/20, 1189.87, 1186.54, 1186.54, 1186.54
01/28/20, 1184.28, 1189.86, 1189.86, 1189.86
01/27/20, 1193.22, 1184.21, 1184.21, 1184.21
01/24/20, 1213.64, 1193.25, 1193.25, 1193.25
01/23/20, 1219.69, 1213.60, 1213.60, 1213.60
01/22/20, 1217.99, 1219.64, 1219.64, 1219.64
01/21/20, 1217.53, 1218.20, 1218.20, 1218.20
01/17/20, 1217.02, 1217.69, 1217.69, 1217.69
01/16/20, 1210.53, 1216.96, 1216.96, 1216.96
01/15/20, 1200.38, 1210.62, 1210.62, 1210.62
01/14/20, 1193.15, 1200.43, 1200.43, 1200.43
01/13/20, 1198.07, 1193.90, 1193.90, 1193.90
01/10/20, 1198.35, 1198.13, 1198.13, 1198.13
01/09/20, 1192.27, 1197.64, 1197.64, 1197.64
01/08/20, 1184.34, 1192.03, 1192.03, 1192.03
01/07/20, 1187.39, 1184.41, 1184.41, 1184.41
01/06/20, 1180.25, 1187.27, 1187.27, 1187.27
01/03/20, 1190.42, 1180.33, 1180.33, 1180.33
01/02/20, 1188.13, 1190.45, 1190.45, 1190.45
12/31/19, 1184.63, 1188.20, 1188.20, 1188.20
12/30/19, 1192.40, 1184.66, 1184.66, 1184.66
12/27/19, 1191.74, 1192.49, 1192.49, 1192.49
