date,goods,overlap,consumer,consumer protection,rights,final good,consumer rights act 2015,2015,product return,law,sale of goods act 1979
2017-01-17,25.0,1.0,83.0,28.0,83.0,54.0,20.0,96.0,17.0,84.0,43.0
2017-01-18,27.0,1.0,80.0,39.0,84.0,62.0,67.0,97.0,67.0,80.0,0.0
2017-01-19,26.0,1.0,77.0,35.0,88.0,55.0,33.0,100.0,17.0,81.0,18.0
2017-01-20,24.0,1.0,70.0,29.0,87.0,42.0,0.0,95.0,43.0,75.0,0.0
2017-01-21,25.0,1.0,53.0,19.0,95.0,51.0,35.0,99.0,43.0,60.0,0.0
2017-01-22,24.0,1.0,53.0,10.0,100.0,48.0,22.0,100.0,4.0,62.0,0.0
2017-01-23,26.0,1.0,73.0,32.0,98.0,54.0,18.0,98.0,17.0,84.0,0.0
2017-01-24,27.0,1.0,87.0,43.0,94.0,62.0,40.0,97.0,38.0,88.0,0.0
2017-01-25,25.0,1.0,84.0,31.0,92.0,30.0,31.0,93.0,14.0,90.0,0.0
2017-01-26,27.0,1.0,75.0,33.0,85.0,43.0,9.0,93.0,17.0,84.0,0.0
2017-01-27,26.0,1.0,72.0,30.0,82.0,36.0,42.0,93.0,14.0,79.0,0.0
2017-01-28,25.0,1.0,56.0,23.0,50.0,45.0,0.0,94.0,12.0,63.0,0.0
2017-01-29,28.0,1.0,52.0,28.0,60.0,59.0,22.0,98.0,27.0,64.0,0.0
2017-01-30,26.0,1.0,82.0,31.0,88.0,74.0,30.0,98.0,34.0,85.0,42.0
2017-01-31,25.0,1.0,86.0,24.0,88.0,42.0,0.0,98.0,27.0,89.0,0.0
2017-02-01,26.0,1.0,83.0,32.0,92.0,42.0,0.0,95.0,50.0,86.0,0.0
2017-02-02,28.0,1.0,90.0,36.0,86.0,55.0,11.0,94.0,45.0,87.0,18.0
2017-02-03,27.0,1.0,82.0,45.0,76.0,35.0,0.0,95.0,25.0,81.0,0.0
2017-02-04,25.0,1.0,56.0,34.0,47.0,40.0,22.0,96.0,31.0,60.0,29.0
2017-02-05,25.0,1.0,58.0,35.0,50.0,75.0,0.0,99.0,23.0,62.0,0.0
2017-02-06,27.0,1.0,76.0,38.0,76.0,68.0,11.0,99.0,20.0,80.0,0.0
2017-02-07,27.0,1.0,88.0,44.0,86.0,55.0,0.0,90.0,24.0,82.0,0.0
2017-02-08,25.0,1.0,87.0,43.0,86.0,19.0,28.0,92.0,30.0,83.0,0.0
2017-02-09,26.0,1.0,82.0,29.0,83.0,47.0,37.0,91.0,24.0,84.0,43.0
