date,AMZN,overlap,TSLA,HD,NKE,MCD,LOW,TJX,BKNG,TGT,SBUX
2017-01-17,8.0,1.0,11.0,68.0,10.0,1.0,87.0,50.0,0.0,35.0,24.0
2017-01-18,8.0,1.0,10.0,67.0,12.0,1.0,86.0,43.0,0.0,32.0,27.0
2017-01-19,10.0,1.0,13.0,67.0,11.0,2.0,86.0,36.0,14.0,31.0,26.0
2017-01-20,10.0,1.0,14.0,71.0,11.0,1.0,78.0,43.0,0.0,24.0,13.0
2017-01-21,3.0,1.0,3.0,82.0,6.0,2.0,82.0,26.0,0.0,24.0,12.0
2017-01-22,2.0,1.0,2.0,79.0,14.0,1.0,86.0,40.0,0.0,15.0,4.0
2017-01-23,7.0,1.0,10.0,69.0,7.0,1.0,86.0,56.0,0.0,28.0,20.0
2017-01-24,11.0,1.0,14.0,70.0,14.0,1.0,89.0,51.0,0.0,31.0,22.0
2017-01-25,11.0,1.0,12.0,72.0,16.0,1.0,84.0,28.0,0.0,24.0,24.0
2017-01-26,12.0,1.0,12.0,74.0,9.0,1.0,86.0,43.0,0.0,20.0,52.0
2017-01-27,11.0,1.0,12.0,73.0,6.0,1.0,85.0,37.0,0.0,20.0,52.0
2017-01-28,3.0,1.0,3.0,86.0,7.0,1.0,83.0,32.0,0.0,29.0,18.0
2017-01-29,2.0,1.0,2.0,82.0,6.0,1.0,85.0,42.0,0.0,29.0,12.0
2017-01-30,11.0,1.0,12.0,70.0,14.0,1.0,86.0,53.0,39.0,19.0,34.0
2017-01-31,11.0,1.0,11.0,69.0,7.0,1.0,91.0,58.0,0.0,29.0,38.0
2017-02-01,11.0,1.0,10.0,65.0,13.0,1.0,84.0,65.0,0.0,34.0,41.0
2017-02-02,28.0,1.0,9.0,70.0,11.0,2.0,84.0,85.0,0.0,31.0,34.0
2017-02-03,26.0,1.0,10.0,70.0,16.0,1.0,86.0,64.0,0.0,18.0,48.0
2017-02-04,6.0,1.0,2.0,82.0,8.0,1.0,83.0,47.0,0.0,29.0,22.0
2017-02-05,2.0,1.0,2.0,81.0,8.0,1.0,87.0,44.0,0.0,16.0,11.0
2017-02-06,11.0,1.0,11.0,67.0,16.0,2.0,85.0,50.0,0.0,22.0,12.0
2017-02-07,11.0,1.0,12.0,68.0,13.0,1.0,89.0,73.0,0.0,28.0,22.0
2017-02-08,9.0,1.0,10.0,66.0,10.0,2.0,86.0,73.0,0.0,27.0,18.0
2017-02-09,9.0,1.0,20.0,68.0,16.0,1.0,86.0,70.0,0.0,33.0,22.0
2017-02-10,9.0,1.0,13.0,70.0,11.0,2.0,80.0,73.0,0.0,33.0,22.0
2017-02-11,4.0,1.0,3.0,82.0,11.0,2.0,82.0,34.0,0.0,32.0,18.0
2017-02-12,2.0,1.0,3.0,81.0,5.0,1.0,83.0,32.0,0.0,23.0,6.0
2017-02-13,8.0,1.0,16.0,68.0,7.0,1.0,81.0,51.0,0.0,25.0,20.0
2017-02-14,9.0,1.0,18.0,66.0,20.0,2.0,81.0,47.0,0.0,26.0,33.0
2017-02-15,12.0,1.0,16.0,68.0,12.0,2.0,81.0,58.0,0.0,27.0,21.0
2017-02-16,12.0,1.0,15.0,68.0,8.0,1.0,83.0,69.0,39.0,23.0,34.0
2017-02-17,10.0,1.0,16.0,71.0,9.0,1.0,83.0,73.0,0.0,24.0,9.0
