date,finance,overlap,stock,share price,bajaj finserv,Share,loan,google finance,Bajaj Finance Limited,Muthoot finance,larsen & toubro
2017-01-17,56.0,1.0,16.0,41.0,46.0,44.0,77.0,52.0,0.0,26.0,7.0
2017-01-18,60.0,1.0,15.0,42.0,42.0,43.0,82.0,69.0,0.0,14.0,10.0
2017-01-19,57.0,1.0,16.0,45.0,24.0,45.0,72.0,72.0,12.0,20.0,10.0
2017-01-20,60.0,1.0,15.0,42.0,58.0,43.0,71.0,68.0,0.0,22.0,4.0
2017-01-21,43.0,1.0,9.0,10.0,41.0,16.0,56.0,20.0,0.0,34.0,2.0
2017-01-22,28.0,1.0,9.0,7.0,13.0,12.0,51.0,1.0,13.0,17.0,0.0
2017-01-23,60.0,1.0,16.0,44.0,43.0,45.0,75.0,60.0,0.0,27.0,7.0
2017-01-24,61.0,1.0,16.0,44.0,31.0,48.0,81.0,49.0,0.0,26.0,5.0
2017-01-25,58.0,1.0,17.0,43.0,43.0,45.0,66.0,54.0,0.0,33.0,7.0
2017-01-26,34.0,1.0,9.0,12.0,35.0,16.0,51.0,24.0,11.0,21.0,0.0
2017-01-27,62.0,1.0,17.0,43.0,36.0,47.0,81.0,41.0,11.0,26.0,8.0
2017-01-28,42.0,1.0,11.0,12.0,51.0,18.0,62.0,15.0,0.0,25.0,2.0
2017-01-29,27.0,1.0,10.0,8.0,21.0,13.0,53.0,12.0,0.0,14.0,10.0
2017-01-30,66.0,1.0,14.0,46.0,49.0,46.0,77.0,45.0,12.0,36.0,1.0
2017-01-31,61.0,1.0,19.0,48.0,35.0,52.0,78.0,59.0,0.0,32.0,6.0
2017-02-01,86.0,1.0,21.0,56.0,31.0,56.0,86.0,75.0,0.0,35.0,8.0
2017-02-02,72.0,1.0,17.0,50.0,63.0,54.0,81.0,60.0,0.0,32.0,2.0
2017-02-03,58.0,1.0,21.0,58.0,59.0,56.0,66.0,63.0,0.0,30.0,10.0
2017-02-04,41.0,1.0,12.0,14.0,47.0,17.0,67.0,15.0,0.0,31.0,4.0
2017-02-05,32.0,1.0,10.0,9.0,25.0,14.0,56.0,18.0,13.0,15.0,0.0
2017-02-06,66.0,1.0,17.0,55.0,39.0,56.0,83.0,52.0,0.0,32.0,9.0
2017-02-07,59.0,1.0,16.0,54.0,53.0,55.0,79.0,76.0,11.0,28.0,3.0
2017-02-08,60.0,1.0,18.0,52.0,47.0,53.0,82.0,69.0,10.0,32.0,1.0
2017-02-09,53.0,1.0,16.0,51.0,40.0,54.0,67.0,50.0,0.0,28.0,4.0
2017-02-10,52.0,1.0,15.0,50.0,51.0,52.0,67.0,69.0,0.0,23.0,6.0
2017-02-11,40.0,1.0,10.0,11.0,36.0,16.0,60.0,36.0,0.0,27.0,6.0
2017-02-12,25.0,1.0,10.0,9.0,25.0,14.0,52.0,10.0,0.0,5.0,0.0
2017-02-13,58.0,1.0,13.0,49.0,57.0,51.0,81.0,76.0,10.0,13.0,11.0
2017-02-14,57.0,1.0,17.0,47.0,48.0,48.0,76.0,56.0,11.0,28.0,5.0
2017-02-15,63.0,1.0,18.0,49.0,56.0,51.0,76.0,54.0,0.0,22.0,7.0
2017-02-16,63.0,1.0,16.0,48.0,34.0,50.0,76.0,74.0,0.0,19.0,7.0
2017-02-17,65.0,1.0,17.0,51.0,44.0,53.0,76.0,45.0,0.0,25.0,17.0
2017-02-18,41.0,1.0,11.0,11.0,38.0,17.0,67.0,21.0,0.0,15.0,0.0
2017-02-19,33.0,1.0,9.0,8.0,22.0,14.0,54.0,14.0,0.0,12.0,0.0
2017-02-20,59.0,1.0,17.0,47.0,52.0,52.0,73.0,83.0,0.0,35.0,5.0
2017-02-21,60.0,1.0,16.0,51.0,39.0,51.0,76.0,65.0,11.0,35.0,9.0
2017-02-22,66.0,1.0,17.0,52.0,39.0,54.0,74.0,80.0,11.0,26.0,7.0
2017-02-23,58.0,1.0,18.0,48.0,42.0,50.0,67.0,79.0,0.0,40.0,2.0
2017-02-24,44.0,1.0,13.0,18.0,38.0,24.0,56.0,31.0,0.0,21.0,2.0
2017-02-25,37.0,1.0,9.0,10.0,39.0,15.0,61.0,15.0,0.0,20.0,7.0
2017-02-26,34.0,1.0,8.0,9.0,26.0,13.0,55.0,11.0,0.0,12.0,0.0
2017-02-27,60.0,1.0,17.0,51.0,48.0,49.0,79.0,69.0,0.0,32.0,11.0
2017-02-28,62.0,1.0,18.0,49.0,49.0,52.0,69.0,75.0,0.0,22.0,1.0
2017-03-01,62.0,1.0,19.0,51.0,44.0,52.0,73.0,50.0,0.0,37.0,0.0
2017-03-02,67.0,1.0,17.0,52.0,74.0,53.0,76.0,59.0,0.0,30.0,8.0
2017-03-03,59.0,1.0,18.0,47.0,62.0,51.0,68.0,70.0,10.0,26.0,4.0
2017-03-04,39.0,1.0,10.0,11.0,34.0,14.0,63.0,18.0,22.0,26.0,9.0
2017-03-05,28.0,1.0,10.0,9.0,27.0,14.0,52.0,6.0,0.0,15.0,2.0
2017-03-06,61.0,1.0,18.0,50.0,59.0,51.0,79.0,52.0,10.0,16.0,9.0
2017-03-07,54.0,1.0,15.0,46.0,43.0,46.0,77.0,53.0,0.0,22.0,4.0
2017-03-08,65.0,1.0,16.0,41.0,47.0,44.0,69.0,63.0,22.0,33.0,1.0
2017-03-09,63.0,1.0,18.0,44.0,38.0,47.0,66.0,49.0,22.0,28.0,6.0
2017-03-10,56.0,1.0,15.0,45.0,51.0,45.0,67.0,54.0,0.0,18.0,2.0
2017-03-11,34.0,1.0,8.0,8.0,41.0,13.0,43.0,18.0,0.0,16.0,0.0
2017-03-12,31.0,1.0,9.0,9.0,24.0,13.0,48.0,15.0,0.0,3.0,4.0
2017-03-13,42.0,1.0,12.0,16.0,51.0,21.0,59.0,27.0,0.0,21.0,5.0
2017-03-14,66.0,1.0,19.0,54.0,64.0,58.0,75.0,59.0,12.0,29.0,6.0
2017-03-15,66.0,1.0,16.0,51.0,42.0,52.0,74.0,78.0,43.0,30.0,11.0
