date,finance,overlap,stock,report,company,oracle,share,annual report,financial statement,cloud computing,investment
2017-01-17,65.0,1.0,35.0,49.0,82.0,87.0,48.0,76.0,39.0,26.0,76.0
2017-01-18,65.0,1.0,34.0,49.0,79.0,91.0,46.0,71.0,53.0,28.0,77.0
2017-01-19,66.0,1.0,35.0,52.0,82.0,89.0,48.0,78.0,49.0,35.0,79.0
2017-01-20,60.0,1.0,35.0,50.0,74.0,79.0,45.0,65.0,48.0,28.0,64.0
2017-01-21,36.0,1.0,19.0,43.0,61.0,30.0,23.0,33.0,47.0,15.0,49.0
2017-01-22,33.0,1.0,18.0,44.0,60.0,30.0,23.0,38.0,39.0,25.0,54.0
2017-01-23,64.0,1.0,34.0,54.0,82.0,84.0,45.0,80.0,60.0,34.0,73.0
2017-01-24,67.0,1.0,38.0,54.0,83.0,89.0,50.0,80.0,56.0,27.0,75.0
2017-01-25,68.0,1.0,43.0,52.0,82.0,80.0,48.0,65.0,59.0,27.0,78.0
2017-01-26,64.0,1.0,41.0,51.0,77.0,75.0,36.0,69.0,51.0,28.0,73.0
2017-01-27,64.0,1.0,38.0,49.0,77.0,71.0,47.0,59.0,53.0,27.0,67.0
2017-01-28,37.0,1.0,20.0,38.0,62.0,29.0,24.0,22.0,40.0,17.0,48.0
2017-01-29,33.0,1.0,17.0,37.0,57.0,28.0,22.0,34.0,32.0,21.0,49.0
2017-01-30,64.0,1.0,36.0,50.0,80.0,78.0,46.0,70.0,51.0,28.0,74.0
2017-01-31,70.0,1.0,40.0,54.0,82.0,81.0,49.0,76.0,57.0,36.0,76.0
2017-02-01,71.0,1.0,43.0,51.0,81.0,79.0,51.0,75.0,57.0,26.0,75.0
2017-02-02,72.0,1.0,42.0,53.0,83.0,87.0,51.0,81.0,66.0,33.0,75.0
2017-02-03,67.0,1.0,40.0,49.0,80.0,74.0,51.0,73.0,55.0,27.0,73.0
2017-02-04,36.0,1.0,21.0,39.0,62.0,28.0,23.0,31.0,32.0,16.0,50.0
2017-02-05,32.0,1.0,18.0,38.0,60.0,28.0,22.0,40.0,38.0,24.0,51.0
2017-02-06,65.0,1.0,34.0,52.0,81.0,78.0,52.0,75.0,56.0,27.0,80.0
2017-02-07,70.0,1.0,39.0,53.0,87.0,89.0,52.0,78.0,62.0,25.0,84.0
2017-02-08,65.0,1.0,38.0,54.0,82.0,86.0,51.0,79.0,57.0,25.0,79.0
