date,BRK.B,overlap,JPM,BAC,WFC,MS,BLK,GS,SCHW,C,SPGI
2017-01-17,11.0,1.0,30.0,7.0,35.0,79.0,79.0,19.0,13.0,92.0,0.0
2017-01-18,10.0,1.0,30.0,8.0,22.0,78.0,57.0,17.0,40.0,90.0,10.0
2017-01-19,15.0,1.0,27.0,7.0,35.0,82.0,54.0,16.0,6.0,89.0,0.0
2017-01-20,5.0,1.0,20.0,6.0,19.0,79.0,61.0,15.0,14.0,88.0,22.0
2017-01-21,3.0,1.0,12.0,6.0,13.0,74.0,77.0,18.0,54.0,78.0,0.0
2017-01-22,5.0,1.0,8.0,6.0,9.0,70.0,57.0,18.0,7.0,80.0,0.0
2017-01-23,8.0,1.0,22.0,6.0,12.0,86.0,50.0,16.0,39.0,92.0,5.0
2017-01-24,7.0,1.0,18.0,7.0,19.0,82.0,61.0,19.0,26.0,90.0,16.0
2017-01-25,15.0,1.0,23.0,6.0,42.0,80.0,50.0,17.0,32.0,89.0,11.0
2017-01-26,19.0,1.0,23.0,6.0,49.0,92.0,45.0,18.0,20.0,85.0,10.0
2017-01-27,16.0,1.0,23.0,5.0,27.0,84.0,50.0,16.0,35.0,84.0,5.0
2017-01-28,5.0,1.0,12.0,4.0,22.0,75.0,60.0,20.0,38.0,81.0,0.0
2017-01-29,2.0,1.0,7.0,5.0,9.0,66.0,63.0,17.0,22.0,80.0,0.0
2017-01-30,6.0,1.0,19.0,5.0,28.0,100.0,54.0,17.0,26.0,87.0,0.0
2017-01-31,8.0,1.0,19.0,6.0,25.0,85.0,53.0,16.0,32.0,91.0,0.0
2017-02-01,13.0,1.0,24.0,7.0,24.0,85.0,61.0,15.0,20.0,87.0,15.0
2017-02-02,11.0,1.0,14.0,7.0,12.0,82.0,52.0,15.0,39.0,88.0,11.0
2017-02-03,12.0,1.0,33.0,6.0,24.0,79.0,66.0,15.0,21.0,84.0,11.0
2017-02-04,2.0,1.0,14.0,6.0,21.0,68.0,51.0,22.0,7.0,81.0,0.0
2017-02-05,5.0,1.0,3.0,6.0,11.0,60.0,63.0,16.0,7.0,82.0,17.0
2017-02-06,2.0,1.0,13.0,7.0,25.0,78.0,68.0,15.0,32.0,88.0,5.0
2017-02-07,4.0,1.0,19.0,7.0,24.0,83.0,67.0,14.0,13.0,89.0,0.0
2017-02-08,10.0,1.0,20.0,7.0,22.0,80.0,76.0,14.0,26.0,91.0,31.0
2017-02-09,13.0,1.0,16.0,7.0,32.0,80.0,65.0,13.0,41.0,90.0,21.0
2017-02-10,13.0,1.0,25.0,6.0,22.0,77.0,72.0,15.0,40.0,89.0,5.0
2017-02-11,12.0,1.0,5.0,6.0,16.0,70.0,69.0,17.0,8.0,82.0,0.0
2017-02-12,9.0,1.0,6.0,6.0,15.0,64.0,63.0,24.0,7.0,83.0,0.0
2017-02-13,10.0,1.0,20.0,7.0,13.0,80.0,51.0,16.0,44.0,91.0,10.0
2017-02-14,12.0,1.0,27.0,7.0,22.0,80.0,61.0,16.0,25.0,89.0,31.0
2017-02-15,17.0,1.0,25.0,7.0,19.0,80.0,61.0,18.0,0.0,90.0,10.0
2017-02-16,8.0,1.0,22.0,7.0,24.0,83.0,64.0,17.0,32.0,90.0,25.0
2017-02-17,26.0,1.0,29.0,7.0,27.0,81.0,54.0,16.0,20.0,88.0,0.0
2017-02-18,4.0,1.0,8.0,6.0,8.0,71.0,59.0,22.0,8.0,82.0,0.0
2017-02-19,12.0,1.0,10.0,6.0,17.0,69.0,63.0,16.0,7.0,83.0,17.0
2017-02-20,2.0,1.0,12.0,7.0,11.0,78.0,63.0,15.0,13.0,91.0,0.0
2017-02-21,15.0,1.0,25.0,8.0,22.0,85.0,58.0,14.0,13.0,90.0,0.0
2017-02-22,9.0,1.0,23.0,7.0,28.0,83.0,55.0,14.0,6.0,90.0,5.0
2017-02-23,19.0,1.0,27.0,7.0,16.0,80.0,62.0,16.0,14.0,87.0,5.0
2017-02-24,16.0,1.0,17.0,7.0,41.0,87.0,55.0,17.0,0.0,84.0,5.0
2017-02-25,10.0,1.0,12.0,7.0,10.0,71.0,53.0,15.0,0.0,83.0,6.0
2017-02-26,9.0,1.0,3.0,7.0,14.0,66.0,68.0,19.0,15.0,83.0,0.0
2017-02-27,26.0,1.0,15.0,8.0,20.0,78.0,56.0,49.0,44.0,86.0,0.0
2017-02-28,27.0,1.0,25.0,9.0,24.0,79.0,62.0,22.0,32.0,90.0,0.0
2017-03-01,36.0,1.0,29.0,8.0,25.0,80.0,58.0,16.0,19.0,92.0,0.0
2017-03-02,26.0,1.0,24.0,8.0,24.0,84.0,59.0,15.0,32.0,90.0,5.0
2017-03-03,26.0,1.0,21.0,7.0,32.0,83.0,66.0,14.0,20.0,88.0,16.0
2017-03-04,2.0,1.0,6.0,7.0,22.0,70.0,47.0,14.0,22.0,82.0,11.0
2017-03-05,10.0,1.0,5.0,8.0,19.0,67.0,55.0,17.0,15.0,86.0,0.0
2017-03-06,16.0,1.0,21.0,8.0,18.0,84.0,68.0,20.0,25.0,92.0,19.0
2017-03-07,14.0,1.0,14.0,8.0,28.0,83.0,59.0,16.0,19.0,88.0,0.0
2017-03-08,10.0,1.0,22.0,8.0,23.0,83.0,47.0,15.0,38.0,88.0,15.0
2017-03-09,19.0,1.0,20.0,8.0,25.0,80.0,62.0,16.0,26.0,88.0,10.0
2017-03-10,11.0,1.0,27.0,7.0,22.0,83.0,65.0,15.0,27.0,87.0,5.0
2017-03-11,3.0,1.0,4.0,7.0,8.0,69.0,51.0,19.0,37.0,79.0,12.0
2017-03-12,0.0,1.0,5.0,8.0,13.0,65.0,58.0,19.0,21.0,86.0,0.0
