date,financials,overlap,oracle,workday inc.,tesla,BSE stock exchange,nasdaq,iShares,share price,microsoft dynamics 365,vanguard
2017-01-17,52.0,1.0,98.0,0.0,6.0,4.0,22.0,28.0,40.0,24.0,61.0
2017-01-18,48.0,1.0,99.0,0.0,6.0,4.0,19.0,52.0,39.0,20.0,64.0
2017-01-19,57.0,1.0,98.0,0.0,7.0,12.0,21.0,38.0,39.0,8.0,66.0
2017-01-20,62.0,1.0,82.0,0.0,6.0,0.0,22.0,42.0,38.0,8.0,63.0
2017-01-21,22.0,1.0,32.0,0.0,6.0,5.0,13.0,18.0,10.0,5.0,52.0
2017-01-22,12.0,1.0,31.0,0.0,6.0,4.0,7.0,15.0,8.0,4.0,52.0
2017-01-23,42.0,1.0,87.0,0.0,6.0,12.0,22.0,38.0,36.0,12.0,62.0
2017-01-24,49.0,1.0,96.0,0.0,6.0,20.0,23.0,56.0,41.0,20.0,70.0
2017-01-25,40.0,1.0,92.0,0.0,6.0,0.0,30.0,44.0,39.0,16.0,81.0
2017-01-26,37.0,1.0,80.0,0.0,6.0,4.0,27.0,44.0,24.0,12.0,75.0
2017-01-27,51.0,1.0,79.0,0.0,6.0,4.0,22.0,22.0,39.0,17.0,64.0
2017-01-28,25.0,1.0,30.0,0.0,6.0,8.0,8.0,30.0,11.0,4.0,60.0
2017-01-29,29.0,1.0,30.0,0.0,6.0,8.0,10.0,30.0,9.0,0.0,53.0
2017-01-30,29.0,1.0,83.0,0.0,6.0,4.0,19.0,36.0,36.0,15.0,71.0
2017-01-31,56.0,1.0,88.0,0.0,6.0,20.0,26.0,38.0,42.0,31.0,66.0
2017-02-01,50.0,1.0,83.0,0.0,6.0,4.0,25.0,51.0,43.0,46.0,66.0
2017-02-02,46.0,1.0,90.0,0.0,6.0,4.0,27.0,44.0,43.0,16.0,71.0
2017-02-03,42.0,1.0,84.0,0.0,6.0,45.0,21.0,36.0,45.0,12.0,72.0
2017-02-04,17.0,1.0,35.0,0.0,6.0,18.0,11.0,36.0,12.0,14.0,59.0
2017-02-05,22.0,1.0,28.0,0.0,6.0,0.0,7.0,29.0,9.0,0.0,53.0
2017-02-06,55.0,1.0,82.0,0.0,6.0,12.0,22.0,39.0,43.0,19.0,62.0
2017-02-07,35.0,1.0,96.0,0.0,6.0,15.0,25.0,43.0,45.0,31.0,72.0
2017-02-08,53.0,1.0,93.0,0.0,7.0,8.0,24.0,53.0,42.0,15.0,70.0
2017-02-09,48.0,1.0,91.0,0.0,7.0,17.0,22.0,51.0,44.0,20.0,62.0
2017-02-10,52.0,1.0,82.0,0.0,7.0,13.0,23.0,52.0,45.0,4.0,64.0
2017-02-11,17.0,1.0,33.0,0.0,6.0,0.0,8.0,20.0,11.0,0.0,65.0
2017-02-12,29.0,1.0,34.0,0.0,6.0,10.0,6.0,18.0,9.0,4.0,54.0
2017-02-13,45.0,1.0,82.0,0.0,6.0,11.0,21.0,36.0,42.0,11.0,77.0
2017-02-14,59.0,1.0,93.0,0.0,7.0,11.0,24.0,50.0,42.0,12.0,78.0
2017-02-15,64.0,1.0,93.0,0.0,6.0,8.0,26.0,54.0,44.0,20.0,76.0
2017-02-16,79.0,1.0,92.0,0.0,7.0,22.0,24.0,38.0,44.0,27.0,73.0
2017-02-17,51.0,1.0,82.0,0.0,7.0,8.0,25.0,45.0,43.0,15.0,78.0
2017-02-18,24.0,1.0,30.0,0.0,7.0,9.0,8.0,39.0,12.0,13.0,61.0
2017-02-19,24.0,1.0,32.0,0.0,7.0,0.0,6.0,23.0,9.0,0.0,45.0
2017-02-20,63.0,1.0,84.0,0.0,6.0,0.0,17.0,26.0,41.0,27.0,64.0
2017-02-21,72.0,1.0,90.0,0.0,7.0,12.0,23.0,55.0,45.0,23.0,69.0
2017-02-22,62.0,1.0,90.0,0.0,8.0,12.0,25.0,58.0,48.0,12.0,73.0
2017-02-23,36.0,1.0,99.0,0.0,8.0,0.0,23.0,64.0,45.0,16.0,75.0
