Week,Apple iphone: (United States),Apple: (United States),aapl: (United States),apple: (United States),apple store: (United States),apple watch: (United States),iphone: (United States),apple music: (United States),aapl stock price: (United States),aapl stock: (United States),apple pay: (United States),apple macbook: (United States),apple support: (United States),apple watch series 3: (United States),apple watch 4: (United States),airpods: (United States),smartphones: (United States),Semiconductor: (United States),apple factory: (United States)
2/5/2017,20,30,36,30,48,25,36,25,35,28,31,41,61,1,0,3,87,79,35
2/12/2017,21,29,40,29,45,25,37,29,36,32,25,48,58,0,0,3,85,88,44
2/19/2017,19,30,27,30,51,23,39,31,30,20,32,41,56,1,0,3,82,83,43
2/26/2017,20,29,33,29,47,21,38,30,29,30,27,48,57,1,0,3,77,66,32
3/5/2017,21,29,27,29,51,20,38,33,24,23,26,47,55,1,0,2,89,81,39
3/12/2017,20,29,27,29,51,19,38,33,34,21,28,52,59,0,0,3,81,78,39
3/19/2017,25,31,31,31,52,21,41,37,41,29,30,49,62,1,0,2,72,83,39
3/26/2017,22,31,29,31,50,21,41,32,37,26,32,47,61,1,1,3,71,78,29
4/2/2017,20,29,27,29,50,23,39,30,28,24,31,42,66,1,0,3,86,77,26
4/9/2017,20,29,23,29,51,20,38,34,28,18,37,43,60,1,0,3,72,74,30
4/16/2017,21,29,21,29,54,20,39,33,28,23,34,37,58,1,0,3,90,85,39
4/23/2017,21,30,27,30,49,21,38,33,26,25,33,40,62,1,1,3,82,74,48
4/30/2017,20,31,61,31,52,22,38,33,57,46,32,45,62,1,0,2,61,89,37
5/7/2017,21,30,43,30,52,27,39,35,53,39,35,48,68,2,0,3,76,78,46
5/14/2017,20,30,35,30,49,26,39,36,25,33,30,42,65,1,0,3,57,66,35
5/21/2017,20,29,27,29,50,23,39,35,47,31,33,49,63,1,0,2,67,81,37
5/28/2017,21,29,24,29,55,23,41,35,39,22,34,52,60,1,1,2,60,69,48
6/4/2017,22,35,35,35,58,24,40,35,40,37,41,61,75,1,2,2,76,75,53
6/11/2017,23,32,41,32,58,27,41,36,54,42,36,50,70,3,1,3,65,80,37
6/18/2017,22,31,31,31,58,26,41,38,35,27,39,55,85,1,0,2,80,62,54
