date,Apple,,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
1/1/2017,26,,26,1,49,23,12,31,22,0,2,12,48,42,0,0,2,29,7,24,1,0
1/2/2017,28,,28,4,51,24,13,30,22,3,4,15,47,63,0,1,2,35,4,44,0,0
1/3/2017,26,,26,10,48,22,11,29,21,9,12,17,48,59,0,0,2,52,3,35,0,0
1/4/2017,26,,26,11,45,20,12,28,18,14,14,14,45,62,0,0,2,45,18,20,0,2
1/5/2017,25,,25,11,46,22,11,28,18,10,11,15,43,66,0,0,2,74,9,44,1,1
1/6/2017,26,,26,16,46,21,11,28,18,14,20,15,42,51,0,0,3,57,6,29,2,3
1/7/2017,26,,26,4,48,21,11,29,20,5,4,15,39,56,0,0,2,28,4,28,2,4
1/8/2017,26,,26,2,44,21,12,30,19,0,1,14,42,56,1,1,2,36,6,24,1,1
1/9/2017,25,,25,12,42,18,11,27,15,13,12,12,36,55,0,0,2,47,7,36,0,0
1/10/2017,24,,24,13,42,20,11,26,17,9,13,13,49,55,0,0,2,60,18,27,2,1
1/11/2017,24,,24,14,44,20,11,26,15,11,13,11,38,45,1,0,2,57,13,25,1,0
1/12/2017,24,,24,12,44,17,10,25,17,9,12,14,39,55,0,0,2,57,21,23,0,1
1/13/2017,23,,23,11,40,17,9,26,15,16,13,13,38,53,0,0,2,52,17,19,2,5
1/14/2017,25,,25,2,48,20,12,28,20,2,4,14,44,55,1,0,3,40,4,15,1,1
1/15/2017,25,,25,2,49,19,11,28,19,1,4,13,47,51,1,0,4,40,17,20,1,1
1/16/2017,23,,23,5,45,16,10,27,16,3,4,13,36,59,0,0,4,55,6,18,2,5
1/17/2017,23,,23,11,39,15,10,26,16,15,14,12,42,57,0,0,3,70,8,28,4,4
1/18/2017,23,,23,12,42,15,10,25,14,8,18,12,32,66,0,0,3,67,19,19,6,2
1/19/2017,22,,22,11,40,15,10,25,16,14,12,12,38,47,0,0,2,61,6,26,1,5
1/20/2017,21,,21,11,38,15,10,25,14,6,13,11,35,44,0,0,2,53,13,15,2,3
1/21/2017,24,,24,3,45,16,11,27,17,2,2,13,42,56,0,0,2,40,9,33,0,0
1/22/2017,25,,25,2,44,18,11,28,16,7,3,15,42,46,0,0,3,29,2,17,0,0
1/23/2017,23,,23,13,39,15,11,25,16,14,17,12,41,52,0,0,3,58,5,13,4,2
1/24/2017,23,,23,12,40,15,10,24,13,8,17,13,38,56,0,0,3,60,12,10,4,10
1/25/2017,23,,23,17,36,15,10,24,16,14,19,14,43,58,0,0,2,71,12,19,6,10
1/26/2017,23,,23,13,39,15,9,25,13,15,17,15,41,48,0,0,2,61,13,19,4,8
1/27/2017,22,,22,16,38,15,10,24,16,10,20,12,35,57,0,0,3,36,20,17,6,16
1/28/2017,23,,23,6,41,17,11,27,18,7,4,12,39,49,0,0,3,46,10,24,1,8
1/29/2017,25,,25,3,41,17,10,28,17,0,3,14,46,43,0,0,2,47,14,27,4,9
1/30/2017,23,,23,17,37,15,10,25,14,17,22,11,39,47,0,0,2,50,10,18,14,24
1/31/2017,23,,23,46,36,15,10,25,15,16,44,14,38,55,0,0,2,62,13,24,70,97
2/1/2017,23,,23,59,37,14,10,25,15,36,60,16,40,42,0,0,3,48,15,39,31,17
2/2/2017,23,,23,28,36,15,9,24,15,12,35,16,37,45,0,0,3,68,11,19,5,6
2/3/2017,22,,22,18,36,15,10,24,18,18,22,13,34,51,0,0,3,58,20,31,3,0
2/4/2017,23,,23,5,38,17,10,27,17,5,5,14,39,46,0,1,3,30,4,19,1,0
2/5/2017,24,,24,3,37,19,10,26,17,1,3,13,41,42,0,0,2,36,6,25,1,0
2/6/2017,23,,23,17,37,15,10,23,14,24,21,14,37,37,0,0,3,68,13,23,1,0
2/7/2017,23,,23,19,35,15,9,24,15,18,26,13,36,51,0,0,3,60,7,25,1,1
2/8/2017,22,,22,20,36,14,9,23,16,16,22,13,37,55,0,0,3,64,10,13,1,1
2/9/2017,22,,22,17,34,15,9,24,17,18,23,15,36,50,0,0,2,63,19,15,1,1
2/10/2017,22,,22,15,38,16,9,24,14,15,17,13,40,51,0,0,3,60,6,28,0,0
2/11/2017,23,,23,5,40,18,10,27,16,7,5,15,35,57,0,0,3,31,8,17,1,1
2/12/2017,24,,24,4,39,19,11,27,19,0,4,12,41,43,0,0,3,36,5,13,0,0
2/13/2017,22,,22,18,34,16,8,24,18,17,27,14,33,52,0,0,3,54,9,16,0,0
2/14/2017,21,,21,21,32,16,9,22,16,14,26,14,37,52,0,0,2,63,13,37,2,5
2/15/2017,22,,22,27,35,17,9,24,17,24,34,15,38,51,0,0,2,70,14,23,1,1
2/16/2017,21,,21,18,33,15,9,23,15,14,21,11,37,41,1,0,3,59,12,22,1,4
2/17/2017,21,,21,15,36,15,9,23,18,21,18,9,35,46,0,0,2,62,11,12,0,1
2/18/2017,23,,23,3,39,17,10,26,17,3,6,14,35,44,0,0,3,43,6,24,0,0
2/19/2017,23,,23,2,42,18,10,26,19,7,5,13,38,46,0,0,3,37,8,30,0,0
2/20/2017,22,,22,6,37,15,9,24,15,7,3,15,33,51,1,0,3,53,27,38,0,2
2/21/2017,21,,21,17,36,14,9,23,18,16,22,13,34,43,1,0,3,70,9,13,0,1
2/22/2017,21,,21,16,34,13,8,23,16,13,23,15,39,42,1,0,3,70,7,20,2,1
2/23/2017,21,,21,15,33,14,9,23,14,17,22,14,34,48,0,0,2,79,17,18,0,2
2/24/2017,21,,21,15,34,15,9,23,19,15,12,13,37,40,0,0,3,62,13,20,1,1
2/25/2017,23,,23,6,40,16,9,26,18,5,6,13,34,54,0,0,3,28,10,20,1,0
2/26/2017,23,,23,3,39,16,11,26,18,0,2,14,41,46,0,0,2,53,10,12,0,0
2/27/2017,22,,22,16,35,15,9,23,18,14,15,13,34,44,1,0,2,58,5,20,0,0
2/28/2017,21,,21,17,34,13,9,23,17,12,15,14,42,47,0,0,3,72,9,23,2,1
3/1/2017,21,,21,19,31,14,9,23,17,23,25,14,39,41,0,0,2,64,16,24,0,0
3/2/2017,21,,21,19,33,15,9,23,15,23,20,13,35,48,0,0,2,63,24,23,1,0
