date,healthcare,overlap,share price,private limited company,limited company,health,share,hospitals,company,Hospital,pharmaceutical company
2017-01-17,42.0,1.0,41.0,43.0,45.0,53.0,44.0,74.0,56.0,50.0,33.0
2017-01-18,39.0,1.0,42.0,30.0,51.0,54.0,43.0,83.0,60.0,49.0,18.0
2017-01-19,55.0,1.0,45.0,30.0,36.0,54.0,45.0,54.0,60.0,48.0,16.0
2017-01-20,41.0,1.0,42.0,25.0,33.0,46.0,43.0,61.0,55.0,51.0,36.0
2017-01-21,24.0,1.0,10.0,16.0,39.0,45.0,16.0,63.0,52.0,49.0,12.0
2017-01-22,14.0,1.0,7.0,4.0,21.0,40.0,12.0,42.0,43.0,42.0,0.0
2017-01-23,45.0,1.0,44.0,17.0,38.0,49.0,45.0,68.0,59.0,51.0,5.0
2017-01-24,46.0,1.0,44.0,17.0,33.0,51.0,48.0,52.0,63.0,52.0,20.0
2017-01-25,27.0,1.0,43.0,13.0,39.0,47.0,45.0,51.0,52.0,49.0,28.0
2017-01-26,28.0,1.0,12.0,18.0,30.0,39.0,16.0,26.0,43.0,41.0,5.0
2017-01-27,39.0,1.0,43.0,34.0,55.0,53.0,47.0,51.0,57.0,53.0,23.0
2017-01-28,25.0,1.0,12.0,15.0,49.0,44.0,18.0,49.0,51.0,49.0,12.0
2017-01-29,16.0,1.0,8.0,8.0,21.0,42.0,13.0,29.0,40.0,40.0,17.0
2017-01-30,38.0,1.0,46.0,29.0,35.0,47.0,46.0,45.0,59.0,56.0,21.0
2017-01-31,46.0,1.0,48.0,11.0,43.0,51.0,52.0,55.0,57.0,52.0,11.0
2017-02-01,41.0,1.0,56.0,34.0,51.0,49.0,56.0,52.0,57.0,48.0,5.0
2017-02-02,46.0,1.0,50.0,19.0,44.0,51.0,54.0,64.0,56.0,46.0,7.0
2017-02-03,38.0,1.0,58.0,19.0,46.0,47.0,56.0,65.0,57.0,50.0,24.0
2017-02-04,15.0,1.0,14.0,26.0,35.0,39.0,17.0,60.0,49.0,46.0,5.0
2017-02-05,23.0,1.0,9.0,17.0,41.0,42.0,14.0,39.0,44.0,40.0,20.0
2017-02-06,44.0,1.0,55.0,20.0,43.0,49.0,56.0,57.0,65.0,51.0,16.0
2017-02-07,44.0,1.0,54.0,31.0,46.0,49.0,55.0,55.0,62.0,53.0,40.0
2017-02-08,35.0,1.0,52.0,31.0,49.0,49.0,53.0,41.0,56.0,51.0,0.0
2017-02-09,37.0,1.0,51.0,17.0,50.0,51.0,54.0,51.0,59.0,50.0,17.0
2017-02-10,37.0,1.0,50.0,13.0,46.0,43.0,52.0,42.0,57.0,47.0,0.0
2017-02-11,20.0,1.0,11.0,23.0,32.0,38.0,16.0,58.0,46.0,52.0,23.0
2017-02-12,24.0,1.0,9.0,15.0,24.0,37.0,14.0,40.0,43.0,39.0,30.0
2017-02-13,52.0,1.0,49.0,24.0,47.0,52.0,51.0,58.0,59.0,52.0,29.0
2017-02-14,45.0,1.0,47.0,23.0,46.0,57.0,48.0,53.0,59.0,52.0,15.0
2017-02-15,32.0,1.0,49.0,23.0,55.0,52.0,51.0,65.0,58.0,51.0,0.0
2017-02-16,50.0,1.0,48.0,37.0,62.0,51.0,50.0,63.0,65.0,50.0,11.0
2017-02-17,39.0,1.0,51.0,20.0,46.0,55.0,53.0,66.0,60.0,54.0,15.0
2017-02-18,29.0,1.0,11.0,14.0,30.0,40.0,17.0,47.0,51.0,52.0,28.0
2017-02-19,23.0,1.0,8.0,13.0,18.0,42.0,14.0,42.0,46.0,44.0,25.0
2017-02-20,49.0,1.0,47.0,42.0,41.0,55.0,52.0,62.0,63.0,55.0,28.0
2017-02-21,41.0,1.0,51.0,26.0,42.0,48.0,51.0,52.0,61.0,55.0,18.0
2017-02-22,54.0,1.0,52.0,22.0,53.0,61.0,54.0,66.0,62.0,53.0,16.0
2017-02-23,36.0,1.0,48.0,23.0,47.0,51.0,50.0,51.0,56.0,50.0,5.0
2017-02-24,49.0,1.0,18.0,22.0,37.0,43.0,24.0,60.0,56.0,50.0,12.0
2017-02-25,43.0,1.0,10.0,28.0,35.0,44.0,15.0,55.0,49.0,54.0,17.0
2017-02-26,21.0,1.0,9.0,14.0,27.0,45.0,13.0,56.0,44.0,44.0,30.0
2017-02-27,48.0,1.0,51.0,10.0,44.0,53.0,49.0,59.0,64.0,55.0,7.0
2017-02-28,49.0,1.0,49.0,50.0,55.0,56.0,52.0,49.0,66.0,55.0,42.0
2017-03-01,41.0,1.0,51.0,17.0,55.0,48.0,52.0,60.0,65.0,49.0,51.0
