date,healthcare,overlap,health coverage,health,nhs,spire healthcare,continuing healthcare,BMI healthcare,nursing home,AXA PPP,AXA health
2017-01-17,48.0,1.0,49.0,90.0,57.0,25.0,36.0,23.0,45.0,30.0,78.0
2017-01-18,49.0,1.0,31.0,89.0,50.0,8.0,5.0,11.0,40.0,13.0,22.0
2017-01-19,49.0,1.0,40.0,86.0,50.0,16.0,18.0,57.0,45.0,19.0,22.0
2017-01-20,42.0,1.0,32.0,75.0,45.0,0.0,77.0,23.0,38.0,38.0,11.0
2017-01-21,30.0,1.0,40.0,52.0,32.0,0.0,0.0,13.0,29.0,0.0,0.0
2017-01-22,25.0,1.0,24.0,54.0,40.0,0.0,0.0,64.0,32.0,8.0,50.0
2017-01-23,49.0,1.0,53.0,88.0,50.0,16.0,27.0,0.0,45.0,24.0,66.0
2017-01-24,51.0,1.0,38.0,91.0,51.0,25.0,26.0,34.0,46.0,22.0,56.0
2017-01-25,45.0,1.0,44.0,87.0,50.0,0.0,26.0,0.0,47.0,24.0,22.0
2017-01-26,45.0,1.0,32.0,82.0,50.0,8.0,20.0,45.0,44.0,10.0,10.0
2017-01-27,42.0,1.0,38.0,80.0,47.0,9.0,21.0,24.0,47.0,17.0,0.0
2017-01-28,23.0,1.0,23.0,52.0,35.0,10.0,0.0,27.0,31.0,7.0,0.0
2017-01-29,25.0,1.0,29.0,52.0,36.0,0.0,16.0,26.0,30.0,7.0,0.0
2017-01-30,44.0,1.0,48.0,88.0,52.0,32.0,0.0,34.0,44.0,15.0,100.0
2017-01-31,48.0,1.0,53.0,91.0,52.0,8.0,10.0,34.0,48.0,25.0,66.0
2017-02-01,49.0,1.0,50.0,88.0,54.0,8.0,0.0,100.0,48.0,40.0,11.0
2017-02-02,45.0,1.0,38.0,87.0,49.0,0.0,0.0,35.0,41.0,23.0,42.0
2017-02-03,40.0,1.0,50.0,75.0,48.0,17.0,0.0,47.0,43.0,7.0,23.0
2017-02-04,21.0,1.0,22.0,49.0,33.0,0.0,15.0,52.0,32.0,13.0,87.0
2017-02-05,24.0,1.0,43.0,50.0,37.0,18.0,14.0,0.0,27.0,0.0,26.0
2017-02-06,41.0,1.0,32.0,83.0,58.0,24.0,0.0,11.0,45.0,30.0,31.0
2017-02-07,46.0,1.0,40.0,85.0,56.0,0.0,20.0,22.0,49.0,21.0,31.0
2017-02-08,44.0,1.0,39.0,85.0,53.0,16.0,20.0,56.0,42.0,16.0,47.0
2017-02-09,43.0,1.0,40.0,82.0,51.0,8.0,33.0,34.0,42.0,13.0,89.0
2017-02-10,37.0,1.0,38.0,74.0,48.0,17.0,15.0,12.0,41.0,6.0,11.0
