date,healthcare,overlap,Pharmaceutical industry,convention,consumer,pacificare,pharmacy,OT&P,influenza,influenza vaccine,internet of things,health facilities
2017-01-17,47.0,1.0,43.0,70.0,80.0,38.0,71.0,0.0,36.0,7.0,48.0,45.0
2017-01-18,50.0,1.0,46.0,74.0,84.0,23.0,70.0,0.0,38.0,9.0,57.0,39.0
2017-01-19,51.0,1.0,38.0,73.0,80.0,38.0,72.0,0.0,35.0,10.0,57.0,52.0
2017-01-20,42.0,1.0,41.0,69.0,72.0,39.0,68.0,0.0,37.0,10.0,52.0,35.0
2017-01-21,29.0,1.0,28.0,61.0,52.0,0.0,58.0,0.0,27.0,6.0,32.0,17.0
2017-01-22,26.0,1.0,25.0,54.0,51.0,0.0,57.0,0.0,32.0,14.0,30.0,27.0
2017-01-23,48.0,1.0,28.0,70.0,83.0,52.0,69.0,0.0,39.0,17.0,50.0,57.0
2017-01-24,50.0,1.0,51.0,72.0,86.0,0.0,68.0,0.0,36.0,17.0,41.0,69.0
2017-01-25,44.0,1.0,49.0,73.0,83.0,38.0,67.0,0.0,39.0,10.0,42.0,60.0
2017-01-26,45.0,1.0,20.0,71.0,73.0,0.0,70.0,0.0,43.0,17.0,64.0,75.0
2017-01-27,44.0,1.0,24.0,71.0,70.0,0.0,68.0,0.0,35.0,13.0,69.0,34.0
2017-01-28,23.0,1.0,31.0,65.0,55.0,0.0,59.0,0.0,32.0,5.0,30.0,11.0
2017-01-29,23.0,1.0,40.0,65.0,51.0,0.0,56.0,0.0,37.0,4.0,39.0,42.0
2017-01-30,46.0,1.0,19.0,73.0,75.0,0.0,70.0,0.0,44.0,11.0,54.0,24.0
2017-01-31,48.0,1.0,33.0,76.0,78.0,0.0,67.0,0.0,45.0,22.0,71.0,50.0
2017-02-01,48.0,1.0,42.0,74.0,81.0,0.0,70.0,0.0,45.0,6.0,51.0,49.0
2017-02-02,43.0,1.0,22.0,78.0,86.0,38.0,69.0,0.0,45.0,10.0,45.0,59.0
2017-02-03,39.0,1.0,30.0,74.0,80.0,16.0,66.0,25.0,42.0,11.0,42.0,44.0
2017-02-04,22.0,1.0,14.0,58.0,53.0,0.0,61.0,0.0,39.0,7.0,28.0,30.0
2017-02-05,22.0,1.0,21.0,56.0,56.0,0.0,55.0,0.0,37.0,8.0,36.0,17.0
2017-02-06,42.0,1.0,36.0,69.0,77.0,0.0,66.0,0.0,43.0,12.0,51.0,14.0
2017-02-07,46.0,1.0,34.0,68.0,85.0,14.0,72.0,0.0,45.0,19.0,46.0,53.0
2017-02-08,47.0,1.0,30.0,73.0,87.0,38.0,69.0,0.0,51.0,6.0,49.0,64.0
2017-02-09,41.0,1.0,20.0,74.0,83.0,0.0,66.0,0.0,53.0,15.0,66.0,39.0
2017-02-10,38.0,1.0,29.0,67.0,72.0,31.0,71.0,0.0,46.0,13.0,65.0,53.0
2017-02-11,23.0,1.0,17.0,73.0,50.0,18.0,62.0,0.0,44.0,1.0,30.0,51.0
2017-02-12,22.0,1.0,17.0,52.0,51.0,0.0,54.0,0.0,41.0,7.0,50.0,34.0
2017-02-13,44.0,1.0,31.0,65.0,90.0,0.0,67.0,23.0,47.0,9.0,49.0,47.0
2017-02-14,40.0,1.0,22.0,65.0,77.0,0.0,63.0,0.0,46.0,4.0,48.0,47.0
2017-02-15,43.0,1.0,17.0,68.0,86.0,0.0,68.0,13.0,46.0,9.0,68.0,27.0
2017-02-16,41.0,1.0,32.0,74.0,75.0,0.0,68.0,0.0,45.0,18.0,75.0,47.0
2017-02-17,39.0,1.0,22.0,64.0,68.0,0.0,68.0,0.0,38.0,7.0,47.0,47.0
2017-02-18,22.0,1.0,18.0,63.0,54.0,0.0,59.0,0.0,33.0,7.0,27.0,10.0
2017-02-19,22.0,1.0,25.0,58.0,53.0,16.0,62.0,0.0,30.0,6.0,44.0,27.0
2017-02-20,42.0,1.0,31.0,65.0,77.0,0.0,65.0,0.0,42.0,4.0,72.0,36.0
2017-02-21,44.0,1.0,26.0,69.0,81.0,0.0,68.0,12.0,46.0,22.0,50.0,42.0
2017-02-22,46.0,1.0,28.0,65.0,77.0,0.0,65.0,0.0,49.0,22.0,46.0,36.0
2017-02-23,42.0,1.0,19.0,70.0,77.0,0.0,64.0,12.0,42.0,13.0,62.0,42.0
2017-02-24,40.0,1.0,34.0,67.0,74.0,0.0,66.0,0.0,41.0,18.0,38.0,31.0
2017-02-25,22.0,1.0,49.0,58.0,60.0,59.0,60.0,0.0,32.0,5.0,40.0,24.0
2017-02-26,23.0,1.0,52.0,52.0,59.0,0.0,59.0,13.0,27.0,14.0,28.0,37.0
2017-02-27,46.0,1.0,21.0,67.0,82.0,21.0,67.0,0.0,33.0,13.0,48.0,43.0
2017-02-28,51.0,1.0,25.0,73.0,89.0,51.0,72.0,0.0,45.0,13.0,55.0,48.0
2017-03-01,45.0,1.0,37.0,70.0,83.0,14.0,69.0,0.0,36.0,10.0,65.0,40.0
2017-03-02,46.0,1.0,23.0,72.0,88.0,21.0,67.0,0.0,36.0,6.0,53.0,20.0
2017-03-03,37.0,1.0,21.0,70.0,75.0,0.0,66.0,0.0,37.0,9.0,49.0,21.0
2017-03-04,22.0,1.0,27.0,68.0,61.0,0.0,58.0,0.0,27.0,9.0,24.0,30.0
2017-03-05,20.0,1.0,24.0,59.0,52.0,0.0,59.0,0.0,29.0,7.0,27.0,37.0
2017-03-06,45.0,1.0,33.0,74.0,82.0,14.0,69.0,0.0,38.0,17.0,51.0,53.0
2017-03-07,59.0,1.0,28.0,68.0,85.0,0.0,68.0,0.0,36.0,10.0,71.0,58.0
2017-03-08,60.0,1.0,34.0,69.0,87.0,0.0,65.0,0.0,37.0,12.0,60.0,30.0
2017-03-09,59.0,1.0,25.0,76.0,84.0,36.0,70.0,0.0,30.0,8.0,59.0,55.0
2017-03-10,45.0,1.0,32.0,68.0,79.0,0.0,68.0,0.0,33.0,5.0,45.0,36.0
2017-03-11,30.0,1.0,15.0,63.0,54.0,0.0,59.0,0.0,28.0,1.0,32.0,21.0
2017-03-12,28.0,1.0,19.0,61.0,61.0,0.0,58.0,0.0,22.0,7.0,25.0,10.0
2017-03-13,49.0,1.0,31.0,69.0,76.0,20.0,70.0,0.0,29.0,15.0,46.0,33.0
2017-03-14,52.0,1.0,27.0,72.0,74.0,73.0,65.0,0.0,37.0,11.0,58.0,50.0
2017-03-15,49.0,1.0,37.0,70.0,87.0,0.0,66.0,0.0,34.0,8.0,48.0,50.0
2017-03-16,45.0,1.0,14.0,67.0,80.0,29.0,70.0,0.0,31.0,9.0,50.0,45.0
2017-03-17,40.0,1.0,39.0,71.0,72.0,0.0,66.0,0.0,30.0,8.0,38.0,44.0
2017-03-18,22.0,1.0,19.0,65.0,43.0,0.0,58.0,0.0,25.0,10.0,34.0,20.0
2017-03-19,24.0,1.0,12.0,57.0,62.0,0.0,56.0,0.0,24.0,6.0,34.0,20.0
2017-03-20,48.0,1.0,12.0,73.0,80.0,0.0,70.0,0.0,31.0,12.0,50.0,51.0
2017-03-21,49.0,1.0,26.0,67.0,86.0,66.0,66.0,12.0,34.0,14.0,43.0,15.0
2017-03-22,50.0,1.0,21.0,70.0,83.0,0.0,66.0,24.0,31.0,14.0,43.0,53.0
2017-03-23,67.0,,48.0,64.0,74.0,59.0,65.0,0.0,30.0,13.0,52.0,74.0
2017-03-24,95.0,,27.0,63.0,75.0,0.0,67.0,0.0,34.0,12.0,40.0,65.0
2017-03-25,45.0,,25.0,55.0,61.0,0.0,59.0,0.0,28.0,3.0,34.0,15.0
2017-03-26,32.0,,34.0,55.0,58.0,0.0,58.0,0.0,27.0,13.0,23.0,21.0
2017-03-27,51.0,,56.0,71.0,80.0,0.0,66.0,0.0,32.0,9.0,63.0,43.0
2017-03-28,46.0,,43.0,71.0,81.0,0.0,64.0,0.0,31.0,9.0,54.0,43.0
2017-03-29,44.0,,34.0,70.0,82.0,0.0,67.0,0.0,34.0,16.0,74.0,62.0
2017-03-30,42.0,,44.0,72.0,83.0,0.0,65.0,25.0,31.0,11.0,62.0,57.0
2017-03-31,42.0,,22.0,70.0,70.0,0.0,67.0,0.0,28.0,18.0,56.0,26.0
2017-04-01,21.0,,30.0,63.0,49.0,0.0,57.0,0.0,22.0,5.0,29.0,21.0
2017-04-02,21.0,,30.0,52.0,47.0,0.0,55.0,0.0,22.0,8.0,31.0,86.0
2017-04-03,42.0,,34.0,59.0,75.0,0.0,72.0,0.0,28.0,4.0,38.0,74.0
2017-04-04,45.0,,56.0,60.0,79.0,0.0,70.0,0.0,30.0,15.0,43.0,55.0
2017-04-05,39.0,,34.0,78.0,88.0,0.0,64.0,0.0,29.0,9.0,53.0,86.0
2017-04-06,40.0,,44.0,61.0,84.0,0.0,69.0,0.0,27.0,16.0,43.0,50.0
2017-04-07,37.0,,63.0,69.0,77.0,0.0,65.0,0.0,22.0,9.0,52.0,32.0
2017-04-08,21.0,,35.0,62.0,48.0,0.0,58.0,0.0,20.0,0.0,16.0,21.0
2017-04-09,20.0,,15.0,55.0,56.0,0.0,57.0,29.0,12.0,0.0,21.0,29.0
2017-04-10,43.0,,43.0,61.0,79.0,0.0,69.0,0.0,26.0,2.0,52.0,87.0
2017-04-11,42.0,,13.0,62.0,76.0,0.0,71.0,50.0,25.0,13.0,56.0,31.0
2017-04-12,41.0,,44.0,65.0,72.0,0.0,69.0,0.0,27.0,9.0,47.0,70.0
2017-04-13,39.0,,46.0,67.0,69.0,0.0,70.0,26.0,22.0,5.0,38.0,46.0
2017-04-14,30.0,,39.0,57.0,52.0,100.0,70.0,0.0,19.0,0.0,46.0,0.0
2017-04-15,18.0,,31.0,45.0,48.0,0.0,62.0,0.0,17.0,3.0,35.0,37.0
2017-04-16,18.0,,21.0,35.0,49.0,0.0,55.0,0.0,15.0,5.0,40.0,7.0
2017-04-17,42.0,,40.0,55.0,72.0,0.0,71.0,0.0,24.0,7.0,61.0,32.0
2017-04-18,45.0,,47.0,67.0,79.0,0.0,68.0,0.0,25.0,9.0,56.0,42.0
2017-04-19,40.0,,55.0,62.0,71.0,0.0,65.0,0.0,24.0,11.0,40.0,42.0
2017-04-20,41.0,,44.0,68.0,82.0,30.0,65.0,25.0,24.0,2.0,32.0,56.0
2017-04-21,40.0,,31.0,63.0,72.0,62.0,69.0,0.0,25.0,7.0,40.0,84.0
2017-04-22,21.0,,5.0,60.0,54.0,0.0,58.0,0.0,15.0,10.0,34.0,15.0
2017-04-23,22.0,,43.0,48.0,52.0,0.0,57.0,0.0,15.0,5.0,30.0,20.0
2017-04-24,45.0,,17.0,67.0,84.0,0.0,69.0,0.0,18.0,11.0,48.0,36.0
2017-04-25,46.0,,34.0,70.0,82.0,58.0,68.0,0.0,20.0,4.0,62.0,42.0
2017-04-26,42.0,,30.0,62.0,75.0,0.0,66.0,0.0,24.0,7.0,82.0,54.0
2017-04-27,44.0,,21.0,68.0,79.0,29.0,66.0,0.0,20.0,13.0,70.0,55.0
2017-04-28,35.0,,22.0,74.0,66.0,31.0,69.0,0.0,14.0,9.0,54.0,45.0
2017-04-29,18.0,,10.0,59.0,53.0,0.0,63.0,0.0,15.0,10.0,13.0,36.0
2017-04-30,20.0,,20.0,58.0,50.0,0.0,60.0,0.0,14.0,8.0,32.0,43.0
2017-05-01,42.0,,55.0,58.0,71.0,0.0,73.0,0.0,20.0,17.0,34.0,27.0
