date,technology,overlap,information,computers and information technology,computer,engineering,communication,science,"information technology act, 2000",Management,Course
2017-01-17,74.0,1.0,90.0,0.0,78.0,58.0,87.0,37.0,0.0,87.0,47.0
2017-01-18,81.0,1.0,84.0,0.0,81.0,56.0,81.0,45.0,0.0,88.0,52.0
2017-01-19,71.0,1.0,79.0,0.0,71.0,47.0,76.0,41.0,0.0,87.0,43.0
2017-01-20,77.0,1.0,70.0,0.0,72.0,53.0,74.0,40.0,0.0,77.0,45.0
2017-01-21,57.0,1.0,59.0,0.0,69.0,45.0,61.0,40.0,0.0,59.0,42.0
2017-01-22,51.0,1.0,71.0,0.0,64.0,42.0,59.0,42.0,0.0,57.0,41.0
2017-01-23,72.0,1.0,81.0,0.0,79.0,58.0,70.0,41.0,0.0,78.0,50.0
2017-01-24,72.0,1.0,80.0,0.0,78.0,50.0,75.0,46.0,0.0,83.0,54.0
2017-01-25,64.0,1.0,61.0,0.0,68.0,45.0,65.0,32.0,0.0,71.0,50.0
2017-01-26,51.0,1.0,64.0,0.0,64.0,42.0,46.0,34.0,0.0,52.0,45.0
2017-01-27,74.0,1.0,73.0,0.0,79.0,51.0,67.0,41.0,0.0,73.0,49.0
2017-01-28,55.0,1.0,64.0,0.0,72.0,44.0,57.0,40.0,0.0,65.0,48.0
2017-01-29,47.0,1.0,69.0,0.0,69.0,42.0,68.0,40.0,0.0,63.0,44.0
2017-01-30,76.0,1.0,75.0,0.0,80.0,55.0,76.0,42.0,0.0,87.0,50.0
2017-01-31,68.0,1.0,73.0,0.0,71.0,61.0,75.0,43.0,0.0,80.0,46.0
2017-02-01,73.0,1.0,79.0,0.0,78.0,50.0,72.0,42.0,0.0,83.0,48.0
2017-02-02,74.0,1.0,80.0,0.0,83.0,59.0,81.0,44.0,0.0,83.0,51.0
2017-02-03,65.0,1.0,73.0,0.0,68.0,51.0,71.0,42.0,0.0,75.0,45.0
2017-02-04,57.0,1.0,61.0,52.0,72.0,57.0,55.0,37.0,0.0,60.0,49.0
2017-02-05,53.0,1.0,78.0,0.0,71.0,53.0,77.0,44.0,0.0,56.0,47.0
2017-02-06,72.0,1.0,81.0,0.0,77.0,53.0,75.0,41.0,0.0,88.0,55.0
2017-02-07,72.0,1.0,83.0,0.0,85.0,57.0,68.0,43.0,0.0,85.0,50.0
2017-02-08,76.0,1.0,78.0,0.0,81.0,54.0,62.0,47.0,0.0,83.0,47.0
2017-02-09,71.0,1.0,78.0,0.0,76.0,53.0,86.0,42.0,0.0,79.0,49.0
2017-02-10,60.0,1.0,67.0,44.0,73.0,47.0,71.0,41.0,0.0,76.0,45.0
2017-02-11,54.0,1.0,64.0,0.0,68.0,48.0,59.0,41.0,0.0,57.0,45.0
2017-02-12,50.0,1.0,73.0,0.0,71.0,43.0,64.0,43.0,0.0,54.0,43.0
2017-02-13,67.0,1.0,72.0,0.0,72.0,51.0,87.0,42.0,0.0,82.0,49.0
2017-02-14,66.0,1.0,79.0,0.0,78.0,51.0,76.0,44.0,0.0,86.0,44.0
2017-02-15,76.0,1.0,78.0,0.0,75.0,52.0,78.0,45.0,0.0,85.0,51.0
2017-02-16,82.0,1.0,77.0,0.0,83.0,54.0,78.0,48.0,0.0,83.0,51.0
2017-02-17,75.0,1.0,78.0,0.0,79.0,59.0,73.0,48.0,0.0,76.0,49.0
2017-02-18,56.0,1.0,64.0,0.0,74.0,49.0,57.0,44.0,0.0,63.0,52.0
2017-02-19,55.0,1.0,73.0,0.0,63.0,47.0,54.0,45.0,0.0,56.0,46.0
2017-02-20,71.0,1.0,79.0,0.0,75.0,57.0,83.0,42.0,0.0,86.0,58.0
2017-02-21,81.0,1.0,80.0,0.0,84.0,54.0,81.0,48.0,0.0,83.0,52.0
2017-02-22,76.0,1.0,82.0,0.0,84.0,59.0,88.0,53.0,0.0,85.0,53.0
2017-02-23,68.0,1.0,69.0,0.0,72.0,48.0,68.0,47.0,0.0,78.0,45.0
2017-02-24,60.0,1.0,70.0,0.0,74.0,49.0,51.0,45.0,0.0,71.0,46.0
2017-02-25,57.0,1.0,65.0,0.0,72.0,48.0,43.0,44.0,0.0,61.0,50.0
2017-02-26,64.0,1.0,72.0,0.0,75.0,47.0,48.0,54.0,0.0,65.0,52.0
2017-02-27,80.0,1.0,83.0,0.0,85.0,57.0,82.0,60.0,0.0,100.0,60.0
2017-02-28,86.0,1.0,73.0,51.0,82.0,57.0,79.0,58.0,0.0,89.0,65.0
