date,AAPL,overlap,MSFT,NVDA,V,MA,AVGO,CSCO,ACN,CRM,ADBE
2017-01-17,10.0,1.0,9.0,12.0,68.0,68.0,7.0,26.0,52.0,84.0,7.0
2017-01-18,12.0,1.0,8.0,15.0,70.0,68.0,9.0,37.0,53.0,82.0,10.0
2017-01-19,8.0,1.0,11.0,13.0,70.0,66.0,9.0,23.0,58.0,75.0,5.0
2017-01-20,10.0,1.0,10.0,15.0,67.0,66.0,7.0,13.0,32.0,68.0,7.0
2017-01-21,2.0,1.0,5.0,4.0,79.0,66.0,5.0,7.0,39.0,35.0,14.0
2017-01-22,2.0,1.0,4.0,1.0,81.0,67.0,8.0,2.0,33.0,39.0,8.0
2017-01-23,10.0,1.0,5.0,9.0,69.0,68.0,9.0,17.0,52.0,78.0,10.0
2017-01-24,12.0,1.0,11.0,13.0,67.0,69.0,9.0,23.0,50.0,80.0,14.0
2017-01-25,15.0,1.0,12.0,12.0,69.0,66.0,12.0,30.0,61.0,76.0,26.0
2017-01-26,13.0,1.0,34.0,12.0,72.0,66.0,21.0,27.0,41.0,66.0,12.0
2017-01-27,15.0,1.0,35.0,14.0,70.0,68.0,10.0,12.0,44.0,78.0,5.0
2017-01-28,6.0,1.0,7.0,4.0,79.0,67.0,3.0,15.0,41.0,28.0,10.0
2017-01-29,3.0,1.0,6.0,4.0,79.0,66.0,0.0,7.0,45.0,29.0,4.0
2017-01-30,16.0,1.0,15.0,9.0,68.0,67.0,14.0,17.0,64.0,82.0,15.0
2017-01-31,40.0,1.0,18.0,12.0,71.0,66.0,30.0,30.0,63.0,75.0,5.0
2017-02-01,47.0,1.0,13.0,19.0,75.0,69.0,28.0,19.0,50.0,84.0,17.0
2017-02-02,26.0,1.0,12.0,12.0,68.0,68.0,19.0,23.0,47.0,80.0,12.0
2017-02-03,16.0,1.0,13.0,14.0,69.0,66.0,19.0,18.0,41.0,75.0,7.0
2017-02-04,6.0,1.0,4.0,5.0,84.0,66.0,24.0,14.0,35.0,37.0,4.0
2017-02-05,2.0,1.0,3.0,3.0,81.0,62.0,0.0,6.0,45.0,29.0,11.0
2017-02-06,14.0,1.0,8.0,14.0,64.0,62.0,7.0,24.0,48.0,75.0,15.0
2017-02-07,17.0,1.0,10.0,25.0,67.0,66.0,5.0,20.0,49.0,89.0,2.0
2017-02-08,18.0,1.0,9.0,24.0,65.0,69.0,9.0,16.0,42.0,82.0,8.0
2017-02-09,14.0,1.0,10.0,44.0,68.0,67.0,12.0,16.0,60.0,77.0,14.0
2017-02-10,13.0,1.0,9.0,47.0,69.0,69.0,17.0,10.0,43.0,70.0,11.0
2017-02-11,4.0,1.0,5.0,5.0,89.0,66.0,3.0,10.0,23.0,33.0,6.0
2017-02-12,3.0,1.0,3.0,3.0,83.0,70.0,3.0,5.0,36.0,33.0,0.0
2017-02-13,15.0,1.0,17.0,18.0,68.0,69.0,20.0,22.0,65.0,79.0,23.0
2017-02-14,19.0,1.0,11.0,21.0,68.0,65.0,2.0,34.0,35.0,84.0,7.0
2017-02-15,21.0,1.0,11.0,22.0,69.0,65.0,5.0,57.0,48.0,90.0,20.0
2017-02-16,17.0,1.0,9.0,14.0,67.0,66.0,14.0,65.0,68.0,80.0,7.0
2017-02-17,15.0,1.0,10.0,21.0,68.0,65.0,16.0,47.0,70.0,68.0,10.0
2017-02-18,3.0,1.0,4.0,4.0,77.0,67.0,11.0,13.0,33.0,37.0,15.0
2017-02-19,2.0,1.0,4.0,1.0,77.0,68.0,8.0,16.0,34.0,33.0,8.0
2017-02-20,3.0,1.0,4.0,6.0,71.0,66.0,9.0,15.0,55.0,78.0,7.0
2017-02-21,14.0,1.0,8.0,15.0,70.0,66.0,9.0,25.0,62.0,84.0,17.0
2017-02-22,14.0,1.0,10.0,17.0,72.0,68.0,7.0,41.0,60.0,84.0,10.0
2017-02-23,14.0,1.0,7.0,36.0,72.0,68.0,28.0,31.0,65.0,72.0,20.0
2017-02-24,13.0,1.0,11.0,27.0,72.0,70.0,24.0,22.0,42.0,74.0,16.0
2017-02-25,5.0,1.0,3.0,7.0,89.0,78.0,8.0,6.0,35.0,35.0,6.0
2017-02-26,2.0,1.0,3.0,5.0,91.0,100.0,0.0,3.0,35.0,33.0,2.0
2017-02-27,14.0,1.0,6.0,16.0,76.0,81.0,11.0,33.0,53.0,73.0,7.0
2017-02-28,17.0,1.0,15.0,20.0,75.0,80.0,35.0,28.0,55.0,78.0,17.0
2017-03-01,19.0,1.0,12.0,21.0,71.0,75.0,36.0,29.0,50.0,79.0,8.0
2017-03-02,17.0,1.0,8.0,23.0,69.0,72.0,36.0,35.0,53.0,82.0,23.0
2017-03-03,14.0,1.0,13.0,19.0,70.0,78.0,22.0,25.0,52.0,72.0,5.0
2017-03-04,3.0,1.0,3.0,6.0,99.0,74.0,13.0,3.0,44.0,38.0,6.0
2017-03-05,2.0,1.0,3.0,3.0,88.0,72.0,0.0,12.0,49.0,36.0,0.0
2017-03-06,14.0,1.0,8.0,19.0,74.0,72.0,11.0,27.0,64.0,84.0,7.0
2017-03-07,13.0,1.0,8.0,18.0,71.0,66.0,11.0,21.0,48.0,83.0,14.0
2017-03-08,12.0,1.0,15.0,18.0,67.0,70.0,9.0,25.0,66.0,81.0,10.0
2017-03-09,10.0,1.0,12.0,16.0,67.0,70.0,11.0,25.0,59.0,85.0,10.0
2017-03-10,15.0,1.0,8.0,18.0,74.0,77.0,14.0,22.0,53.0,77.0,14.0
2017-03-11,4.0,1.0,3.0,4.0,89.0,74.0,11.0,5.0,41.0,32.0,4.0
2017-03-12,1.0,1.0,4.0,4.0,80.0,74.0,13.0,3.0,35.0,37.0,0.0
2017-03-13,8.0,1.0,10.0,18.0,70.0,72.0,21.0,19.0,60.0,73.0,5.0
2017-03-14,11.0,1.0,8.0,16.0,67.0,70.0,21.0,25.0,48.0,79.0,25.0
2017-03-15,11.0,1.0,8.0,17.0,68.0,71.0,18.0,17.0,56.0,87.0,27.0
2017-03-16,13.0,1.0,8.0,14.0,71.0,70.0,16.0,19.0,45.0,81.0,49.0
2017-03-17,13.0,1.0,9.0,19.0,72.0,71.0,7.0,24.0,45.0,75.0,59.0
2017-03-18,3.0,1.0,3.0,3.0,92.0,70.0,0.0,7.0,31.0,36.0,10.0
2017-03-19,3.0,1.0,3.0,4.0,82.0,70.0,3.0,6.0,39.0,33.0,11.0
2017-03-20,12.0,1.0,11.0,21.0,70.0,70.0,32.0,10.0,58.0,85.0,30.0
2017-03-21,17.0,1.0,11.0,18.0,68.0,70.0,18.0,27.0,56.0,85.0,29.0
2017-03-22,15.0,1.0,9.0,20.0,73.0,68.0,14.0,17.0,42.0,86.0,27.0
2017-03-23,13.0,,12.0,13.0,67.0,68.0,18.0,20.0,69.0,81.0,10.0
2017-03-24,11.0,,8.0,14.0,69.0,69.0,24.0,15.0,86.0,69.0,0.0
2017-03-25,3.0,,3.0,2.0,74.0,68.0,0.0,13.0,53.0,32.0,8.0
2017-03-26,2.0,,1.0,3.0,80.0,65.0,0.0,7.0,33.0,41.0,8.0
2017-03-27,11.0,,10.0,14.0,70.0,68.0,14.0,25.0,63.0,92.0,14.0
2017-03-28,14.0,,9.0,24.0,72.0,72.0,14.0,17.0,53.0,81.0,10.0
2017-03-29,16.0,,8.0,10.0,68.0,71.0,5.0,20.0,63.0,93.0,14.0
2017-03-30,12.0,,13.0,13.0,65.0,69.0,19.0,14.0,54.0,81.0,0.0
2017-03-31,14.0,,5.0,11.0,67.0,69.0,10.0,12.0,55.0,59.0,14.0
2017-04-01,4.0,,3.0,2.0,79.0,67.0,27.0,0.0,39.0,36.0,4.0
2017-04-02,3.0,,2.0,4.0,76.0,69.0,5.0,3.0,61.0,36.0,8.0
