date,information technology,overlap,technology,information,computers,communication,MSCI,exchange-traded funds,artificial intelligence,information literacy,media communication
2017-01-17,69.0,1.0,91.0,92.0,78.0,94.0,23.0,0.0,37.0,8.0,43.0
2017-01-18,73.0,1.0,97.0,92.0,72.0,90.0,21.0,0.0,46.0,12.0,63.0
2017-01-19,66.0,1.0,89.0,92.0,81.0,89.0,22.0,0.0,36.0,28.0,51.0
2017-01-20,56.0,1.0,85.0,82.0,74.0,76.0,23.0,0.0,37.0,9.0,19.0
2017-01-21,43.0,1.0,59.0,59.0,59.0,57.0,12.0,0.0,28.0,10.0,30.0
2017-01-22,42.0,1.0,62.0,65.0,55.0,60.0,7.0,0.0,30.0,5.0,27.0
2017-01-23,64.0,1.0,92.0,92.0,80.0,90.0,21.0,0.0,44.0,21.0,39.0
2017-01-24,68.0,1.0,97.0,94.0,74.0,94.0,25.0,0.0,38.0,13.0,45.0
2017-01-25,71.0,1.0,91.0,91.0,70.0,89.0,18.0,0.0,44.0,6.0,37.0
2017-01-26,64.0,1.0,83.0,86.0,72.0,85.0,22.0,0.0,35.0,17.0,50.0
2017-01-27,54.0,1.0,85.0,81.0,68.0,78.0,15.0,0.0,38.0,15.0,45.0
2017-01-28,42.0,1.0,54.0,60.0,62.0,49.0,11.0,0.0,30.0,7.0,19.0
2017-01-29,44.0,1.0,60.0,66.0,61.0,63.0,10.0,0.0,28.0,14.0,45.0
2017-01-30,54.0,1.0,89.0,87.0,76.0,90.0,19.0,0.0,48.0,26.0,51.0
2017-01-31,57.0,1.0,97.0,92.0,70.0,86.0,21.0,0.0,35.0,13.0,36.0
2017-02-01,69.0,1.0,94.0,94.0,76.0,89.0,27.0,0.0,34.0,12.0,55.0
2017-02-02,62.0,1.0,94.0,90.0,71.0,89.0,30.0,14.0,40.0,13.0,46.0
2017-02-03,59.0,1.0,86.0,83.0,73.0,80.0,17.0,0.0,28.0,13.0,42.0
2017-02-04,50.0,1.0,57.0,62.0,62.0,59.0,11.0,0.0,20.0,2.0,36.0
2017-02-05,43.0,1.0,58.0,64.0,63.0,66.0,13.0,0.0,32.0,2.0,45.0
2017-02-06,48.0,1.0,91.0,91.0,82.0,93.0,25.0,0.0,39.0,28.0,40.0
2017-02-07,58.0,1.0,95.0,93.0,78.0,96.0,28.0,0.0,32.0,17.0,39.0
2017-02-08,55.0,1.0,98.0,93.0,76.0,93.0,26.0,0.0,39.0,14.0,27.0
2017-02-09,74.0,1.0,89.0,92.0,73.0,85.0,26.0,0.0,34.0,10.0,34.0
2017-02-10,55.0,1.0,82.0,78.0,81.0,76.0,21.0,0.0,37.0,18.0,29.0
2017-02-11,37.0,1.0,55.0,58.0,54.0,54.0,8.0,0.0,34.0,2.0,11.0
2017-02-12,50.0,1.0,59.0,67.0,60.0,69.0,12.0,0.0,35.0,14.0,42.0
2017-02-13,58.0,1.0,93.0,92.0,72.0,87.0,19.0,0.0,43.0,16.0,49.0
2017-02-14,62.0,1.0,90.0,86.0,77.0,88.0,19.0,0.0,33.0,17.0,43.0
2017-02-15,65.0,1.0,91.0,94.0,70.0,90.0,23.0,39.0,49.0,12.0,35.0
2017-02-16,64.0,1.0,93.0,93.0,71.0,93.0,17.0,0.0,40.0,10.0,36.0
2017-02-17,49.0,1.0,83.0,81.0,72.0,80.0,22.0,0.0,40.0,2.0,44.0
2017-02-18,44.0,1.0,58.0,61.0,57.0,55.0,13.0,0.0,38.0,7.0,34.0
2017-02-19,44.0,1.0,62.0,66.0,57.0,68.0,11.0,0.0,34.0,10.0,52.0
2017-02-20,58.0,1.0,84.0,82.0,77.0,86.0,18.0,0.0,42.0,16.0,68.0
2017-02-21,57.0,1.0,94.0,94.0,74.0,99.0,21.0,0.0,34.0,23.0,48.0
2017-02-22,63.0,1.0,95.0,94.0,74.0,92.0,23.0,0.0,38.0,15.0,38.0
2017-02-23,72.0,1.0,93.0,86.0,78.0,85.0,22.0,0.0,33.0,19.0,52.0
2017-02-24,60.0,1.0,79.0,82.0,72.0,76.0,18.0,0.0,47.0,7.0,48.0
2017-02-25,40.0,1.0,59.0,60.0,61.0,61.0,11.0,0.0,25.0,2.0,36.0
2017-02-26,42.0,1.0,67.0,66.0,54.0,66.0,9.0,0.0,39.0,14.0,60.0
2017-02-27,62.0,1.0,98.0,96.0,78.0,98.0,21.0,0.0,41.0,14.0,48.0
2017-02-28,67.0,1.0,97.0,97.0,76.0,93.0,24.0,0.0,38.0,16.0,60.0
2017-03-01,54.0,1.0,91.0,92.0,66.0,89.0,24.0,13.0,35.0,8.0,63.0
2017-03-02,100.0,1.0,99.0,100.0,69.0,92.0,20.0,0.0,50.0,27.0,53.0
2017-03-03,63.0,1.0,86.0,88.0,68.0,79.0,18.0,0.0,40.0,6.0,34.0
