Date, Open, High, Low, Close
12/31/19, 984.81, 986.29, 986.29, 986.29
12/30/19, 992.60, 984.82, 984.82, 984.82
12/27/19, 993.62, 991.94, 991.94, 991.94
12/26/19, 977.42, 991.42, 991.42, 991.42
12/24/19, 976.29, 977.43, 977.43, 977.43
12/23/19, 977.71, 976.16, 976.16, 976.16
12/20/19, 976.28, 977.43, 977.43, 977.43
12/19/19, 972.66, 976.28, 976.28, 976.28
12/18/19, 973.54, 972.81, 972.81, 972.81
12/17/19, 967.53, 972.84, 972.84, 972.84
12/16/19, 963.50, 967.51, 967.51, 967.51
12/13/19, 962.99, 963.40, 963.40, 963.40
12/12/19, 955.22, 963.02, 963.02, 963.02
12/11/19, 951.86, 954.67, 954.67, 954.67
12/10/19, 953.85, 951.86, 951.86, 951.86
12/09/19, 953.11, 953.89, 953.89, 953.89
12/06/19, 945.73, 953.20, 953.20, 953.20
12/05/19, 947.38, 945.56, 945.56, 945.56
12/04/19, 943.30, 947.67, 947.67, 947.67
12/03/19, 953.37, 943.85, 943.85, 943.85
12/02/19, 960.79, 953.48, 953.48, 953.48
11/29/19, 967.57, 960.79, 960.79, 960.79
11/27/19, 960.25, 968.21, 968.21, 968.21
11/26/19, 952.48, 960.24, 960.24, 960.24
11/25/19, 944.20, 952.54, 952.54, 952.54
11/22/19, 938.08, 944.15, 944.15, 944.15
11/21/19, 942.51, 938.08, 938.08, 938.08
11/20/19, 945.55, 943.00, 943.00, 943.00
11/19/19, 954.88, 945.67, 945.67, 945.67
11/18/19, 951.45, 954.93, 954.93, 954.93
11/15/19, 950.51, 951.74, 951.74, 951.74
11/14/19, 946.74, 950.36, 950.36, 950.36
11/13/19, 949.81, 947.05, 947.05, 947.05
11/12/19, 951.23, 950.70, 950.70, 950.70
11/11/19, 953.99, 951.46, 951.46, 951.46
11/08/19, 953.71, 954.04, 954.04, 954.04
11/07/19, 959.18, 953.78, 953.78, 953.78
11/06/19, 958.65, 959.19, 959.19, 959.19
11/05/19, 957.26, 958.64, 958.64, 958.64
11/04/19, 956.15, 957.26, 957.26, 957.26
11/01/19, 950.13, 956.17, 956.17, 956.17
10/31/19, 954.39, 950.01, 950.01, 950.01
10/30/19, 949.02, 954.41, 954.41, 954.41
10/29/19, 954.43, 948.69, 948.69, 948.69
10/28/19, 950.77, 954.33, 954.33, 954.33
10/25/19, 952.76, 950.76, 950.76, 950.76
10/24/19, 952.84, 952.78, 952.78, 952.78
10/23/19, 956.36, 952.26, 952.26, 952.26
10/22/19, 963.16, 956.37, 956.37, 956.37
10/21/19, 958.64, 963.29, 963.29, 963.29
10/18/19, 961.87, 958.79, 958.79, 958.79
10/17/19, 958.88, 961.90, 961.90, 961.90
10/16/19, 954.96, 958.85, 958.85, 958.85
10/15/19, 945.88, 954.96, 954.96, 954.96
10/14/19, 946.54, 945.88, 945.88, 945.88
10/11/19, 935.91, 946.48, 946.48, 946.48
10/10/19, 930.83, 935.74, 935.74, 935.74
10/09/19, 922.49, 930.77, 930.77, 930.77
10/08/19, 931.51, 922.52, 922.52, 922.52
10/07/19, 937.19, 933.12, 933.12, 933.12
10/04/19, 928.25, 937.22, 937.22, 937.22
10/03/19, 923.30, 928.25, 928.25, 928.25
10/02/19, 939.79, 923.30, 923.30, 923.30
10/01/19, 947.30, 939.96, 939.96, 939.96
09/30/19, 939.38, 947.27, 947.27, 947.27
09/27/19, 942.97, 939.36, 939.36, 939.36
09/26/19, 948.15, 942.86, 942.86, 942.86
09/25/19, 939.04, 948.15, 948.15, 948.15
09/24/19, 950.38, 939.04, 939.04, 939.04
09/23/19, 948.17, 950.35, 950.35, 950.35
09/20/19, 959.80, 948.16, 948.16, 948.16
09/19/19, 961.43, 959.36, 959.36, 959.36
09/18/19, 962.08, 961.50, 961.50, 961.50
09/17/19, 956.19, 962.16, 962.16, 962.16
09/16/19, 968.97, 956.40, 956.40, 956.40
09/13/19, 970.88, 969.05, 969.05, 969.05
09/12/19, 966.24, 970.88, 970.88, 970.88
09/11/19, 964.21, 965.83, 965.83, 965.83
09/10/19, 967.96, 964.29, 964.29, 964.29
09/09/19, 965.03, 967.99, 967.99, 967.99
09/06/19, 963.10, 965.06, 965.06, 965.06
09/05/19, 944.84, 963.01, 963.01, 963.01
09/04/19, 936.45, 945.05, 945.05, 945.05
09/03/19, 940.39, 936.98, 936.98, 936.98
08/30/19, 945.34, 940.47, 940.47, 940.47
08/29/19, 932.21, 945.77, 945.77, 945.77
08/28/19, 920.89, 932.02, 932.02, 932.02
08/27/19, 925.82, 921.94, 921.94, 921.94
08/26/19, 916.40, 925.72, 925.72, 925.72
08/23/19, 942.30, 916.38, 916.38, 916.38
08/22/19, 942.82, 942.34, 942.34, 942.34
08/21/19, 925.98, 942.92, 942.92, 942.92
08/20/19, 926.61, 926.00, 926.00, 926.00
08/19/19, 919.34, 926.72, 926.72, 926.72
08/16/19, 905.40, 915.32, 915.32, 915.32
08/15/19, 906.30, 905.42, 905.42, 905.42
08/14/19, 935.30, 906.10, 906.10, 906.10
08/13/19, 919.95, 935.46, 935.46, 935.46
08/12/19, 932.98, 919.71, 919.71, 920.06
08/09/19, 942.13, 933.03, 933.03, 933.03
08/08/19, 925.81, 942.18, 942.18, 942.18
08/07/19, 920.70, 923.86, 923.86, 923.86
08/06/19, 907.66, 920.96, 920.96, 920.96
08/05/19, 933.07, 907.67, 907.67, 907.67
08/02/19, 941.68, 933.12, 933.12, 933.12
08/01/19, 954.07, 941.70, 941.70, 941.70
07/31/19, 965.38, 954.09, 954.09, 954.09
07/30/19, 972.12, 965.48, 965.48, 965.48
07/29/19, 977.84, 972.17, 972.17, 972.17
07/26/19, 970.69, 977.85, 977.85, 977.85
07/25/19, 981.91, 975.69, 975.69, 975.69
07/24/19, 976.66, 981.91, 981.91, 981.91
07/23/19, 971.01, 976.68, 976.68, 976.68
07/22/19, 970.39, 971.08, 971.08, 971.08
07/19/19, 976.40, 969.52, 969.52, 969.52
07/18/19, 978.27, 976.38, 976.38, 976.38
07/17/19, 987.41, 978.51, 978.51, 978.51
07/16/19, 989.16, 987.40, 987.40, 987.40
07/15/19, 985.85, 989.17, 989.17, 989.17
07/12/19, 975.46, 985.83, 985.83, 985.83
07/11/19, 973.87, 975.46, 975.46, 975.46
07/10/19, 970.09, 973.86, 973.86, 973.86
07/09/19, 966.83, 970.09, 970.09, 970.09
07/08/19, 965.08, 966.92, 966.92, 966.92
07/05/19, 964.00, 965.13, 965.13, 965.13
07/03/19, 956.91, 964.02, 964.02, 964.02
07/02/19, 953.83, 956.88, 956.88, 956.88
07/01/19, 945.99, 953.84, 953.84, 953.84
06/28/19, 943.24, 945.58, 945.58, 945.58
06/27/19, 937.66, 943.24, 943.24, 943.24
06/26/19, 933.88, 937.70, 937.70, 937.70
06/25/19, 944.25, 933.85, 933.85, 933.85
06/24/19, 948.82, 943.98, 943.98, 943.98
06/21/19, 952.28, 948.84, 948.84, 948.84
06/20/19, 946.15, 952.29, 952.29, 952.29
06/19/19, 943.84, 946.09, 946.09, 946.09
06/18/19, 936.89, 943.84, 943.84, 943.84
06/17/19, 935.84, 936.83, 936.83, 936.83
06/14/19, 933.62, 935.89, 935.89, 935.89
06/13/19, 925.16, 933.63, 933.63, 933.63
06/12/19, 926.28, 925.32, 925.32, 925.32
06/11/19, 923.27, 926.32, 926.32, 926.32
06/10/19, 913.54, 923.23, 923.23, 923.23
06/07/19, 899.34, 913.60, 913.60, 913.60
06/06/19, 894.75, 899.40, 899.40, 899.40
06/05/19, 890.54, 894.97, 894.97, 894.97
06/04/19, 868.26, 891.08, 891.08, 891.08
06/03/19, 878.55, 868.21, 868.21, 868.21
05/31/19, 890.78, 878.54, 878.54, 878.54
05/30/19, 886.80, 891.34, 891.34, 891.34
05/29/19, 894.72, 886.86, 886.86, 886.86
05/28/19, 899.19, 894.77, 894.77, 894.77
05/24/19, 898.12, 899.17, 899.17, 899.17
05/23/19, 569.64, 897.92, 897.92, 897.92
05/22/19, 918.36, 910.10, 910.10, 910.10
05/21/19, 913.14, 918.37, 918.37, 918.37
05/20/19, 919.50, 913.17, 913.17, 913.17
05/17/19, 926.91, 919.56, 919.56, 919.56
05/16/19, 917.73, 926.99, 926.99, 926.99
05/15/19, 910.39, 917.78, 917.78, 917.78
05/14/19, 902.67, 910.67, 910.67, 910.67
