Date, Open, High, Low, Close
12/31/19, 1605.15, 1611.62, 1597.34, 1611.17
12/30/19, 1614.66, 1605.15, 1605.15, 1605.15
12/27/19, 1614.36, 1614.70, 1614.70, 1614.70
12/26/19, 1602.46, 1614.34, 1614.34, 1614.34
12/24/19, 1601.86, 1604.21, 1598.74, 1602.48
12/23/19, 1597.07, 1601.86, 1601.86, 1601.86
12/20/19, 1587.84, 1597.04, 1597.04, 1597.04
12/19/19, 1576.84, 1588.02, 1588.02, 1588.02
12/18/19, 1577.88, 1576.83, 1576.83, 1576.83
12/17/19, 1580.50, 1577.80, 1577.80, 1577.80
12/16/19, 1566.94, 1580.49, 1580.49, 1580.49
12/13/19, 1556.92, 1566.91, 1566.91, 1566.91
12/12/19, 1540.01, 1556.93, 1556.93, 1556.93
12/11/19, 1529.46, 1540.24, 1540.24, 1540.24
12/10/19, 1529.25, 1529.43, 1529.43, 1529.43
12/09/19, 1536.81, 1529.38, 1529.38, 1529.38
12/06/19, 1519.82, 1536.81, 1536.81, 1536.81
12/05/19, 1513.81, 1519.77, 1519.77, 1519.77
12/04/19, 1508.61, 1513.86, 1513.86, 1513.86
12/03/19, 1521.37, 1508.54, 1508.54, 1508.54
12/02/19, 1542.96, 1521.44, 1521.44, 1521.44
11/29/19, 1548.08, 1542.98, 1542.98, 1542.98
11/27/19, 1539.37, 1548.39, 1539.37, 1548.18
11/26/19, 1537.87, 1539.37, 1539.37, 1539.37
11/25/19, 1516.66, 1538.32, 1538.32, 1538.32
11/22/19, 1518.63, 1516.67, 1516.67, 1516.67
11/21/19, 1525.72, 1518.52, 1518.52, 1518.52
11/20/19, 1535.86, 1525.92, 1525.92, 1525.92
11/19/19, 1533.33, 1537.04, 1537.04, 1537.04
11/18/19, 1529.41, 1533.31, 1533.31, 1533.31
11/15/19, 1518.38, 1529.44, 1529.44, 1529.44
11/14/19, 1518.46, 1516.68, 1516.68, 1516.68
11/13/19, 1514.83, 1518.68, 1518.68, 1518.68
11/12/19, 1510.52, 1514.87, 1514.87, 1514.87
11/11/19, 1507.60, 1510.51, 1510.51, 1510.51
11/08/19, 1500.32, 1509.60, 1509.60, 1509.60
11/07/19, 1489.66, 1500.80, 1500.80, 1500.80
11/06/19, 1490.53, 1490.83, 1490.83, 1490.83
11/05/19, 1493.20, 1491.04, 1491.04, 1491.04
11/04/19, 1485.17, 1493.20, 1493.20, 1493.20
11/01/19, 1467.24, 1485.07, 1485.07, 1485.07
10/31/19, 1468.90, 1467.20, 1467.20, 1467.20
10/30/19, 1460.10, 1468.97, 1468.97, 1468.97
10/29/19, 1473.66, 1460.08, 1460.08, 1460.08
10/28/19, 1455.47, 1473.62, 1473.62, 1473.62
10/25/19, 1437.96, 1455.22, 1455.22, 1455.22
10/24/19, 1417.25, 1438.00, 1438.00, 1438.00
10/23/19, 1415.28, 1417.01, 1417.01, 1417.01
10/22/19, 1434.95, 1415.29, 1415.29, 1415.29
10/21/19, 1419.84, 1434.96, 1434.96, 1434.96
10/18/19, 1432.80, 1419.82, 1419.82, 1419.82
10/17/19, 1436.25, 1432.88, 1432.88, 1432.88
10/16/19, 1446.09, 1436.23, 1436.23, 1436.23
10/15/19, 1430.70, 1446.46, 1446.46, 1446.46
10/14/19, 1432.12, 1430.66, 1430.66, 1430.66
10/11/19, 1411.60, 1432.11, 1432.11, 1432.11
10/10/19, 1402.22, 1411.07, 1411.07, 1411.07
10/09/19, 1382.50, 1402.13, 1402.13, 1402.13
10/08/19, 1407.40, 1382.07, 1382.07, 1382.07
10/07/19, 1414.37, 1407.63, 1407.63, 1407.63
10/04/19, 1390.61, 1414.40, 1414.40, 1414.40
10/03/19, 1373.19, 1390.61, 1390.61, 1390.61
10/02/19, 1401.20, 1373.62, 1373.62, 1373.62
10/01/19, 1413.41, 1401.34, 1401.34, 1401.34
09/30/19, 1398.81, 1413.36, 1413.36, 1413.36
09/27/19, 1416.98, 1398.82, 1398.82, 1398.82
09/26/19, 1416.42, 1416.98, 1416.98, 1416.98
09/25/19, 1399.08, 1416.42, 1416.42, 1416.42
09/24/19, 1413.56, 1399.08, 1399.08, 1399.08
09/23/19, 1411.64, 1413.57, 1413.57, 1413.57
09/20/19, 1426.14, 1410.34, 1410.34, 1410.34
