date,technology,overlap,computer and information,information,science,design and technology,limited company,engineering,innovation,SEAT,investment fund
2017-01-17,93.0,1.0,23.0,94.0,78.0,68.0,59.0,91.0,80.0,26.0,53.0
2017-01-18,94.0,1.0,21.0,90.0,77.0,43.0,59.0,86.0,85.0,25.0,61.0
2017-01-19,88.0,1.0,39.0,92.0,79.0,51.0,56.0,82.0,81.0,23.0,55.0
2017-01-20,81.0,1.0,38.0,82.0,71.0,35.0,45.0,75.0,75.0,25.0,51.0
2017-01-21,56.0,1.0,18.0,61.0,55.0,31.0,29.0,61.0,41.0,28.0,37.0
2017-01-22,58.0,1.0,24.0,63.0,60.0,31.0,37.0,61.0,58.0,28.0,33.0
2017-01-23,92.0,1.0,27.0,94.0,76.0,17.0,60.0,85.0,93.0,25.0,28.0
2017-01-24,90.0,1.0,18.0,93.0,79.0,58.0,56.0,83.0,94.0,25.0,65.0
2017-01-25,90.0,1.0,18.0,90.0,77.0,51.0,56.0,82.0,85.0,24.0,39.0
2017-01-26,79.0,1.0,18.0,88.0,76.0,24.0,51.0,75.0,79.0,25.0,48.0
2017-01-27,82.0,1.0,20.0,81.0,73.0,21.0,52.0,72.0,75.0,25.0,48.0
2017-01-28,54.0,1.0,11.0,58.0,60.0,20.0,21.0,58.0,40.0,28.0,39.0
2017-01-29,56.0,1.0,34.0,68.0,62.0,38.0,30.0,56.0,43.0,27.0,43.0
2017-01-30,88.0,1.0,39.0,88.0,73.0,47.0,52.0,78.0,96.0,26.0,61.0
2017-01-31,94.0,1.0,38.0,95.0,75.0,36.0,56.0,89.0,96.0,26.0,67.0
2017-02-01,92.0,1.0,32.0,93.0,77.0,36.0,53.0,84.0,77.0,26.0,60.0
2017-02-02,91.0,1.0,28.0,94.0,79.0,38.0,57.0,85.0,84.0,26.0,64.0
2017-02-03,82.0,1.0,18.0,86.0,70.0,35.0,46.0,77.0,78.0,25.0,44.0
2017-02-04,57.0,1.0,33.0,62.0,59.0,23.0,33.0,65.0,38.0,28.0,33.0
2017-02-05,58.0,1.0,10.0,68.0,63.0,38.0,29.0,57.0,42.0,27.0,42.0
2017-02-06,87.0,1.0,35.0,90.0,73.0,33.0,48.0,77.0,80.0,24.0,48.0
2017-02-07,93.0,1.0,20.0,94.0,81.0,47.0,63.0,82.0,80.0,24.0,53.0
2017-02-08,94.0,1.0,42.0,94.0,78.0,33.0,58.0,82.0,93.0,25.0,57.0
2017-02-09,91.0,1.0,23.0,93.0,72.0,61.0,61.0,79.0,88.0,24.0,56.0
2017-02-10,80.0,1.0,27.0,81.0,71.0,25.0,58.0,75.0,72.0,24.0,69.0
2017-02-11,55.0,1.0,21.0,60.0,61.0,27.0,34.0,58.0,49.0,29.0,31.0
2017-02-12,57.0,1.0,26.0,64.0,61.0,26.0,36.0,56.0,50.0,27.0,23.0
2017-02-13,82.0,1.0,25.0,90.0,70.0,59.0,53.0,77.0,86.0,25.0,62.0
2017-02-14,88.0,1.0,18.0,87.0,72.0,50.0,62.0,78.0,85.0,23.0,44.0
2017-02-15,90.0,1.0,22.0,95.0,80.0,24.0,62.0,81.0,85.0,25.0,51.0
2017-02-16,90.0,1.0,29.0,91.0,75.0,7.0,60.0,82.0,88.0,26.0,51.0
2017-02-17,83.0,1.0,28.0,81.0,71.0,30.0,55.0,78.0,76.0,26.0,57.0
2017-02-18,57.0,1.0,14.0,61.0,60.0,7.0,30.0,58.0,42.0,27.0,37.0
2017-02-19,60.0,1.0,25.0,65.0,62.0,23.0,28.0,59.0,56.0,28.0,25.0
2017-02-20,84.0,1.0,26.0,83.0,72.0,40.0,60.0,79.0,87.0,27.0,60.0
2017-02-21,92.0,1.0,22.0,95.0,78.0,30.0,61.0,84.0,92.0,26.0,63.0
2017-02-22,89.0,1.0,35.0,94.0,78.0,69.0,60.0,83.0,92.0,26.0,48.0
2017-02-23,84.0,1.0,36.0,86.0,78.0,37.0,56.0,78.0,92.0,25.0,61.0
2017-02-24,79.0,1.0,26.0,79.0,71.0,21.0,47.0,74.0,72.0,26.0,64.0
2017-02-25,59.0,1.0,20.0,61.0,60.0,42.0,32.0,63.0,42.0,28.0,23.0
2017-02-26,63.0,1.0,42.0,68.0,72.0,41.0,32.0,57.0,56.0,28.0,34.0
