date,Apple,overlap,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
2017-01-01,26.0,1.0,26.0,1.0,49.0,23.0,12.0,31.0,22.0,0.0,2.0,12.0,48.0,42.0,0.0,0.0,2.0,29.0,7.0,24.0,1.0,0.0
2017-01-02,28.0,1.0,28.0,4.0,51.0,24.0,13.0,30.0,22.0,3.0,4.0,15.0,47.0,63.0,0.0,1.0,2.0,35.0,4.0,44.0,0.0,0.0
2017-01-03,26.0,1.0,26.0,10.0,48.0,22.0,11.0,29.0,21.0,9.0,12.0,17.0,48.0,59.0,0.0,0.0,2.0,52.0,3.0,35.0,0.0,0.0
2017-01-04,26.0,1.0,26.0,11.0,45.0,20.0,12.0,28.0,18.0,14.0,14.0,14.0,45.0,62.0,0.0,0.0,2.0,45.0,18.0,20.0,0.0,2.0
2017-01-05,25.0,1.0,25.0,11.0,46.0,22.0,11.0,28.0,18.0,10.0,11.0,15.0,43.0,66.0,0.0,0.0,2.0,74.0,9.0,44.0,1.0,1.0
2017-01-06,26.0,1.0,26.0,16.0,46.0,21.0,11.0,28.0,18.0,14.0,20.0,15.0,42.0,51.0,0.0,0.0,3.0,57.0,6.0,29.0,2.0,3.0
2017-01-07,26.0,1.0,26.0,4.0,48.0,21.0,11.0,29.0,20.0,5.0,4.0,15.0,39.0,56.0,0.0,0.0,2.0,28.0,4.0,28.0,2.0,4.0
2017-01-08,26.0,1.0,26.0,2.0,44.0,21.0,12.0,30.0,19.0,0.0,1.0,14.0,42.0,56.0,1.0,1.0,2.0,36.0,6.0,24.0,1.0,1.0
2017-01-09,25.0,1.0,25.0,12.0,42.0,18.0,11.0,27.0,15.0,13.0,12.0,12.0,36.0,55.0,0.0,0.0,2.0,47.0,7.0,36.0,0.0,0.0
2017-01-10,24.0,1.0,24.0,13.0,42.0,20.0,11.0,26.0,17.0,9.0,13.0,13.0,49.0,55.0,0.0,0.0,2.0,60.0,18.0,27.0,2.0,1.0
2017-01-11,24.0,1.0,24.0,14.0,44.0,20.0,11.0,26.0,15.0,11.0,13.0,11.0,38.0,45.0,1.0,0.0,2.0,57.0,13.0,25.0,1.0,0.0
2017-01-12,24.0,1.0,24.0,12.0,44.0,17.0,10.0,25.0,17.0,9.0,12.0,14.0,39.0,55.0,0.0,0.0,2.0,57.0,21.0,23.0,0.0,1.0
2017-01-13,23.0,1.0,23.0,11.0,40.0,17.0,9.0,26.0,15.0,16.0,13.0,13.0,38.0,53.0,0.0,0.0,2.0,52.0,17.0,19.0,2.0,5.0
2017-01-14,25.0,1.0,25.0,2.0,48.0,20.0,12.0,28.0,20.0,2.0,4.0,14.0,44.0,55.0,1.0,0.0,3.0,40.0,4.0,15.0,1.0,1.0
2017-01-15,25.0,1.0,25.0,2.0,49.0,19.0,11.0,28.0,19.0,1.0,4.0,13.0,47.0,51.0,1.0,0.0,4.0,40.0,17.0,20.0,1.0,1.0
2017-01-16,23.0,1.0,23.0,5.0,45.0,16.0,10.0,27.0,16.0,3.0,4.0,13.0,36.0,59.0,0.0,0.0,4.0,55.0,6.0,18.0,2.0,5.0
2017-01-17,23.0,1.0,23.0,11.0,39.0,15.0,10.0,26.0,16.0,15.0,14.0,12.0,42.0,57.0,0.0,0.0,3.0,70.0,8.0,28.0,4.0,4.0
2017-01-18,23.0,1.0,23.0,12.0,42.0,15.0,10.0,25.0,14.0,8.0,18.0,12.0,32.0,66.0,0.0,0.0,3.0,67.0,19.0,19.0,6.0,2.0
2017-01-19,22.0,1.0,22.0,11.0,40.0,15.0,10.0,25.0,16.0,14.0,12.0,12.0,38.0,47.0,0.0,0.0,2.0,61.0,6.0,26.0,1.0,5.0
2017-01-20,21.0,1.0,21.0,11.0,38.0,15.0,10.0,25.0,14.0,6.0,13.0,11.0,35.0,44.0,0.0,0.0,2.0,53.0,13.0,15.0,2.0,3.0
2017-01-21,24.0,1.0,24.0,3.0,45.0,16.0,11.0,27.0,17.0,2.0,2.0,13.0,42.0,56.0,0.0,0.0,2.0,40.0,9.0,33.0,0.0,0.0
2017-01-22,25.0,1.0,25.0,2.0,44.0,18.0,11.0,28.0,16.0,7.0,3.0,15.0,42.0,46.0,0.0,0.0,3.0,29.0,2.0,17.0,0.0,0.0
2017-01-23,23.0,1.0,23.0,13.0,39.0,15.0,11.0,25.0,16.0,14.0,17.0,12.0,41.0,52.0,0.0,0.0,3.0,58.0,5.0,13.0,4.0,2.0
2017-01-24,23.0,1.0,23.0,12.0,40.0,15.0,10.0,24.0,13.0,8.0,17.0,13.0,38.0,56.0,0.0,0.0,3.0,60.0,12.0,10.0,4.0,10.0
2017-01-25,23.0,1.0,23.0,17.0,36.0,15.0,10.0,24.0,16.0,14.0,19.0,14.0,43.0,58.0,0.0,0.0,2.0,71.0,12.0,19.0,6.0,10.0
2017-01-26,23.0,1.0,23.0,13.0,39.0,15.0,9.0,25.0,13.0,15.0,17.0,15.0,41.0,48.0,0.0,0.0,2.0,61.0,13.0,19.0,4.0,8.0
2017-01-27,22.0,1.0,22.0,16.0,38.0,15.0,10.0,24.0,16.0,10.0,20.0,12.0,35.0,57.0,0.0,0.0,3.0,36.0,20.0,17.0,6.0,16.0
2017-01-28,23.0,1.0,23.0,6.0,41.0,17.0,11.0,27.0,18.0,7.0,4.0,12.0,39.0,49.0,0.0,0.0,3.0,46.0,10.0,24.0,1.0,8.0
2017-01-29,25.0,1.0,25.0,3.0,41.0,17.0,10.0,28.0,17.0,0.0,3.0,14.0,46.0,43.0,0.0,0.0,2.0,47.0,14.0,27.0,4.0,9.0
2017-01-30,23.0,1.0,23.0,17.0,37.0,15.0,10.0,25.0,14.0,17.0,22.0,11.0,39.0,47.0,0.0,0.0,2.0,50.0,10.0,18.0,14.0,24.0
2017-01-31,23.0,1.0,23.0,46.0,36.0,15.0,10.0,25.0,15.0,16.0,44.0,14.0,38.0,55.0,0.0,0.0,2.0,62.0,13.0,24.0,70.0,97.0
2017-02-01,23.0,1.0,23.0,59.0,37.0,14.0,10.0,25.0,15.0,36.0,60.0,16.0,40.0,42.0,0.0,0.0,3.0,48.0,15.0,39.0,31.0,17.0
2017-02-02,23.0,1.0,23.0,28.0,36.0,15.0,9.0,24.0,15.0,12.0,35.0,16.0,37.0,45.0,0.0,0.0,3.0,68.0,11.0,19.0,5.0,6.0
2017-02-03,22.0,1.0,22.0,18.0,36.0,15.0,10.0,24.0,18.0,18.0,22.0,13.0,34.0,51.0,0.0,0.0,3.0,58.0,20.0,31.0,3.0,0.0
2017-02-04,23.0,1.0,23.0,5.0,38.0,17.0,10.0,27.0,17.0,5.0,5.0,14.0,39.0,46.0,0.0,1.0,3.0,30.0,4.0,19.0,1.0,0.0
2017-02-05,24.0,1.0,24.0,3.0,37.0,19.0,10.0,26.0,17.0,1.0,3.0,13.0,41.0,42.0,0.0,0.0,2.0,36.0,6.0,25.0,1.0,0.0
2017-02-06,23.0,1.0,23.0,17.0,37.0,15.0,10.0,23.0,14.0,24.0,21.0,14.0,37.0,37.0,0.0,0.0,3.0,68.0,13.0,23.0,1.0,0.0
2017-02-07,23.0,1.0,23.0,19.0,35.0,15.0,9.0,24.0,15.0,18.0,26.0,13.0,36.0,51.0,0.0,0.0,3.0,60.0,7.0,25.0,1.0,1.0
2017-02-08,22.0,1.0,22.0,20.0,36.0,14.0,9.0,23.0,16.0,16.0,22.0,13.0,37.0,55.0,0.0,0.0,3.0,64.0,10.0,13.0,1.0,1.0
2017-02-09,22.0,1.0,22.0,17.0,34.0,15.0,9.0,24.0,17.0,18.0,23.0,15.0,36.0,50.0,0.0,0.0,2.0,63.0,19.0,15.0,1.0,1.0
2017-02-10,22.0,1.0,22.0,15.0,38.0,16.0,9.0,24.0,14.0,15.0,17.0,13.0,40.0,51.0,0.0,0.0,3.0,60.0,6.0,28.0,0.0,0.0
2017-02-11,23.0,1.0,23.0,5.0,40.0,18.0,10.0,27.0,16.0,7.0,5.0,15.0,35.0,57.0,0.0,0.0,3.0,31.0,8.0,17.0,1.0,1.0
2017-02-12,24.0,1.0,24.0,4.0,39.0,19.0,11.0,27.0,19.0,0.0,4.0,12.0,41.0,43.0,0.0,0.0,3.0,36.0,5.0,13.0,0.0,0.0
2017-02-13,22.0,1.0,22.0,18.0,34.0,16.0,8.0,24.0,18.0,17.0,27.0,14.0,33.0,52.0,0.0,0.0,3.0,54.0,9.0,16.0,0.0,0.0
