Date, Open, High, Low, Close
12/31/19, 1184.63, 1188.20, 1188.20, 1188.20
12/30/19, 1192.40, 1184.66, 1184.66, 1184.66
12/27/19, 1191.74, 1192.49, 1192.49, 1192.49
12/26/19, 1192.84, 1191.73, 1191.73, 1191.73
12/24/19, 1194.34, 1193.14, 1193.14, 1193.14
12/23/19, 1190.47, 1194.33, 1194.33, 1194.33
12/20/19, 1181.30, 1190.45, 1190.45, 1190.45
12/19/19, 1176.73, 1181.27, 1181.27, 1181.27
12/18/19, 1175.29, 1176.70, 1176.70, 1176.70
12/17/19, 1176.30, 1175.27, 1175.27, 1175.27
12/16/19, 1163.83, 1176.30, 1176.30, 1176.30
12/13/19, 1164.58, 1163.70, 1163.70, 1163.70
12/12/19, 1154.54, 1165.00, 1165.00, 1165.00
12/11/19, 1152.88, 1154.80, 1154.80, 1154.80
12/10/19, 1151.19, 1152.89, 1152.89, 1152.89
12/09/19, 1159.04, 1151.20, 1151.20, 1151.20
12/06/19, 1151.79, 1159.11, 1159.11, 1159.11
12/05/19, 1151.66, 1152.01, 1152.01, 1152.01
12/04/19, 1141.25, 1151.67, 1151.67, 1151.67
12/03/19, 1143.64, 1141.25, 1141.25, 1141.25
12/02/19, 1148.71, 1143.63, 1143.63, 1143.63
11/29/19, 1152.63, 1148.69, 1148.69, 1148.69
11/27/19, 1147.23, 1152.73, 1152.73, 1152.73
11/26/19, 1147.97, 1147.21, 1147.21, 1147.21
11/25/19, 1135.11, 1147.99, 1147.99, 1147.99
11/22/19, 1131.36, 1135.88, 1135.88, 1135.88
11/21/19, 1128.91, 1131.35, 1131.35, 1131.35
11/20/19, 1129.83, 1128.87, 1128.87, 1128.87
11/19/19, 1122.49, 1129.84, 1129.84, 1129.84
11/18/19, 1126.82, 1122.50, 1122.50, 1122.50
11/15/19, 1102.48, 1126.75, 1126.75, 1126.75
11/14/19, 1102.66, 1102.38, 1102.38, 1102.38
11/13/19, 1101.95, 1103.19, 1103.19, 1103.19
11/12/19, 1095.55, 1101.98, 1101.98, 1101.98
11/11/19, 1100.15, 1095.63, 1095.63, 1095.63
11/08/19, 1091.46, 1100.18, 1100.18, 1100.18
11/07/19, 1089.27, 1091.46, 1091.46, 1091.46
11/06/19, 1083.83, 1089.91, 1089.91, 1089.91
11/05/19, 1093.93, 1083.84, 1083.84, 1083.84
11/04/19, 1097.48, 1093.62, 1093.62, 1093.62
11/01/19, 1095.73, 1097.41, 1097.41, 1097.41
10/31/19, 1096.85, 1095.58, 1095.58, 1095.58
10/30/19, 1088.59, 1097.02, 1097.02, 1097.02
10/29/19, 1075.94, 1088.55, 1088.55, 1088.55
10/28/19, 1065.02, 1076.07, 1076.07, 1076.07
10/25/19, 1062.98, 1065.01, 1065.01, 1065.01
10/24/19, 1069.78, 1062.95, 1062.95, 1062.95
10/23/19, 1062.40, 1069.33, 1069.33, 1069.33
10/22/19, 1061.08, 1062.67, 1062.67, 1062.67
10/21/19, 1061.62, 1060.84, 1060.84, 1060.84
10/18/19, 1065.21, 1061.63, 1061.63, 1061.63
10/17/19, 1057.22, 1065.21, 1065.21, 1065.21
10/16/19, 1058.47, 1057.20, 1057.20, 1057.20
10/15/19, 1040.18, 1058.45, 1058.45, 1058.45
10/14/19, 1040.56, 1040.14, 1040.14, 1040.14
10/11/19, 1031.74, 1040.49, 1040.49, 1040.49
10/10/19, 1026.95, 1032.22, 1032.22, 1032.22
10/09/19, 1019.98, 1026.94, 1026.94, 1026.94
10/08/19, 1038.94, 1019.95, 1019.95, 1019.95
10/07/19, 1043.43, 1038.97, 1038.97, 1038.97
10/04/19, 1027.16, 1043.45, 1043.45, 1043.45
10/03/19, 1017.35, 1027.12, 1027.12, 1027.12
10/02/19, 1033.26, 1017.63, 1017.63, 1017.63
10/01/19, 1043.36, 1033.33, 1033.33, 1033.33
09/30/19, 1034.10, 1043.37, 1043.37, 1043.37
09/27/19, 1038.42, 1034.11, 1034.11, 1034.11
09/26/19, 1044.78, 1038.47, 1038.47, 1038.47
09/25/19, 1050.10, 1045.04, 1045.04, 1045.04
09/24/19, 1059.70, 1050.10, 1050.10, 1050.10
09/23/19, 1066.18, 1059.70, 1059.70, 1059.70
09/20/19, 1059.78, 1066.20, 1066.20, 1066.20
09/19/19, 1054.96, 1059.81, 1059.81, 1059.81
